Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam
31476.1,B,M,F41,10/19/2009,BrF40-70,30473.1,30949.1
31477.1,B,F,F41,10/20/2009,BrF40-66,30092.1,30941.1
31478.1,Ag,M,F41,10/20/2009,BrF40-66,30092.1,30941.1
31480.1,W,F,F41,10/20/2009,BrF40-57,30471.1,30483.1
31481.1,W,F,F41,10/20/2009,BrF40-59,30309.1,30486.1
31482.1,Ag,M,F41,10/20/2009,BrF40-57,30471.1,30483.1
31483.1,Ag,F,F41,10/21/2009,BrF40-49,30946.1,29268.1
31484.1,B,M,F41,10/21/2009,BrF40-49,30946.1,29268.1
31485.1,W,M,F41,10/21/2009,BrF40-49,30946.1,29268.1
31486.1,B,F,F41,10/21/2009,BrF40-57,30471.1,30483.1
31487.1,B,M,F41,10/21/2009,BrF40-59,30309.1,30486.1
31501.1,W,F,F41,10/21/2009,BrF40-64,30014.1,30609.1
31502.1,W,F,F41,10/21/2009,BrF40-64,30014.1,30609.1
31503.1,W,M,F41,10/21/2009,BrF40-64,30014.1,30609.1
31504.1,B,F,F41,10/21/2009,BrF40-61,30490.1,30495.1
31505.1,B,M,F41,10/21/2009,BrF40-61,30490.1,30495.1
31506.1,B,M,F41,10/21/2009,BrF40-61,30490.1,30495.1
31507.1,W,F,F41,10/21/2009,BrF40-63,30493.1,30607.1
31508.1,W,M,F41,10/21/2009,BrF40-63,30493.1,30607.1
31682.1,Ag,F,F41,10/22/2009,BrF40-60,30365.1,30492.1
31683.1,W,M,F41,10/22/2009,BrF40-60,30365.1,30492.1
31684.1,Ag,M,F41,10/22/2009,BrF40-60,30365.1,30492.1
31685.1,Ag,F,F41,10/22/2009,BrF40-62,30009.1,30601.1
31686.1,Ag,F,F41,10/22/2009,BrF40-62,30009.1,30601.1
31687.1,B,M,F41,10/22/2009,BrF40-62,30009.1,30601.1
31688.1,B,F,F41,10/25/2009,BrF40-65,30611.1,30612.1
31689.1,W,F,F41,10/25/2009,BrF40-65,30611.1,30612.1
31690.1,W,M,F41,10/25/2009,BrF40-65,30611.1,30612.1
31691.1,W,F,F41,10/31/2009,BrF40-46,29149.1,30469.1
31692.1,W,M,F41,10/31/2009,BrF40-46,29149.1,30469.1
31693.1,W,M,F41,10/31/2009,BrF40-46,29149.1,30469.1
