Animal #,CC,Sex,Gen.,DOB,Family,Sire,Dam
42463.1,(B)L,M,F47,8/10/2011,BrF46-25,40614.1,40648.1
42467.1,B,M,F47,8/10/2011,BrF46-29,40610.1,40656.1
42469.1,W,M,F47,8/10/2011,BrF46-34,40715.1,40666.1
42473.1,Ag,M,F47,8/8/2011,BrF46-39,41402.1,40676.1
42475.1,Ag,M,F47,8/10/2011,BrF46-27,40598.1,40652.1
42479.1,(W)L,M,F47,8/10/2011,BrF46-28,40701.1,41348.1
42481.1,W,M,F47,8/10/2011,BrF46-35,40659.1,41352.1
42485.1,B,M,F47,8/10/2011,BrF46-37,40699.1,40672.1
42487.1,(W)L,M,F47,8/10/2011,BrF46-65,41239.1,41332.1
42491.1,(B)L,M,F47,8/10/2011,BrF46-62,40628.1,41248.1
42493.1,B,M,F47,8/10/2011,BrF46-45,40660.1,40694.1
42497.1,Ag,M,F47,8/11/2011,BrF46-09,41329.1,40611.1
42499.1,(Ag)L,M,F47,8/11/2011,BrF46-22,41243.1,40641.1
42513.1,Ag,M,F47,8/12/2011,BrF46-38,40644.1,40674.1
42515.1,W,M,F47,8/12/2011,BrF46-23,40642.1,40645.1
42517.1,B,M,F47,8/12/2011,BrF46-32,41245.1,40662.1
42519.1,Ag,M,F47,8/12/2011,BrF46-42,40626.1,40682.1
42576.1,Ag,M,F47,8/14/2011,BrF46-02,40689.1,40597.1
42578.1,W,M,F47,8/14/2011,BrF46-12,40679.1,40619.1
42589.1,B,M,F47,8/22/2011,BrF46-44,40615.1,40692.1
42591.1,W,M,F47,8/21/2011,BrF46-47,41335.1,40700.1
42595.1,(W)L,M,F47,8/21/2011,BrF46-51,40671.1,40716.1
42597.1,Ag,M,F47,8/21/2011,BrF46-54,40663.1,40722.1
42649.1,W,M,F47,8/21/2011,BrF46-50,40673.1,40712.1
42651.1,W,M,F47,8/23/2011,BrF46-55,40651.1,41204.1
42655.1,B,M,F47,8/22/2011,BrF46-57,40608.1,41216.1
42657.1,W,M,F47,8/23/2011,BrF46-63,40669.1,41326.1
42661.1,Ag,M,F47,8/23/2011,BrF46-64,40612.1,41330.1
42663.1,(B)L,M,F47,8/23/2011,BrF46-52,40703.1,40718.1
42701.1,B,M,F47,8/24/2011,BrF46-43,41347.1,40686.1
42705.1,W,M,F47,8/24/2011,BrF46-49,41327.1,40706.1
42707.1,Ag,M,F47,8/23/2011,BrF46-50,40673.1,40712.1
42711.1,W,M,F47,8/25/2011,BrF46-53,40711.1,40720.1
42713.1,Ag,M,F47,8/23/2011,BrF46-59,40675.1,41236.1
42717.1,B,M,F47,8/23/2011,BrF46-61,40647.1,41246.1
42859.1,B,M,F47,9/4/2011,BrF46-56,41207.1,41208.1
42863.1,W,M,F47,8/30/2011,BrF46-46,40604.1,40698.1
43067.1,W,M,F47,9/19/2011,BrF46-49,41327.1,40706.1
42486.1,,F,F47,,BrF46-37,40672.1,40699.1
42480.1,,F,F47,,BrF46-28,41348.1,40701.1
42474.1,,F,F47,,BrF46-39,40676.1,41402.1
42483.1,,F,F47,,BrF46-35,41352.1,40659.1
42577.1,,F,F47,,BrF46-02,40597.1,40689.1
42399.1,,F,F47,,BrF46-42,40682.1,40626.1
42398.1,,F,F47,,BrF46-23,40645.1,40642.1
42514.1,,F,F47,,BrF46-38,40674.1,40644.1
42468.1,,F,F47,,BrF46-20,40645.1,40642.1
42500.1,,F,F47,,BrF46-22,40641.1,41243.1
42703.1,,F,F47,,BrF46-43,40686.1,41347.1
42650.1,,F,F47,,BrF46-60,41240.1,40717.1
42596.1,,F,F47,,BrF46-51,40716.1,40671.1
42715.1,,F,F47,,BrF46-59,41236.1,40675.1
42712.1,,F,F47,,BrF46-53,40720.1,40711.1
42072.1,,F,F47,,BrF46-04,40601.1,41227.1
42045.1,,F,F47,,BrF46-19,40633.1,40624.1
42075.1,,F,F47,,BrF46-05,40603.1,40634.1
42015.1,,F,F47,,BrF46-06,40605.1,40632.1
42012.1,,F,F47,,BrF46-02,40597.1,40689.1
42069.1,,F,F47,,BrF46-01,40595.1,40684.1
42163.1,,F,F47,,BrF46-11,40616.1,41249.1
42048.1,,F,F47,,BrF46-20,40635.1,40630.1
42465.1,,M,F47,,BrF46-25,40648.1,40614.1
42459.1,,M,F47,,BrF46-41,40680.1,40657.1
42125.1,,M,F47,,BrF46-26,40650.1,41351.1
42489.1,,M,F47,,BrF46-65,41332.1,41239.1
42477.1,,M,F47,,BrF46-27,40652.1,40598.1
42495.1,,M,F47,,BrF46-09,40611.1,41329.1
42471.1,,M,F47,,BrF46-34,40666.1,40715.1
42492.1,,M,F47,,BrF46-62,41248.1,40628.1
42124.1,,M,F47,,BrF46-24,40646.1,41339.1
42460.1,,M,F47,,BrF46-21,40637.1,41237.1
42656.1,,M,F47,,BrF46-57,41216.1,40608.1
42659.1,,M,F47,,BrF46-63,41326.1,40669.1
42665.1,,M,F47,,BrF46-52,40718.1,40703.1
42653.1,,M,F47,,BrF46-55,41204.1,40651.1
42662.1,,M,F47,,BrF46-64,41330.1,40612.1
42003.1,,M,F47,,BrF46-17,40629.1,40606.1
42006.1,,M,F47,,BrF46-10,40613.1,40649.1
42009.1,,M,F47,,BrF46-15,40625.1,40665.1
42051.1,,M,F47,,BrF46-12,40619.1,40679.1
42054.1,,M,F47,,BrF46-14,40623.1,40713.1
42057.1,,M,F47,,BrF46-31,40661.1,40636.1
42063.1,,M,F47,,BrF46-13,41346.1,40621.1
42066.1,,M,F47,,BrF46-48,40704.1,40683.1
