Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam
50133.1,AGL,F,F52,1/2/2013,BrF51-23,48354.1,48427.1,48354,48427
50135.1,AGL,F,F52,1/2/2013,BrF51-23,48354.1,48427.1,48354,48427
50139.1,BL,F,F52,1/2/2013,BrF51-24,49038.1,48431.1,49038,48431
50141.1,BL,F,F52,1/2/2013,BrF51-24,49038.1,48431.1,49038,48431
50145.1,AGR,F,F52,1/26/2013,BrF51-22,48334.1,48429.1,48334,48429
50149.1,AGL,F,F52,2/2/2013,BrF51-10,48458.1,48335.1,48458,48335
50157.1,WL,F,F52,1/30/2013,BrF51-58,48424.1,49069.1,48424,49069
50161.1,BL,F,F52,1/30/2013,BrF51-36,48372.1,48453.1,48372,48453
50165.1,BL,F,F52,1/30/2013,BrF51-55,48318.1,49053.1,48318,49053
50169.1,WR,F,F52,1/30/2013,BrF51-54,48414.1,49023.1,48414,49023
50171.1,WR,F,F52,1/30/2013,BrF51-54,48414.1,49023.1,48414,49023
50175.1,AGL,F,F52,1/30/2013,BrF51-39,48446.1,48459.1,48446,48459
50177.1,AGR,F,F52,1/31/2013,BrF51-43,48497.1,48378.1,48497,48378
50179.1,AGR,F,F52,1/31/2013,BrF51-43,48378.1,48497.1,48378,48497
50183.1,AGL,F,F52,1/31/2013,BrF51-42,49010.1,48469.1,49010,48469
50187.1,WR,F,F52,1/31/2013,BrF51-44,49044.1,48483.1,49044,48483
50193.1,BR,F,F52,1/31/2013,BrF51-64,49060.1,49201.1,49060,49201
50197.1,AGR,F,F52,1/31/2013,BrF51-59,48428.1,49067.1,48428,49067
50199.1,AGR,F,F52,1/31/2013,BrF51-59,48428.1,49067.1,48428,49067
50203.1,AGL,F,F52,2/1/2013,BrF51-65,49054.1,49205.1,49054,49205
50207.1,BL,F,F52,2/1/2013,BrF51-33,49076.1,48440.1,49076,48440
50209.1,BR,F,F52,2/1/2013,BrF51-34,49096.1,48442.1,49096,48442
50213.1,WR,F,F52,1/31/2013,BrF51-47,48404.1,49017.1,48404,49017
50215.1,AGR,F,F52,2/1/2013,BrF51-63,48460.1,49085.1,48460,49085
50219.1,BL,F,F52,1/31/2013,BrF51-62,48410.1,49091.1,48410,49091
50221.1,WR,F,F52,2/1/2013,BrF51-48,48466.1,49013.1,48466,49013
50227.1,BR,F,F52,2/1/2013,BrF51-56,49000.1,49049.1,49000,49049
50231.1,AGL,F,F52,2/1/2013,BrF51-49,49034.1,49005.1,49034,49005
50233.1,AGL,F,F52,2/1/2013,BrF51-49,49034.1,49005.1,49034,49005
50239.1,AGL,F,F52,1/31/2013,BrF51-32,48422.1,48437.1,48422,48437
50243.1,AGR,F,F52,2/1/2013,BrF51-50,48364.1,48039.1,48364,48039
50247.1,WR,F,F52,2/1/2013,BrF51-61,48386.1,49079.1,48386,49079
50249.1,WR,F,F52,2/1/2013,BrF51-61,48386.1,49079.1,48386,49079
50251.1,BR,F,F52,2/1/2013,BrF51-51,48434.1,49029.1,48434,49029
50257.1,BR,F,F52,1/31/2013,BrF51-41,48492.1,48481.1,48492,48481
50261.1,WL,F,F52,2/1/2013,BrF51-60,48330.1,49077.1,48330,49077
50263.1,WL,F,F52,2/1/2013,BrF51-60,48330.1,49077.1,48330,49077
50267.1,WR,F,F52,2/2/2013,BrF51-52,49082.1,49037.1,49082,49037
50271.1,AGL,F,F52,2/4/2013,BrF51-13,48488.1,48403.1,48488,48403
50273.1,WR,F,F52,2/11/2013,BrF51-28,49292.1,48393.1,49292,48393
50275.1,AGL,F,F52,2/11/2013,BrF51-25,48315.1,48438.1,48315,48438
50277.1,BR,F,F52,2/1/2013,BrF51-33,49076.1,48440.1,49076,48440
50281.1,BR,F,F52,2/17/2013,BrF51-26,49280.1,48343.1,49280,48343
50283.1,AGR,F,F52,2/17/2013,BrF51-35,49216.1,48435.1,49216,48435
50287.1,BL,F,F52,2/18/2013,BrF51-29,49232.1,48397.1,49232,48397
50291.1,BL,F,F52,2/18/2013,BrF51-29,49232.1,48397.1,49232,48397
50295.1,WR,F,F52,2/19/2013,BrF51-30,49236.1,48419.1,49236,48419
50297.1,WR,F,F52,2/19/2013,BrF51-30,49236.1,48419.1,49236,48419
50301.1,BR,F,F52,2/22/2013,BrF51-45,49066.1,48485.1,49066,48485
50305.1,AGR,F,F52,2/22/2013,BrF51-57,49086.1,49065.1,49086,49065
50307.1,BR,F,F52,2/27/2013,BrF51-72,48356.1,49227.1,48356,49227
50309.1,WR,F,F52,2/27/2013,BrF51-77,48498.1,49275.1,48498,49275
50313.1,WR,F,F52,2/27/2013,BrF51-77,48498.1,49275.1,48498,49275
50317.1,AGR,F,F52,2/27/2013,BrF51-86,49422.1,49265.1,49422,49265
50319.1,BL,F,F52,2/27/2013,BrF51-86,49422.1,49265.1,49422,49265
50325.1,WL,F,F52,2/27/2013,BrF51-38,49272.1,48457.1,49272,48457
50329.1,BR,F,F52,2/27/2013,BrF51-88,48346.1,49281.1,48346,49281
50331.1,AGR,F,F52,2/27/2013,BrF51-75,48396.1,49261.1,48396,49261
50337.1,BL,F,F52,2/27/2013,BrF51-74,49014.1,49253.1,49014,49253
50339.1,BL,F,F52,2/27/2013,BrF51-74,49014.1,49253.1,49014,49253
50343.1,AGR,F,F52,3/1/2013,BrF51-92,48407.1,49295.1,48407,49295
50347.1,BR,F,F52,3/1/2013,BrF51-85,48400.1,49235.1,48400,49235
50349.1,BR,F,F52,3/1/2013,BrF51-85,48400.1,49235.1,48400,49235
50353.1,WR,F,F52,3/1/2013,BrF51-79,49088.1,49081.1,49088,49081
50357.1,AGL,F,F52,3/1/2013,BrF51-87,49300.1,49257.1,49300,49257
50361.1,BR,F,F52,3/1/2013,BrF51-76,49420.1,49269.1,49420,49269
50363.1,BR,F,F52,3/1/2013,BrF51-76,49420.1,49269.1,49420,49269
50367.1,WR,F,F52,3/2/2013,BrF51-80,49094.1,49219.1,49094,49219
50371.1,WL,F,F52,3/2/2013,BrF51-90,49260.1,49277.1,49260,49277
50373.1,WL,F,F52,3/2/2013,BrF51-89,48499.1,49273.1,48499,49273
50379.1,WR,F,F52,3/5/2013,BrF51-28,48393.1,49292.1,48393,49292
50381.1,BR,F,F52,3/5/2013,BrF51-28,48393.1,49292.1,48393,49292
50389.1,AGR,F,F52,3/4/2013,BrF51-73,49241.1,48418.1,49241,48418
50393.1,BL,F,F52,3/4/2013,BrF51-82,49421.1,49268.1,49421,49268
50395.1,WL,F,F52,3/5/2013,BrF51-95,49445.1,49252.1,49445,49252
50399.1,WR,F,F52,3/5/2013,BrF51-95,49445.1,49252.1,49445,49252
50401.1,BL,F,F52,3/5/2013,BrF51-71,49061.1,49022.1,49061,49022
50403.1,WL,F,F52,3/5/2013,BrF51-71,49061.1,49022.1,49061,49022
50409.1,BR,F,F52,3/5/2013,BrF51-78,49043.1,48392.1,49043,48392
50413.1,AGL,F,F52,3/6/2013,BrF51-93,49407.1,49042.1,49407,49042
50415.1,AGR,F,F52,3/6/2013,BrF51-94,49413.1,48340.1,49413,48340
50423.1,WR,F,F52,3/9/2013,BrF51-84,49239.1,49450.1,49239,49450
50425.1,BR,F,F52,3/9/2013,BrF51-84,49239.1,49450.1,49239,49450
50427.1,WL,F,F52,3/11/2013,BrF51-66,48301.1,49454.1,48301,49454
50173.1,WL,F,F52,1/30/2013,BrF51-39,48459.1,48446.1,48459,48446
50465.1,CC,F,F52,4/12/2013,BrF51-81,49209.1,48324.1,49209,48324
49428.1,AGR,M,F52,1/1/2013,BrF51-7,48368.1,48385.1,48368,48385
49434.1,WL,M,F52,1/1/2013,BrF51-2,48448.1,48333.1,48448,48333
49438.1,BR,M,F52,1/1/2013,BrF51-9,48350.1,48359.1,48350,48359
49442.1,AGL,M,F52,1/1/2013,BrF51-12,48484.1,48312.1,48484,48312
49444.1,WR,M,F52,1/1/2013,BrF51-12,48484.1,48312.1,48484,48312
49460.1,WR,M,F52,1/1/2013,BrF51-1,48430.1,48415.1,48430,48415
49464.1,AGR,M,F52,1/2/2013,BrF51-3,49006.1,48303.1,49006,48303
49468.1,WL,M,F52,1/3/2013,BrF51-4,49018.1,48309.1,49018,48309
49474.1,WR,M,F52,1/2/2013,BrF51-5,49072.1,48413.1,49072,48413
49478.1,WL,M,F52,1/2/2013,BrF51-6,48307.1,48327.1,48307,48327
49480.1,BR,M,F52,1/3/2013,BrF51-11,48462.1,48336.1,48462,48336
49484.1,AGL,M,F52,1/3/2013,BrF51-21,49030.1,48405.1,49030,48405
49488.1,BR,M,F52,1/3/2013,BrF51-17,48310.1,48421.1,48310,48421
49492.1,BL,M,F52,1/3/2013,BrF51-15,49050.1,48319.1,49050,48319
49496.1,AGR,M,F52,1/1/2013,BrF51-14,49046.1,48339.1,49046,48339
49500.1,WR,M,F52,1/1/2013,BrF51-20,48454.1,48341.1,48454,48341
50104.1,BR,M,F52,1/3/2013,BrF51-16,48308.1,48349.1,48308,48349
50108.1,WL,M,F52,1/3/2013,BrF51-16,48308.1,48349.1,48308,48349
50110.1,WRL,M,F52,1/3/2013,BrF51-8,48388.1,48320.1,48388,48320
50116.1,BL,M,F52,1/1/2013,BrF51-18,48321.1,48371.1,48321,48371
50124.1,AGR,M,F52,1/2/2013,BrF51-19,47718.1,48357.1,47718,48357
50126.1,WR,M,F52,1/2/2013,BrF51-19,47718.1,48357.1,47718,48357
50130.1,AGL,M,F52,1/1/2013,BrF51-25,48315.1,48438.1,48315,48438
50136.1,BR,M,F52,1/2/2013,BrF51-23,48354.1,48427.1,48354,48427
50138.1,BL,M,F52,1/2/2013,BrF51-24,49038.1,48431.1,49038,48431
50142.1,AGR,M,F52,1/3/2013,BrF51-22,48334.1,48429.1,48334,48429
50144.1,WR,M,F52,1/3/2013,BrF51-22,48334.1,48429.1,48334,48429
50154.1,BR,M,F52,1/30/2013,BrF51-58,48424.1,49069.1,48424,49069
50160.1,BL,M,F52,1/30/2013,BrF51-55,48318.1,49053.1,48318,49053
50162.1,AGR,M,F52,1/30/2013,BrF51-55,48318.1,49053.1,48318,49053
50166.1,WR,M,F52,1/30/2013,BrF51-54,48414.1,49023.1,48414,49023
50170.1,WL,M,F52,1/30/2013,BrF51-39,48446.1,48459.1,48446,48459
50174.1,AGR,M,F52,1/31/2013,BrF51-43,48378.1,48497.1,48378,48497
50176.1,BR,M,F52,2/2/2013,BrF51-10,48458.1,48335.1,48458,48335
50178.1,BR,M,F52,2/2/2013,BrF51-10,48458.1,48335.1,48458,48335
50184.1,AGL,M,F52,1/31/2013,BrF51-42,49010.1,48469.1,49010,48469
50188.1,WR,M,F52,1/31/2013,BrF51-44,49044.1,48483.1,49044,48483
50192.1,BR,M,F52,1/31/2013,BrF51-64,49060.1,49201.1,49060,49201
50196.1,WL,M,F52,1/31/2013,BrF51-59,48428.1,49067.1,48428,49067
50200.1,WR,M,F52,2/1/2013,BrF51-65,49054.1,49205.1,49054,49205
50204.1,BR,M,F52,2/1/2013,BrF51-33,49076.1,48440.1,49076,48440
50208.1,WL,M,F52,2/1/2013,BrF51-34,49096.1,48442.1,49096,48442
50212.1,BL,M,F52,2/1/2013,BrF51-34,49096.1,48442.1,49096,48442
50214.1,BR,M,F52,1/31/2013,BrF51-47,48404.1,49017.1,48404,49017
50218.1,AGR,M,F52,2/1/2013,BrF51-63,48460.1,49085.1,48460,49085
50222.1,AGR,M,F52,1/31/2013,BrF51-62,48410.1,49091.1,48410,49091
50224.1,BL,M,F52,2/1/2013,BrF51-48,48466.1,49013.1,48466,49013
50228.1,AGL,M,F52,2/1/2013,BrF51-56,49000.1,49049.1,49000,49049
50236.1,WR,M,F52,1/31/2013,BrF51-32,48422.1,48437.1,48422,48437
50240.1,AGL,M,F52,2/1/2013,BrF51-50,48364.1,48039.1,48364,48039
50244.1,WL,M,F52,2/1/2013,BrF51-61,48386.1,49079.1,48386,49079
50246.1,BR,M,F52,2/1/2013,BrF51-51,48434.1,49029.1,48434,49029
50250.1,AGR,M,F52,1/31/2013,BrF51-41,48492.1,48481.1,48492,48481
50254.1,AGL,M,F52,1/31/2013,BrF51-41,48492.1,48481.1,48492,48481
50256.1,WR,M,F52,2/1/2013,BrF51-60,48330.1,49077.1,48330,49077
50260.1,WL,M,F52,2/2/2013,BrF51-52,49082.1,49037.1,49082,49037
50264.1,BR,M,F52,2/4/2013,BrF51-13,48488.1,48403.1,48488,48403
50270.1,AGR,M,F52,2/11/2013,BrF51-28,49292.1,48393.1,49292,48393
50272.1,WR,M,F52,2/11/2013,BrF51-25,48315.1,48438.1,48315,48438
50276.1,BR,M,F52,2/14/2013,BrF51-31,49208.1,48329.1,49208,48329
50278.1,BR,M,F52,2/14/2013,BrF51-31,49208.1,48329.1,49208,48329
50284.1,BL,M,F52,2/17/2013,BrF51-26,49280.1,48343.1,49280,48343
50290.1,AGL,M,F52,2/17/2013,BrF51-35,49216.1,48435.1,49216,48435
50292.1,AGL,M,F52,2/17/2013,BrF51-35,49216.1,48435.1,49216,48435
50294.1,BR,M,F52,2/18/2013,BrF51-29,49232.1,48397.1,49232,48397
50298.1,BR,M,F52,2/19/2013,BrF51-30,49236.1,48419.1,49236,48419
50302.1,AGL,M,F52,2/22/2013,BrF51-45,49066.1,48485.1,49066,48485
50306.1,BL,M,F52,2/22/2013,BrF51-57,49086.1,49065.1,49086,49065
50308.1,BL,M,F52,2/22/2013,BrF51-57,49086.1,49065.1,49086,49065
50312.1,AGR,M,F52,2/27/2013,BrF51-72,48356.1,49227.1,48356,49227
50314.1,BR,M,F52,2/27/2013,BrF51-72,48356.1,49227.1,48356,49227
50318.1,WR,M,F52,2/27/2013,BrF51-77,48498.1,49275.1,48498,49275
50320.1,BL,M,F52,2/27/2013,BrF51-86,49422.1,49265.1,49422,49265
50324.1,WL,M,F52,2/27/2013,BrF51-38,49272.1,48457.1,49272,48457
50328.1,BR,M,F52,2/27/2013,BrF51-88,48346.1,49281.1,48346,49281
50332.1,BL,M,F52,2/27/2013,BrF51-88,48346.1,49281.1,48346,49281
50334.1,WR,M,F52,2/27/2013,BrF51-75,48396.1,49261.1,48396,49261
50342.1,BR,M,F52,3/1/2013,BrF51-92,48407.1,49295.1,48407,49295
50346.1,BL,M,F52,3/1/2013,BrF51-85,48400.1,49235.1,48400,49235
50350.1,WR,M,F52,3/1/2013,BrF51-79,49088.1,49081.1,49088,49081
50352.1,WL,M,F52,3/1/2013,BrF51-79,49088.1,49081.1,49088,49081
50356.1,AGR,M,F52,3/1/2013,BrF51-87,49300.1,49257.1,49300,49257
50360.1,WR,M,F52,3/1/2013,BrF51-76,49420.1,49269.1,49420,49269
50362.1,WL,M,F52,3/2/2013,BrF51-80,49094.1,49219.1,49094,49219
50366.1,WRL,M,F52,3/2/2013,BrF51-90,49260.1,49277.1,49260,49277
50372.1,BR,M,F52,3/2/2013,BrF51-89,48499.1,49273.1,48499,49273
50378.1,BL,M,F52,3/1/2013,BrF51-34,49096.1,48442.1,49096,48442
50380.1,AGR,M,F52,3/5/2013,BrF51-28,48393.1,49292.1,48393,49292
50384.1,AGR,M,F52,3/5/2013,BrF51-28,48393.1,49292.1,48393,49292
50388.1,BR,M,F52,3/4/2013,BrF51-73,49241.1,48418.1,49241,48418
50392.1,BL,M,F52,3/4/2013,BrF51-82,49421.1,49268.1,49421,49268
50394.1,AGL,M,F52,3/5/2013,BrF51-95,49445.1,49252.1,49445,49252
50398.1,BL,M,F52,3/5/2013,BrF51-95,49445.1,49252.1,49445,49252
50400.1,WR,M,F52,3/5/2013,BrF51-71,49061.1,49022.1,49061,49022
50408.1,WL,M,F52,3/5/2013,BrF51-78,49043.1,48392.1,49043,48392
50410.1,WL,M,F52,3/5/2013,BrF51-78,49043.1,48392.1,49043,48392
50414.1,AGL,M,F52,3/6/2013,BrF51-93,49407.1,49042.1,49407,49042
50416.1,AGL,M,F52,3/6/2013,BrF51-93,49407.1,49042.1,49407,49042
50422.1,AGR,M,F52,3/6/2013,BrF51-94,49413.1,48340.1,49413,48340
50424.1,AGR,M,F52,3/6/2013,BrF51-94,49413.1,48340.1,49413,48340
50426.1,WR,M,F52,3/9/2013,BrF51-84,49239.1,49450.1,49239,49450
50428.1,WR,M,F52,3/9/2013,BrF51-84,49239.1,49450.1,49239,49450
50434.1,BR,M,F52,3/11/2013,BrF51-66,48301.1,49454.1,48301,49454
50436.1,BR,M,F52,3/11/2013,BrF51-66,48301.1,49454.1,48301,49454
50446.1,CC,M,F52,4/7/2013,BrF51-27,48363.1,49248.1,48363,49248
50440.1,CC,M,F52,4/6/2013,BrF51-46,48487.1,49244.1,48487,49244
50470.1,CC,M,F52,4/12/2013,BrF51-81,49209.1,48324.1,49209,48324
50442.1,CC,M,F52,DOB,BrF51-46,48487.1,49244.1,48487,49244
50448.1,CC,M,F52,DOB,BrF51-27,48363.1,49248.1,48363,49248
50462.1,CC,M,F52,DOB,BrF51-76,49420.1,49269.1,49420,49269
50472.1,CC,M,F52,DOB,BrF51-69,49288.1,48375.1,49288,48375
50461.1,CC,F,F52,DOB,BrF51-37,48474.1,48451.1,48474,48451
50459.1,CC,F,F52,DOB,BrF51-37,48474.1,48451.1,48474,48451
