Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Family
19141.1,,F,F36,11/9/2007,,1252.1,1214.1,,BrF35-66
19146.1,,F,F36,11/9/2007,,1329.1,1133.1,,BrF35-64
19147.1,,F,F36,11/9/2007,,1329.1,1133.1,,BrF35-64
16610.1,,M,F36,11/12/2007,,1700.1,1674.1,,BrF35-62
16611.1,,M,F36,11/12/2007,,1700.1,1674.1,,BrF35-62
16605.1,,F,F36,11/12/2007,,1700.1,1674.1,,BrF35-62
16613.1,,F,F36,11/29/2007,,1302.1,1286.1,,BrF35-74
16614.1,,F,F36,11/29/2007,,1302.1,1286.1,,BrF35-74
21315.1,,F,F36,12/13/2007,,1528.1,1521.1,,BrF35-28
21316.1,,F,F36,12/23/2007,,1572.1,1699.1,,BrF35-15
21317.1,,F,F36,12/23/2007,,1572.1,1699.1,,BrF35-15
21318.1,,M,F36,12/23/2007,,1572.1,1699.1,,BrF35-15
21319.1,,M,F36,12/13/2007,,1528.1,1521.1,,BrF35-28
21320.1,,M,F36,12/13/2007,,1528.1,1521.1,,BrF35-28
