Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
34591,W,M,F20,6/14/2001,Th,32710,33241,33241,C48,,,9/12/2001,35057,,,C78,
34593,W,M,F20,6/14/2001,Th,32710,33241,33241,C48,,,9/4/2001,34618,,,C26,
34606,T,F,F20,6/15/2001,F,32697,32721,32721,C4,,,9/4/2001,34337,,,C25,
34608,T,M,F20,6/15/2001,F,32697,32721,32721,C4,,,9/4/2001,34376,,,C15,
34618,W,F,F20,6/15/2001,F,32833,32799,32799,C9,,,9/4/2001,34593,,,C26,
34621,W,M,F20,6/15/2001,F,32833,32799,32799,C9,,,9/4/2001,34494,,,C16,
34633,B,M,F20,6/15/2001,F,32847,32623,32623,C10,,,9/12/2001,35050,,,C74,
34636,B,F,F20,6/15/2001,F,32847,32623,32623,C10,,,9/13/2001,34689,,,C30,
34639,B,M,F20,6/15/2001,F,32729,32920,32920,C18,,,9/4/2001,34459,,,C18,
34640,T,F,F20,6/15/2001,F,32729,32920,32920,C18,,,9/4/2001,34839,,,C43,
34644,B,F,F20,6/15/2001,F,32962,32827,32827,C20,,,9/4/2001,34399,,,C19,
34646,B,M,F20,6/15/2001,F,32962,32827,32827,C20,,,9/4/2001,34418,,,C20,
34647,W,F,F20,6/15/2001,F,32985,32735,32735,C23,,,9/4/2001,34400,,,C23,
34653,W,M,F20,6/15/2001,F,32985,32735,32735,C23,,,9/4/2001,34338,,,C21,
34656,B,M,F20,6/15/2001,F,32985,32735,32735,C23,,,9/4/2001,34589,,,C22,
34661,T,M,F20,6/15/2001,F,32785,33005,33005,C28,,,9/4/2001,34499,,,C24,
34662,T,F,F20,6/15/2001,F,32785,33005,33005,C28,,,9/4/2001,34486,,,C17,
34669,B,M,F20,6/15/2001,F,33035,32960,32960,C30,,,9/4/2001,34730,,,C32,
34673,B,F,F20,6/15/2001,F,33035,32960,32960,C30,,,9/13/2001,34756,,,C37,
34675,B,F,F20,6/15/2001,F,33035,32960,32960,C30,,,9/4/2001,34902,,,C50,
34685,B,M,F20,6/16/2001,Sa,32915,32818,32818,C15,,,9/4/2001,34362,,,C28,
34689,W,M,F20,6/16/2001,Sa,33073,33091,33091,C34,,,9/13/2001,34636,,,C30,
34692,W,F,F20,6/16/2001,Sa,33073,33091,33091,C34,,,9/6/2001,34970,,,C66,
34697,T,F,F20,6/16/2001,Sa,33073,33091,33091,C34,,,9/4/2001,34491,,,C27,
34703,B,M,F20,6/16/2001,Sa,33198,33117,33117,C43,,,9/6/2001,34951,,,C54,
34710,W,F,F20,6/16/2001,Sa,33198,33117,33117,C43,,,9/12/2001,35042,,,C79,
34729,B,M,F20,6/19/2001,Tu,33223,33159,33159,C47,,,9/13/2001,35098,,,C34,
34730,B,F,F20,6/19/2001,Tu,33223,33159,33159,C47,,,9/4/2001,34669,,,C32,
34731,B,M,F20,6/19/2001,Tu,33223,33159,33159,C47,,,9/4/2001,34358,,,C33,
34745,T,M,F20,6/20/2001,W,33020,33226,33226,C46,,,9/12/2001,35048,,,C77,
34756,T,M,F20,6/21/2001,Th,32630,32784,32784,C26,,,9/13/2001,34673,,,C37,
34759,B,F,F20,6/21/2001,Th,32630,32784,32784,C26,,,9/4/2001,34475,,,C36,
34799,B,F,F20,6/23/2001,Sa,33319,33292,33292,C51,,,9/4/2001,34529,,,C38,
34802,B,M,F20,6/23/2001,Sa,33319,33292,33292,C51,,,9/6/2001,34957,,,C56,
34815,B,F,F20,6/24/2001,Su,33288,32672,32672,C50,,,9/4/2001,34382,,,C40,
34816,B,F,F20,6/24/2001,Su,33288,32672,32672,C50,,,9/4/2001,34545,,,C41,
34823,B,M,F20,6/24/2001,Su,33288,32672,32672,C50,,,9/4/2001,34582,,,C42,
34833,T,F,F20,6/24/2001,Su,33328,33312,33312,C53,,,9/12/2001,35056,,,C82,
34835,T,F,F20,6/24/2001,Su,33328,33312,33312,C53,,,9/6/2001,34912,,,C58,
34839,W,M,F20,6/25/2001,M,33439,33199,33199,C67,,,9/4/2001,34640,,,C43,
34840,W,M,F20,6/25/2001,M,33439,33199,33199,C67,,,9/6/2001,34936,,,C63,
34848,B,F,F20,6/25/2001,M,33439,33199,33199,C67,,,9/12/2001,35105,,,C83,
34867,T,F,F20,6/26/2001,Tu,32923,32618,32618,C16,,,9/4/2001,34325,,,C46,
34868,T,M,F20,6/26/2001,Tu,32923,32618,32618,C16,,,9/6/2001,34961,,,C51,
34870,W,F,F20,6/26/2001,Tu,32726,33395,33395,C56,,,9/4/2001,34369,,,C44,
34872,W,F,F20,6/26/2001,Tu,32726,33395,33395,C56,,,9/4/2001,34496,,,C45,
34876,W,M,F20,6/26/2001,Tu,32726,33395,33395,C56,,,9/6/2001,35027,,,C70,
34886,W,M,F20,6/26/2001,Tu,32673,33423,33423,C61,,,9/13/2001,34914,,,C48,
34889,T,F,F20,6/26/2001,Tu,32673,33423,33423,C61,,,9/4/2001,34519,,,C47,
34890,T,F,F20,6/26/2001,Tu,32673,33423,33423,C61,,,9/6/2001,34931,,,C61,
34898,B,F,F20,6/26/2001,Tu,33418,32916,32916,C64,,,9/6/2001,34956,,,C64,
34902,B,M,F20,6/26/2001,Tu,33428,33017,33017,C65,,,9/4/2001,34675,,,C50,
34912,W,M,F20,6/27/2001,W,33028,33364,33364,C54,,,9/6/2001,34835,,,C58,
34913,W,M,F20,6/27/2001,W,33028,33364,33364,C54,,,9/6/2001,34997,,,C69,
34914,W,F,F20,6/27/2001,W,33028,33364,33364,C54,,,9/13/2001,34886,,,C48,
34923,W,M,F20,6/27/2001,W,33365,32846,32846,C55,,,9/6/2001,34511,,,C59,
34927,B,M,F20,6/27/2001,W,32901,33400,33400,C57,,,9/6/2001,34401,,,C60,
34930,W,F,F20,6/27/2001,W,32901,33400,33400,C57,,,9/12/2001,35046,,,C80,
34931,W,M,F20,6/27/2001,W,33416,33118,33118,C60,,,9/6/2001,34890,,,C61,
34936,W,F,F20,6/27/2001,W,33416,33118,33118,C60,,,9/6/2001,34840,,,C63,
34937,W,F,F20,6/27/2001,W,33416,33118,33118,C60,,,9/6/2001,34564,,,C53,
34942,B,M,F20,6/27/2001,W,32841,33433,33433,C62,,,9/6/2001,34481,,,C62,
34951,B,F,F20,6/27/2001,W,32841,33433,33433,C62,,,9/6/2001,34703,,,C54,
34953,B,F,F20,6/27/2001,W,32841,33433,33433,C62,,,9/6/2001,34334,,,C55,
34956,W,M,F20,6/27/2001,W,33498,33130,33130,C70,,,9/6/2001,34898,,,C64,
34957,W,F,F20,6/27/2001,W,33498,33130,33130,C70,,,9/6/2001,34802,,,C56,
34961,B,F,F20,6/27/2001,W,33498,33130,33130,C70,,,9/6/2001,34868,,,C51,
34966,W,M,F20,6/27/2001,W,33571,33228,33228,C78,,,9/6/2001,34392,,,C65,
34970,T,M,F20,6/27/2001,W,33571,33228,33228,C78,,,9/6/2001,34692,,,C66,
34977,B,F,F20,6/27/2001,W,33571,33228,33228,C78,,,,35132,,,C88,
34997,W,F,F20,6/28/2001,Th,32680,32992,32992,C8,,,9/6/2001,34913,,,C69,
34999,W,F,F20,6/28/2001,Th,32680,32992,32992,C8,,,9/6/2001,34575,,,C68,
35000,T,M,F20,6/28/2001,Th,32680,32992,32992,C8,,,9/6/2001,34577,,,C67,
35006,B,F,F20,6/28/2001,Th,33402,32656,32656,C59,,,9/6/2001,35025,,,C72,
35013,W,M,F20,6/28/2001,Th,33402,32656,32656,C59,,,9/6/2001,34314,,,C71,
35018,B,M,F20,6/28/2001,Th,33138,32704,32704,C80,,,9/6/2001,34384,,,C73,
35025,T,M,F20,6/28/2001,Th,33138,32704,32704,C80,,,9/6/2001,35006,,,C72,
35027,T,F,F20,6/28/2001,Th,33138,32704,32704,C80,,,,34876,,,C70,
35042,W,M,F20,6/29/2001,F,33230,33429,33429,C63,,,9/12/2001,34710,,,C79,
35045,W,F,F20,6/29/2001,F,33230,33429,33429,C63,,,9/12/2001,34587,,,C76,
35046,B,M,F20,6/29/2001,F,33230,33429,33429,C63,,,9/12/2001,34930,,,C80,
35047,W,M,F20,6/29/2001,F,32619,33515,33515,C72,,,9/12/2001,34355,,,C81,
35048,W,F,F20,6/29/2001,F,32619,33515,33515,C72,,,9/12/2001,34745,,,C77,
35050,B,F,F20,6/29/2001,F,32619,33515,33515,C72,,,9/12/2001,34633,,,C74,
35056,B,M,F20,6/29/2001,F,33525,33140,33140,C74,,,9/12/2001,34833,,,C82,
35057,B,F,F20,6/29/2001,F,33525,33140,33140,C74,,,9/12/2001,34591,,,C78,
35060,B,F,F20,6/29/2001,F,33525,33140,33140,C74,,,9/12/2001,34528,,,C75,
35097,W,M,F20,6/30/2001,Sa,32809,33566,33566,C75,,,9/12/2001,34434,,,C84,
35098,W,F,F20,6/30/2001,Sa,32809,33566,33566,C75,,,,34729,,,C34,
35105,T,M,F20,6/30/2001,Sa,32809,33566,33566,C75,,,9/12/2001,34848,,,C83,
35121,B,M,F20,7/1/2001,Su,32781,33024,33024,C27,,,9/12/2001,34514,,,C86,
35132,W,M,F20,7/1/2001,Su,32946,33567,33567,C79,,,,34977,,,C88,
35143,B,F,F20,7/1/2001,Su,32946,33567,33567,C79,,,9/12/2001,34505,,,C85,
