Animal # ,CC,Sex,Gen.,DOB,Family,Sire,Dam,Sire,Dam,,,,
44137.1,Ag(L),F,F48,12/21/2011,BrF47-17,42499.1,42716.1,42499,42716,,,,
44140.1,W,F,F48,12/21/2011,BrF47-18,42711.1,42714.1,42711,42714,,,,
44141.1,W(L),F,F48,12/21/2011,BrF47-18,42711.1,42714.1,42711,42714,,,,
44138.1,Ag,F,F48,12/21/2011,BrF47-17,42499.1,42716.1,42499,42716,,,,
44139.1,W,F,F48,12/21/2011,BrF47-18,42711.1,42714.1,42711,42714,,,,
44145.1,Ag,F,F48,12/23/2011,BrF47-15,42064.1,42462.1,42064,42462,,,,
44156.1,B,F,F48,12/25/2011,BrF47-08,42161.1,42073.1,42161,42073,,,,
44178.1,B(L),F,F48,12/26/2011,BrF47-29,42463.1,42466.1,42463,42466,,,,
44143.1,W,M,F48,12/21/2011,BrF47-18,42711.1,42714.1,42711,42714,,,,
44144.1,W,M,F48,12/21/2011,BrF47-18,42711.1,42714.1,42711,42714,,,,
44148.1,Ag,M,F48,12/23/2011,BrF47-15,42064.1,42462.1,42064,42462,,,,
44149.1,B,M,F48,12/23/2011,BrF47-15,42064.1,42462.1,42064,42462,,,,
44146.1,Ag,F,F48,12/23/2011,BrF47-15,42064.1,42462.1,42064,42462,,,,
44147.1,B,F,F48,12/23/2011,BrF47-15,42064.1,42462.1,42064,42462,,,,
44154.1,Ag(L),F,F48,12/23/2011,BrF47-16,42513.1,42860.1,42513,42860,,,,
44155.1,Ag(L),F,F48,12/23/2011,BrF47-16,42513.1,42860.1,42513,42860,,,,
44152.1,B,M,F48,12/23/2011,BrF47-16,42513.1,42860.1,42513,42860,,,,
44153.1,W,M,F48,12/23/2011,BrF47-16,42513.1,42860.1,42513,42860,,,,
44157.1,B(L),M,F48,12/25/2011,BrF47-08,42161.1,42073.1,42161,42073,,,,
44158.1,B(L),M,F48,12/25/2011,BrF47-08,42161.1,42073.1,42161,42073,,,,
44160.1,W,F,F48,12/26/2011,BrF47-22,42591.1,42600.1,42591,42600,,,,
44161.1,W,F,F48,12/26/2011,BrF47-22,42591.1,42600.1,42591,42600,,,,
44166.1,Ag,F,F48,12/26/2011,BrF47-24,42515.1,42652.1,42515,42652,,,,
44167.1,B,F,F48,12/26/2011,BrF47-24,42515.1,42652.1,42515,42652,,,,
44162.1,W,F,F48,12/26/2011,BrF47-22,42591.1,42600.1,42591,42600,,,,
44168.1,B,F,F48,12/26/2011,BrF47-24,42515.1,42652.1,42515,42652,,,,
44172.1,Ag,F,F48,12/26/2011,BrF47-27,42475.1,42496.1,42475,42496,,,,
44184.1,B(L),F,F48,12/29/2011,BrF47-23,42070.1,42472.1,42070,42472,,,,
44192.1,W(L),F,F48,12/27/2011,BrF47-28,42517.1,42660.1,42517,42660,,,,
44163.1,W,M,F48,12/26/2011,BrF47-22,42591.1,42600.1,42591,42600,,,,
44164.1,W,M,F48,12/26/2011,BrF47-22,42591.1,42600.1,42591,42600,,,,
44169.1,W(L),M,F48,12/26/2011,BrF47-24,42515.1,42652.1,42515,42652,,,,
44170.1,W(L),M,F48,12/26/2011,BrF47-24,42515.1,42652.1,42515,42652,,,,
44165.1,W,M,F48,12/26/2011,BrF47-22,42591.1,42600.1,42591,42600,,,,
44171.1,W(L),M,F48,12/26/2011,BrF47-24,42515.1,42652.1,42515,42652,,,,
44175.1,Ag,M,F48,12/26/2011,BrF47-27,42475.1,42496.1,42475,42496,,,,
44189.1,W(L),M,F48,12/29/2011,BrF47-23,42070.1,42472.1,42070,42472,,,,
44193.1,B,M,F48,12/27/2011,BrF47-28,42517.1,42660.1,42517,42660,,,,
44173.1,Ag,F,F48,12/26/2011,BrF47-27,42475.1,42496.1,42475,42496,,,,
44174.1,B,F,F48,12/26/2011,BrF47-27,42475.1,42496.1,42475,42496,,,,
44179.1,B(L),F,F48,12/26/2011,BrF47-29,42463.1,42466.1,42463,42466,,,,
44180.1,W,F,F48,12/26/2011,BrF47-29,42463.1,42466.1,42463,42466,,,,
44176.1,Ag,M,F48,12/26/2011,BrF47-27,42475.1,42496.1,42475,42496,,,,
44177.1,B,M,F48,12/26/2011,BrF47-27,42475.1,42496.1,42475,42496,,,,
44182.1,B(L),M,F48,12/26/2011,BrF47-29,42463.1,42466.1,42463,42466,,,,
44183.1,W,M,F48,12/26/2011,BrF47-29,42463.1,42466.1,42463,42466,,,,
44185.1,W,F,F48,12/29/2011,BrF47-23,42070.1,42472.1,42070,42472,,,,
44186.1,B,F,F48,12/29/2011,BrF47-23,42070.1,42472.1,42070,42472,,,,
44190.1,Ag,F,F48,12/27/2011,BrF47-28,42517.1,42660.1,42517,42660,,,,
44191.1,W(L),F,F48,12/27/2011,BrF47-28,42517.1,42660.1,42517,42660,,,,
44187.1,W,M,F48,12/29/2011,BrF47-23,42070.1,42472.1,42070,42472,,,,
44188.1,W,M,F48,12/29/2011,BrF47-23,42070.1,42472.1,42070,42472,,,,
44194.1,W(L),M,F48,12/27/2011,BrF47-28,42517.1,42660.1,42517,42660,,,,
44195.1,W(L),M,F48,12/27/2011,BrF47-28,42517.1,42660.1,42517,42660,,,,
44196.1,Ag,F,F48,12/29/2011,BrF47-20,42485.1,42658.1,42485,42658,,,,
44197.1,B,F,F48,12/29/2011,BrF47-20,42485.1,42658.1,42485,42658,,,,
44313.1,W,F,F48,12/28/2011,BrF47-21,42597.1,42704.1,42597,42704,,,,
44314.1,Ag(L),F,F48,12/28/2011,BrF47-21,42597.1,42704.1,42597,42704,,,,
44199.1,Ag,M,F48,12/29/2011,BrF47-20,42485.1,42658.1,42485,42658,,,,
44200.1,B,M,F48,12/29/2011,BrF47-20,42485.1,42658.1,42485,42658,,,,
44316.1,W,M,F48,12/28/2011,BrF47-21,42597.1,42704.1,42597,42704,,,,
44317.1,B(L),M,F48,12/28/2011,BrF47-21,42597.1,42704.1,42597,42704,,,,
44198.1,Ag,F,F48,12/29/2011,BrF47-20,42485.1,42658.1,42485,42658,,,,
44315.1,B,F,F48,12/28/2011,BrF47-21,42597.1,42704.1,42597,42704,,,,
44319.1,Ag(L),F,F48,12/28/2011,BrF47-25,42479.1,42664.1,42479,42664,,,,
44326.1,W,F,F48,12/28/2011,BrF47-26,42493.1,42702.1,42493,42702,,,,
44312.1,Ag,M,F48,12/29/2011,BrF47-20,42485.1,42658.1,42485,42658,,,,
44318.1,W,M,F48,12/28/2011,BrF47-21,42597.1,42704.1,42597,42704,,,,
44322.1,B,M,F48,12/28/2011,BrF47-25,42479.1,42664.1,42479,42664,,,,
44325.1,Ag(L),M,F48,12/28/2011,BrF47-26,42493.1,42702.1,42493,42702,,,,
44320.1,Ag,M,F48,12/28/2011,BrF47-25,42479.1,42664.1,42479,42664,,,,
44321.1,B,M,F48,12/28/2011,BrF47-25,42479.1,42664.1,42479,42664,,,,
44323.1,W,M,F48,12/28/2011,BrF47-26,42493.1,42702.1,42493,42702,,,,
44324.1,B(L),M,F48,12/28/2011,BrF47-26,42493.1,42702.1,42493,42702,,,,
44327.1,W,F,F48,12/28/2011,BrF47-26,42493.1,42702.1,42493,42702,,,,
44328.1,Ag,F,F48,12/28/2011,BrF47-26,42493.1,42702.1,42493,42702,,,,
43949.1,,F,F48,11/28/2011,BrF47-38,42124.1,42468.1,42124,42468,,,,
43950.1,,F,F48,11/28/2011,BrF47-38,42124.1,42468.1,42124,42468,,,,
43951.1,,F,F48,11/28/2011,BrF47-38,42124.1,42468.1,42124,42468,,,,
43952.1,,M,F48,11/28/2011,BrF47-38,42124.1,42468.1,42124,42468,,,,
43953.1,,M,F48,11/28/2011,BrF47-38,42124.1,42468.1,42124,42468,,,,
43954.1,,F,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43955.1,,F,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43956.1,,F,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43957.1,,M,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43958.1,,M,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43959.1,,M,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43960.1,,M,F48,11/30/2011,BrF47-30,42465.1,42486.1,42465,42486,,,,
43967.1,,F,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43968.1,,F,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43969.1,,F,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43970.1,,F,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43971.1,,M,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43972.1,,M,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43973.1,,M,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43974.1,,M,F48,11/30/2011,BrF47-31,42459.1,42480.1,42459,42480,,,,
43975.1,,F,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43976.1,,F,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43977.1,,F,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43978.1,,F,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43979.1,,M,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43980.1,,M,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43981.1,,M,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43892.1,,M,F48,11/30/2011,BrF47-32,42125.1,42474.1,42125,42474,,,,
43986.1,,F,F48,11/30/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
43987.1,,F,F48,11/30/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
43988.1,,F,F48,11/30/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
43989.1,,F,F48,11/30/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
43994.1,,F,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
43995.1,,F,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
43996.1,,F,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
43997.1,,F,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
43999.1,,M,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
44000.1,,M,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
44001.1,,M,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
44002.1,,M,F48,11/30/2011,BrF47-35,42495.1,42399.1,42495,42399,,,,
44003.1,,F,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44004.1,,F,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44005.1,,F,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44006.1,,M,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44007.1,,M,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44008.1,,M,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44009.1,,M,F48,11/30/2011,BrF47-37,42492.1,42514.1,42492,42514,,,,
44010.1,,F,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44011.1,,F,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44012.1,,F,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44013.1,,M,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44014.1,,M,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44015.1,,M,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44016.1,,M,F48,11/30/2011,BrF47-39,42460.1,42500.1,42460,42500,,,,
44021.1,,M,F48,12/14/2011,BrF47-43,42653.1,42715.1,42653,42715,,,,
44022.1,,M,F48,12/14/2011,BrF47-43,42653.1,42715.1,42653,42715,,,,
44355.1,,F,F48,12/13/2011,BrF47-42,42665.1,42596.1,42665,42596,,,,
44356.1,,F,F48,12/13/2011,BrF47-42,42665.1,42596.1,42665,42596,,,,
44357.1,,M,F48,12/13/2011,BrF47-42,42665.1,42596.1,42665,42596,,,,
44358.1,,M,F48,12/13/2011,BrF47-42,42665.1,42596.1,42665,42596,,,,
44359.1,,F,F48,12/14/2011,BrF47-44,42662.1,42712.1,42662,42712,,,,
44360.1,,F,F48,12/14/2011,BrF47-44,42662.1,42712.1,42662,42712,,,,
44361.1,,M,F48,12/14/2011,BrF47-44,42662.1,42712.1,42662,42712,,,,
44362.1,,M,F48,12/14/2011,BrF47-44,42662.1,42712.1,42662,42712,,,,
44363.1,,M,F48,12/14/2011,BrF47-44,42662.1,42712.1,42662,42712,,,,
44364.1,,M,F48,12/14/2011,BrF47-44,42662.1,42712.1,42662,42712,,,,
44017.1,,F,F48,12/14/2011,BrF47-43,42653.1,42715.1,42653,42715,,,,
44018.1,,F,F48,12/14/2011,BrF47-43,42653.1,42715.1,42653,42715,,,,
44019.1,,F,F48,12/14/2011,BrF47-43,42653.1,42715.1,42653,42715,,,,
44020.1,,F,F48,12/14/2011,BrF47-43,42653.1,42715.1,42653,42715,,,,
44501.1,,M,F48,12/24/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
44502.1,,M,F48,12/24/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
44503.1,,M,F48,12/24/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
40504.1,,M,F48,12/24/2011,BrF47-33,42489.1,42483.1,42489,42483,,,,
44528.1,,F,F48,12/27/2011,BrF47-34,42477.1,42577.1,42477,42577,,,,
44529.1,,F,F48,12/27/2011,BrF47-34,42477.1,42577.1,42477,42577,,,,
44530.1,,F,F48,12/27/2011,BrF47-34,42477.1,42577.1,42477,42577,,,,
44531.1,,M,F48,12/27/2011,BrF47-34,42477.1,42577.1,42477,42577,,,,
44532.1,,M,F48,12/27/2011,BrF47-34,42477.1,42577.1,42477,42577,,,,
44543.1,,F,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44544.1,,F,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44545.1,,F,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44546.1,,F,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44547.1,,F,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44548.1,,M,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44549.1,,M,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44550.1,,M,F48,12/30/2011,BrF47-36,42471.1,42398.1,42471,42398,,,,
44533.1,,F,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44534.1,,F,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44535.1,,F,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44536.1,,F,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44537.1,,F,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44538.1,,M,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44539.1,,M,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44540.1,,M,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44541.1,,M,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44542.1,,M,F48,1/3/2012,BrF47-43,42653.1,42715.1,42653,42715,,,,
44554.1,,F,F48,1/6/2012,BrF47-44,42662.1,42712.1,42662,42712,,,,
44555.1,,F,F48,1/6/2012,BrF47-44,42662.1,42712.1,42662,42712,,,,
44556.1,,M,F48,1/6/2012,BrF47-44,42662.1,42712.1,42662,42712,,,,
44557.1,,M,F48,1/6/2012,BrF47-44,42662.1,42712.1,42662,42712,,,,
44558.1,,M,F48,1/6/2012,BrF47-44,42662.1,42712.1,42662,42712,,,,
44563.1,,F,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44564.1,,F,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44565.1,,F,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44566.1,,F,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44567.1,,M,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44568.1,,M,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44569.1,,M,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44570.1,,M,F48,1/6/2012,BrF47-39,42460.1,42500.1,42460,42500,,,,
44580.1,,F,F48,1/6/2012,BrF47-39,42072.1,42003.1,42072,42003,,,,
44581.1,,M,F48,1/6/2012,BrF47-39,42075.1,42009.1,42075,42009,,,,
44582.1,,F,F48,1/6/2012,BrF47-39,42069.1,42057.1,42069,42057,,,,
44583.1,,M,F48,1/6/2012,BrF47-39,42163.1,42063.1,42163,42063,,,,
44584.1,,F,F48,1/6/2012,BrF47-39,42045.1,42006.1,42045,42006,,,,
44585.1,,M,F48,1/6/2012,BrF47-39,42012.1,42054.1,42012,42054,,,,
