Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
17501,B,F,F11,8/26/1998,W,15243,15566,15566,C10,,,,17892,,,C35,
17512,B,M,F11,8/27/1998,Th,15594,15388,15388,C20,,,11/23/1999,17889,,,C29,
17518,B,F,F11,8/27/1998,Th,15625,15650,15650,C24,9/17/1998,,,17915,,,C38,
17522,T,F,F11,8/27/1998,Th,15625,15650,15650,C24,,,11/10/1999,17572,,,C13,
17545,P,M,F11,8/28/1998,F,15575,15608,15608,C19,,,12/31/1999,18266,,,C67,
17553,W,M,F11,8/28/1998,F,15575,15608,15608,C19,,,11/20/1999,17819,,,C25,
17555,B,M,F11,8/28/1998,F,15316,15647,15647,C21,,,11/16/1999,17737,,,C20,
17557,B,F,F11,8/28/1998,F,15316,15647,15647,C21,,,11/23/1999,17870,,,C28,
17568,W,M,F11,8/29/1998,Sa,15643,15689,15689,C27,,,11/10/1999,17328,,,C12,
17569,W,F,F11,8/29/1998,Sa,15643,15689,15689,C27,,,11/27/1999,17919,,,C39,
17572,B,M,F11,8/29/1998,Sa,15687,15701,15701,C31,,,11/10/1999,17522,,,C13,
17574,B,F,F11,8/29/1998,Sa,15687,15701,15701,C31,,,11/10/1999,17462,,,C11,
17593,W,M,F11,8/31/1998,M,15754,15627,15627,C41,,,11/13/1999,17671,,,C18,
17602,T,F,F11,8/31/1998,M,15754,15627,15627,C41,,,11/13/1999,17335,,,C15,
17623,W,F,F11,9/1/1998,Tu,15612,15750,15750,C40,,,11/20/1999,17820,,,C26,
17637,B,M,F11,9/2/1998,W,15423,15767,15767,C38,,,11/13/1999,17464,,,C16,
17639,T,F,F11,9/2/1998,W,15423,15767,15767,C38,,,11/27/1999,17934,,,C41,
17671,W,F,F11,9/3/1998,Th,15538,15759,15759,C39,,,11/13/1999,17593,,,C18,
17681,T,M,F11,9/3/1998,Th,15768,15815,15815,C45,,,11/13/1999,17397,,,C19,
17683,T,F,F11,9/3/1998,Th,15768,15815,15815,C45,,,11/13/1999,17409,,,C17,
17716,B,F,F11,9/5/1998,Sa,15616,15802,15802,C43,,,12/31/1999,17826,,,C65,
17717,B,M,F11,9/5/1998,Sa,15616,15802,15802,C43,,,12/31/1999,18131,,,C66,
17727,B,F,F11,9/5/1998,Sa,15652,15852,15852,C49,,,12/4/1999,18002,,,C44,
17733,B,M,F11,9/5/1998,Sa,15652,15852,15852,C49,,,11/27/1999,17913,,,C36,
17736,W,M,F11,9/5/1998,Sa,15854,15712,15712,C50,,,11/23/1999,17891,,,C33,
17737,W,F,F11,9/5/1998,Sa,15854,15712,15712,C50,,,11/16/1999,17555,,,C20,
17775,T,M,F11,9/6/1998,Su,15832,15460,15460,C48,,,11/23/1999,17881,,,C30,
17818,W,F,F11,9/11/1998,F,15960,15603,15603,C42,,,11/20/1999,17390,,,C24,
17819,W,F,F11,9/11/1998,F,15960,15603,15603,C42,,,11/20/1999,17553,,,C25,
17820,B,M,F11,9/11/1998,F,15960,15603,15603,C42,,,11/20/1999,17623,,,C26,
17826,B,M,F11,9/11/1998,F,15960,15603,15603,C42,,,12/31/1999,17716,,,C65,
17870,B,M,F11,9/12/1998,Sa,15715,16058,16058,C57,,,11/23/1999,17557,,,C28,
17874,W,F,F11,9/12/1998,Sa,15715,16058,16058,C57,,,12/8/1999,18019,,,C45,
17875,W,F,F11,9/12/1998,Sa,15715,16058,16058,C57,,,11/27/1999,17903,,,C37,
17881,W,F,F11,9/13/1998,Su,16012,15671,15671,C56,,,11/23/1999,17775,,,C30,
17887,W,M,F11,9/13/1998,Su,15376,15546,15546,C11,,,11/23/1999,17461,,,C32,
17889,B,F,F11,9/13/1998,Su,15376,15546,15546,C11,,,11/23/1999,17512,,,C29,
17891,T,F,F11,9/14/1998,M,15555,15485,15485,C14,,,11/23/1999,17736,,,C33,
17892,T,M,F11,9/14/1998,M,15555,15485,15485,C14,,,,17501,,,C35,
17901,T,F,F11,9/17/1998,Th,16101,15988,15988,C60,,,11/30/1999,17954,,,C42,
17903,T,M,F11,9/17/1998,Th,16101,15988,15988,C60,,,11/37/99,17875,,,C37,
17909,W,M,F11,9/17/1998,Th,16101,15988,15988,C60,,,12/18/1999,18088,,,C47,
17911,B,F,F11,9/17/1998,Th,16197,16164,16164,C66,,,12/8/1999,18034,,,C46,
17913,B,F,F11,9/17/1998,Th,16197,16164,16164,C66,,,11/27/1999,17733,,,C36,
17915,B,M,F11,9/17/1998,Th,16197,16164,16164,C66,,,11/27/1999,17518,,,C38,
17919,B,M,F11,9/17/1998,Th,16197,16164,16164,C66,,,11/27/1999,17569,,,C39,
17934,B,M,F11,9/18/1998,F,16159,16096,16096,C63,,,11/27/1999,17639,,,C41,
17948,B,F,F11,9/19/1998,Sa,16109,16204,16204,C67,,,12/18/1999,18083,,,C49,
17954,B,M,F11,9/19/1998,Sa,16109,16204,16204,C67,,,11/30/1999,17901,,,C42,
17970,B,F,F11,9/22/1998,Tu,15673,15391,15391,C26,,,12/2/1999,17993,,,C43,
17971,B,M,F11,9/22/1998,Tu,15673,15391,15391,C26,,,12/30/1999,18263,,,C54,
17974,B,F,F11,9/22/1998,Tu,15986,15867,15867,C55,,,12/18/1999,18123,,,C52,
17982,B,M,F11,9/22/1998,Tu,15986,15867,15867,C55,,,,18095,,,,
17993,B,M,F11,9/23/1998,W,16208,15857,15857,C68,,,,17970,,,C43,
18000,B,F,F11,9/23/1998,W,16208,15857,15857,C68,10/14/1998,,12/18/1999,18130,,,C53,
18002,W,M,F11,9/25/1998,F,15994,16062,16062,C58,,,12/4/1999,17727,,,C44,
18007,W,F,F11,9/25/1998,F,15994,16062,16062,C58,,,12/30/1999,18275,,,C56,
18019,B,M,F11,9/26/1998,Sa,15303,15742,15742,C35,,,12/8/1999,17874,,,C45,
18024,T,F,F11,9/26/1998,Sa,15303,15742,15742,C35,,,12/30/1999,18309,,,C58,
18034,W,M,F11,9/28/1998,M,15543,15404,15404,C16,,,12/8/1999,17911,,,C46,
18037,T,F,F11,9/28/1998,M,15543,15404,15404,C16,,,12/30/1999,18273,,,C55,
18074,T,F,F11,10/4/1998,Su,16387,15550,15550,C29,,,12/18/1999,18119,,,C51,
18083,B,M,F11,10/4/1998,Su,15956,15677,15677,C54,,,12/18/1999,17948,,,C49,
18088,W,F,F11,10/4/1998,Su,15956,15677,15677,C54,,,12/18/1999,17909,,,C47,
18095,B,F,F11,10/5/1998,M,15710,15321,15321,C30,,,,,,,,
18101,W,F,F11,10/5/1998,M,15710,15321,15321,C30,,,12/30/1999,18315,,,C59,
18114,W,F,F11,10/6/1998,Tu,15407,16194,16194,C36,,,12/30/1999,18543,,,C63,
18119,W,M,F11,10/6/1998,Tu,15407,16194,16194,C36,,,12/18/1999,18074,,,C51,
18120,W,M,F11,10/6/1998,Tu,15407,16194,16194,C36,,,12/30/1999,18450,,,C60,
18121,T,F,F11,10/6/1998,Tu,15865,15957,15957,C51,10/27/1998,,,18268,,,C64,
18123,T,M,F11,10/6/1998,Tu,15865,15957,15957,C51,10/27/1998,,12/18/1999,17974,,,C52,
18125,B,M,F11,10/6/1998,Tu,15865,15957,15957,C51,10/27/1998,,12/30/1999,18317,,,C57,
18130,B,M,F11,10/8/1998,Th,15241,15720,15720,C32,,,12/18/1999,18000,,,C53,
18131,B,F,F11,10/8/1998,Th,15241,15720,15720,C32,,,12/31/1999,17717,,,C66,
18263,T,F,F11,10/12/1998,M,15756,16151,16151,C61,,,12/30/1999,17971,,,C54,
18264,T,M,F11,10/12/1998,M,15756,16151,16151,C61,,,12/30/1999,18445,,,C61,
18266,W,F,F11,10/12/1998,M,15756,16151,16151,C61,11/2/1998,,12/31/1999,17545,,,C67,
18268,B,M,F11,10/12/1998,M,15756,16151,16151,C61,11/2/1998,,,18121,,,C64,
18273,W,M,F11,10/15/1998,Th,16144,15681,15681,C25,,,12/30/1999,18037,,,C55,
18275,B,M,F11,10/15/1998,Th,16144,15681,15681,C25,,,12/30/1999,18007,,,C56,
18277,B,F,F11,10/15/1998,Th,16144,15681,15681,C25,,,12/30/1999,18442,,,C62,
18309,B,M,F11,10/16/1998,F,16060,16189,16189,C64,,,12/30/1999,18024,,,C58,
18315,W,M,F11,10/16/1998,F,16060,16189,16189,C64,,,12/30/1999,18101,,,C59,
18317,W,F,F11,10/16/1998,F,16060,16189,16189,C64,,,12/30/1999,18125,,,C57,
18442,B,M,F11,10/21/1998,W,15703,15488,15488,C28,,,12/30/1999,18277,,,C62,
18445,B,F,F11,10/21/1998,W,15703,15488,15488,C28,,,12/30/1999,18264,,,C61,
18450,B,F,F11,10/21/1998,W,16066,16107,16107,C59,,,12/30/1999,18120,,,C60,
18453,B,M,F11,10/21/1998,W,16066,16107,16107,C59,,,12/30/1999,18114,,,C63,
