Animal #,C,Sex,Gen.,D.O.B.,Family,Sire,Dam
33881.1,B,M,F42,2/6/2010,BrF41-64,31041.1,31502.1
33882.1,B,F,F42,2/6/2010,BrF41-68,35536.1,31685.1
33883.1,W,M,F42,2/6/2010,BrF41-68,35536.1,31685.1
33884.1,B,F,F42,2/7/2010,BrF41-58,31687.1,31402.1
33885.1,B,F,F42,2/7/2010,BrF41-58,31687.1,31402.1
33886.1,B,M,F42,2/7/2010,BrF41-58,31687.1,31402.1
33887.1,Ag,F,F42,2/7/2010,BrF41-67,35221.1,31682.1
33888.1,B,M,F42,2/7/2010,BrF41-67,35221.1,31682.1
33889.1,B,M,F42,2/7/2010,BrF41-67,35221.1,31682.1
33890.1,W,F,F42,2/11/2010,BrF41-37,31478.1,35519.1
33891.1,Ag,F,F42,2/11/2010,BrF41-37,31478.1,35519.1
33892.1,W,M,F42,2/11/2010,BrF41-37,31478.1,35519.1
33893.1,B,F,F42,2/13/2010,BrF41-69,31408.1,31688.1
33894.1,,M,F42,2/13/2010,BrF41-69,31408.1,31688.1
33895.1,,M,F42,2/13/2010,BrF41-69,31408.1,31688.1
34453.1,B,F,F42,2/9/2010,BrF41-49,35308.1,31471.1
34454.1,Ag,F,F42,2/9/2010,BrF41-49,35308.1,31471.1
34455.1,B,M,F42,2/9/2010,BrF41-49,35308.1,31471.1
34456.1,B,F,F42,2/9/2010,BrF41-63,31403.1,31501.1
34457.1,B,M,F42,2/9/2010,BrF41-63,31403.1,31501.1
34458.1,W,M,F42,2/9/2010,BrF41-63,31403.1,31501.1
34459.1,W,F,F42,2/9/2010,BrF41-66,31485.1,31507.1
34460.1,W,M,F42,2/9/2010,BrF41-66,31485.1,31507.1
