Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
36783,W,M,F21,9/29/2001,Sa,35013,34314,34314,C71,,,12/31/2001,37056/7,,,C70,
36784,W,F,F21,9/29/2001,Sa,35013,34314,34314,C71,,,,37214,,,C93,
36785,W,M,F21,9/29/2001,Sa,35013,34314,34314,C71,,,12/31/2001,36442,,,C30,
36849,T,F,F21,10/1/2001,M,34912,34835,34835,C58,,,12/31/2001,36884,,,C50,
36851,B,M,F21,10/1/2001,M,34912,34835,34835,C58,,,12/31/2001,36449,,,C42,
36862,B,F,F21,10/1/2001,M,34334,34953,34953,C55,,,,36409,,,C40,
36865,B,M,F21,10/1/2001,M,34334,34953,34953,C55,,,12/31/2001,36422,,,C44,
36875,B,M,F21,10/2/2001,Tu,34325,34867,34867,C46,,,12/31/2001,36666,,,C49,
36876,B,F,F21,10/2/2001,Tu,34325,34867,34867,C46,,,12/31/2001,36419,,,C47,
36884,W,M,F21,10/2/2001,Tu,34840,34936,34936,C63,,,12/31/2001,36849,,,C50,
36887,W,F,F21,10/2/2001,Tu,34840,34936,34936,C63,,,12/31/2001,36688,,,C48,
36897,T,F,F21,10/2/2001,Tu,35105,34848,34848,C83,,,12/31/2001,36926,,,C52,
36905,W,M,F21,10/2/2001,Tu,35097,34434,34434,C84,,,12/31/2001,36570,,,C46,
36906,W,F,F21,10/2/2001,Tu,35097,34434,34434,C84,,,,,,,,
36907,W,F,F21,10/2/2001,Tu,35097,34434,34434,C84,,,12/31/2001,36775,,,C41,
36925,T,F,F21,10/3/2001,W,34411,34543,34543,C10,,,12/31/2001,36650,,,C51,
36926,T,M,F21,10/3/2001,W,34411,34543,34543,C10,,,12/31/2001,36897,,,C52,
36937,W,F,F21,10/3/2001,W,35042,34710,34710,C79,,,12/31/2001,37053,,,C71,
36951,B,M,F21,10/4/2001,Th,34756,34673,34673,C37,,,12/31/2001,36565,,,C60,
36953,B,F,F21,10/4/2001,Th,34756,34673,34673,C37,,,12/31/2001,36715,,,C58,
36956,T,F,F21,10/4/2001,Th,34756,34673,34673,C37,,,12/31/2001,36415,,,C54,
36964,T,F,F21,10/4/2001,Th,34745,35048,35048,C77,,,12/31/2001,36509,,,C59,
36973,B,M,F21,10/4/2001,Th,34591,35057,35057,C78,,,12/31/2001,36579,,,C61,
36978,W,F,F21,10/4/2001,Th,34591,35057,35057,C78,,,12/31/2001,36499/36503,,,C56,
36983,W,M,F21,10/4/2001,Th,35047,34355,34355,C81,,,,36370,,,C62,
36985,W,F,F21,10/4/2001,Th,35047,34355,34355,C81,,,,37196,,,C91,
36993,W,M,F21,10/4/2001,Th,35047,34355,34355,C81,,,12/31/2001,36692,,,C63,
36997,B,M,F21,10/4/2001,Th,34505,35143,35143,C85,,,12/31/2001,36587,,,C64,
36998,B,F,F21,10/4/2001,Th,34505,35143,35143,C85,,,12/31/2001,36435,,,C55,
37002,B,M,F21,10/4/2001,Th,35132,34977,34977,C88,,,12/31/2001,36401,,,C65,
37005,B,M,F21,10/4/2001,Th,35132,34977,34977,C88,,,12/31/2001,36429,,,C66,
37009,W,F,F21,10/4/2001,Th,35132,34977,34977,C88,,,12/31/2001,36636,,,C57,
37037,W,F,F21,10/5/2001,F,34653,34444,34444,C31,,,12/31/2001,36699,,,C69,
37039,T,M,F21,10/5/2001,F,34653,34444,34444,C31,,,12/31/2001,37100,,,C77,
37045,W,M,F21,10/5/2001,F,34633,35050,34930,C74,,,12/31/2001,37119,,,C78,
37049,B,F,F21,10/5/2001,F,34633,35050,34833,C74,,,12/31/2001,36672,,,C68,
37053,B,M,F21,10/5/2001,F,35046,34930,34930,C80,,,12/31/2001,36937,,,C71,
37057,W,F,F21,10/5/2001,F,35046,34930,34930,C80,,,,36783,,,C70,
37060,B,F,F21,10/5/2001,F,35056,34833,34833,C82,,,12/31/2001,36363,,,C67,
37061,B,M,F21,10/5/2001,F,35056,34833,34833,C82,,,12/31/2001,36365,,,C72,
37077,B,F,F21,10/6/2001,Sa,34689,34636,34636,C30,,,12/31/2001,36595,,,C75,
37078,B,M,F21,10/6/2001,Sa,34689,34636,34636,C30,,,12/31/2001,36606,,,C79,
37084,W,M,F21,10/6/2001,Sa,34689,34636,34636,C30,,,12/31/2001,36687,,,C80,
37089,W,M,F21,10/6/2001,Sa,34729,35098,35098,C34,,,12/31/2001,36622,,,C81,
37091,W,M,F21,10/6/2001,Sa,34729,35098,35098,C34,,,12/31/2001,36410,,,C82,
37094,B,F,F21,10/6/2001,Sa,34729,35098,35098,C34,,,12/31/2001,36758,,,C37,
37098,W,F,F21,10/6/2001,Sa,34886,34914,34914,C48,,,12/31/2001,36395,,,C73,
37100,W,F,F21,10/6/2001,Sa,34886,34914,34914,C48,,,12/31/2001,37039,,,C77,
37105,B,F,F21,10/6/2001,Sa,34587,35045,35045,C76,,,12/31/2001,36489,,,C74,
37106,W,M,F21,10/6/2001,Sa,34587,35045,35045,C76,,,12/31/2001,36384,,,C83,
37109,W,F,F21,10/6/2001,Sa,34587,35045,35045,C76,,,12/31/2001,36613,,,C76,
37119,B,F,F21,10/6/2001,Sa,35121,34514,34514,C86,,,12/31/2001,37045,,,C78,
37139,W,F,F21,10/10/2001,W,34528,35060,35060,C75,,,12/31/2001,36485,,,C85,
37143,B,M,F21,10/10/2001,W,34528,35060,35060,C75,,,12/31/2001,36321,,,C87,
37172,B,F,F21,10/16/2001,Tu,34496,34872,34872,C45,,,12/31/2001,36368,,,C88,
37185,W,F,F21,10/18/2001,Th,34400,34647,34647,C23,,,,36272,,,C89,
37196,T,M,F21,10/18/2001,Th,35025,35006,35006,C72,,,,36985,,,C91,
37198,T,M,F21,10/18/2001,Th,35025,35006,35006,C72,,,,36578,,,C92,
37200,T,F,F21,10/18/2001,Th,35025,35006,35006,C72,,,,36634,,,C90,
37214,B,M,F21,10/19/2001,F,34519,34889,34889,C47,,,,36784,,,C93,
37217,T,M,F21,10/19/2001,F,34519,34889,34889,C47,,,,36906,,,C94,
