Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Family
1380.1,,F,F35,4/12/2007,,496.1,150.1,,F34-20
1378.1,,M,F35,4/12/2007,,496.1,150.1,,F34-20
1462.1,,F,F35,5/8/2007,,92.1,346.1,,F34-44
1461.1,,M,F35,5/8/2007,,92.1,346.1,,F34-44
1503.1,,M,F35,5/24/2007,,180.1,95.1,,F34-11
1521.1,,F,F35,5/28/2007,,18.1,598.1,,F34-97
1724.1,,M,F35,6/18/2007,,18.1,598.1,,F34-97
1516.1,,F,F35,5/28/2007,,116.1,528.1,,F34-92
1518.1,,M,F35,5/28/2007,,116.1,528.1,,F34-92
1524.1,,F,F35,5/28/2007,,762.1,627.1,,F32-101
1528.1,,M,F35,5/28/2007,,762.1,627.1,,F32-101
1541.1,,F,F35,5/29/2007,,490.1,614.1,,F34-98
1542.1,,M,F35,5/29/2007,,490.1,614.1,,F34-98
1536.1,,F,F35,5/29/2007,,253.1,448.1,,F34-85
1533.1,,M,F35,5/29/2007,,253.1,448.1,,F34-85
1559.1,,F,F35,5/29/2007,,910.1,885.1,,F34-105
1553.1,,M,F35,5/29/2007,,910.1,885.1,,F34-105
1547.1,,F,F35,5/29/2007,,92.1,620.1,,F34-100
1549.1,,M,F35,5/29/2007,,92.1,620.1,,F34-100
1584.1,,F,F35,5/30/2007,,111.1,541.1,,F34-94
1574.1,,M,F35,5/30/2007,,111.1,541.1,,F34-94
1576.1,,F,F35,5/30/2007,,266.1,414.1,,F34-84
1572.1,,M,F35,5/30/2007,,266.1,414.1,,F34-84
1569.1,,F,F35,5/30/2007,,302.1,120.1,,F34-72
1564.1,,M,F35,5/30/2007,,302.1,120.1,,F34-72
1592.1,,F,F35,5/30/2007,,273.1,969.1,,F34-108
1590.1,,M,F35,5/30/2007,,273.1,969.1,,F34-108
1587.1,,F,F35,5/30/2007,,321.1,632.1,,F34-102
1589.1,,M,F35,5/30/2007,,321.1,632.1,,F34-102
1600.1,,F,F35,6/2/2007,,761.1,633.1,,F34-127
1601.1,,M,F35,6/2/2007,,761.1,633.1,,F34-127
1674.1,,F,F35,6/4/2007,,526.1,608.1,,F34-125
1678.1,,M,F35,6/4/2007,,526.1,608.1,,F34-125
1667.1,,F,F35,6/4/2007,,579.1,878.1,,F34-104
1668.1,,M,F35,6/4/2007,,579.1,878.1,,F34-104
1699.1,,F,F35,6/11/2007,,756.1,500.1,,F34-88
1700.1,,M,F35,6/11/2007,,756.1,500.1,,F34-88
1704.1,,F,F35,6/12/2007,,371.1,366.1,,F34-83
1702.1,,M,F35,6/12/2007,,371.1,366.1,,F34-83
1715.1,,F,F35,6/18/2007,,238.1,289.1,,F34-81
1720.1,,M,F35,6/18/2007,,238.1,289.1,,F34-81
16901.1,,F,F35,7/5/2007,,601.1,70.1,,F34-105B
16905.1,,M,F35,7/5/2007,,601.1,70.1,,F34-105B
