Animal #,C,Sex,Gen.,D.O.B.,Family,Sire,Dam
39460.1,W,F,F45,1/5/2011,BrF44-29,38138.1,38210.1
39461.1,B,M,F45,1/5/2011,BrF44-29,38138.1,38210.1
39464.1,Ag,F,F45,1/5/2011,BrF44-34,38215.1,38220.1
39465.1,B,M,F45,1/5/2011,BrF44-34,38215.1,38220.1
39468.1,B,F,F45,1/6/2011,BrF44-24,38225.1,38200.1
39469.1,B,M,F45,1/6/2011,BrF44-24,38225.1,38200.1
39472.1,W,F,F45,1/6/2011,BrF44-26,38110.1,38204.1
39473.1,B,M,F45,1/6/2011,BrF44-26,38110.1,38204.1
39476.1,B,F,F45,1/6/2011,BrF44-31,38273.1,38214.1
39477.1,B,M,F45,1/6/2011,BrF44-31,38273.1,38214.1
39480.1,Ag,F,F45,1/7/2011,BrF44-23,38267.1,38198.1
39481.1,W,M,F45,1/7/2011,BrF44-23,38267.1,38198.1
39484.1,B,F,F45,1/7/2011,BrF44-25,38187.1,38202.1
39485.1,W,M,F45,1/7/2011,BrF44-25,38187.1,38202.1
39486.1,W,F,F45,1/9/2011,BrF44-35,38209.1,38222.1
39487.1,B,M,F45,1/7/2011,BrF44-35,38209.1,38222.1
39488.1,Ag,M,F45,1/8/2011,BrF44-30,38189.1,38212.1
39489.1,Ag,M,F45,1/9/2011,BrF44-52,38253.1,38260.1
39491.1,B,F,F45,1/9/2011,BrF44-45,38263.1,38246.1
39492.1,B,M,F45,1/9/2011,BrF44-45,38263.1,38246.1
39495.1,W,F,F45,1/9/2011,BrF44-60,38285.1,38276.1
39496.1,W,M,F45,1/9/2011,BrF44-60,38285.1,38276.1
39499.1,Ag,F,F45,1/10/2011,BrF44-40,38283.1,38234.1
39500.1,Ag,M,F45,1/10/2011,BrF44-40,38283.1,38234.1
39503.1,Ag,F,F45,1/10/2011,BrF44-22,38213.1,38196.1
39504.1,W,M,F45,1/10/2011,BrF44-22,38213.1,38196.1
39507.1,W,F,F45,1/11/2011,BrF44-57,38271.1,38270.1
39508.1,Ag,M,F45,1/11/2011,BrF44-57,38271.1,38270.1
39509.1,B,F,F45,1/11/2011,BrF44-59,38275.1,38274.1
39510.1,B,M,F45,1/11/2011,BrF44-59,38275.1,38274.1
39511.1,Ag,F,F45,1/13/2011,BrF44-62,38203.1,38280.1
39512.1,Ag,M,F45,1/13/2011,BrF44-62,38203.1,38280.1
39513.1,W,F,F45,1/15/2011,BrF44-15,38265.1,38182.1
39514.1,W,M,F45,1/15/2011,BrF44-15,38265.1,38182.1
39515.1,W,F,F45,1/16/2011,BrF44-36,38105.1,38224.1
39516.1,B,M,F45,1/16/2011,BrF44-36,38105.1,38224.1
39517.1,Ag,F,F45,1/19/2011,BrF44-51,38547.1,38258.1
39518.1,W,M,F45,1/19/2011,BrF44-51,38547.1,38258.1
39519.1,B,F,F45,1/19/2011,BrF44-54,38229.1,38264.1
39520.1,B,M,F45,1/19/2011,BrF44-54,38229.1,38264.1
39521.1,B,F,F45,1/19/2011,BrF44-61,38199.1,38278.1
39522.1,B,M,F45,1/19/2011,BrF44-61,38199.1,38278.1
39523.1,B,F,F45,1/20/2011,BrF44-43,38179.1,38242.1
39524.1,B,M,F45,1/20/2011,BrF44-43,38179.1,38242.1
39525.1,Ag,F,F45,1/20/2011,BrF44-47,38171.1,38250.1
39526.1,Ag,M,F45,1/20/2011,BrF44-47,38171.1,38250.1
39527.1,W,F,F45,1/20/2011,BrF44-48,38221.1,38252.1
39528.1,W,M,F45,1/20/2011,BrF44-48,38221.1,38252.1
39529.1,B,F,F45,1/20/2011,BrF44-56,38193.1,38268.1
39530.1,B,M,F45,1/20/2011,BrF44-56,38193.1,38268.1
39531.1,B,F,F45,1/20/2011,BrF44-65,38223.1,38286.1
39532.1,B,M,F45,1/20/2011,BrF44-65,38223.1,38286.1
39533.1,W,F,F45,1/21/2011,BrF44-41,38231.1,38236.1
39534.1,W,M,F45,1/21/2011,BrF44-41,38231.1,38236.1
39535.1,B,F,F45,1/21/2011,BrF44-49,38251.1,38254.1
39536.1,B,M,F45,1/21/2011,BrF44-49,38251.1,38254.1
39537.1,B,F,F45,1/21/2011,BrF44-53,38227.1,38262.1
39538.1,Ag,M,F45,1/21/2011,BrF44-53,38227.1,38262.1
39539.1,W,F,F45,1/21/2011,BrF44-58,38247.1,38272.1
39540.1,W,M,F45,1/21/2011,BrF44-58,38247.1,38272.1
39541.1,Ag,F,F45,1/21/2011,BrF44-63,38181.1,38282.1
39542.1,B,M,F45,1/21/2011,BrF44-63,38181.1,38282.1
39543.1,Ag,F,F45,1/21/2011,BrF44-66,38235.1,38288.1
39544.1,W,M,F45,1/21/2011,BrF44-66,38235.1,38288.1
39545.1,B,F,F45,1/22/2011,BrF44-55,38195.1,38266.1
39546.1,B,M,F45,1/22/2011,BrF44-55,38195.1,38266.1
39547.1,W,F,F45,1/23/2011,BrF44-50,38165.1,38256.1
39548.1,B,M,F45,1/23/2011,BrF44-50,38165.1,38256.1
39549.1,B,F,F45,1/24/2011,BrF44-32,38197.1,38216.1
39550.1,B,M,F45,1/24/2011,BrF44-32,38197.1,38216.1
39551.1,Ag,F,F45,1/24/2011,BrF44-42,38175.1,38238.1
39552.1,W,M,F45,1/24/2011,BrF44-42,38175.1,38238.1
39553.1,W,F,F45,1/28/2011,BrF44-30,38189.1,38212.1
39554.1,W,F,F45,1/28/2011,BrF44-38,38259.1,38230.1
39555.1,W,M,F45,1/28/2011,BrF44-38,38259.1,38230.1
39556.1,W,F,F45,1/29/2011,BrF44-39,38257.1,38232.1
39557.1,B,M,F45,1/29/2011,BrF44-39,38257.1,38232.1
39558.1,Ag,F,F45,1/31/2011,BrF44-52,38253.1,38260.1
39559.1,B,F,F45,1/31/2011,BrF44-46,38237.1,38248.1
39560.1,Ag,M,F45,1/31/2011,BrF44-46,38237.1,38248.1
39561.1,Ag,F,F45,2/1/2011,BrF44-44,38249.1,38244.1
39562.1,Ag,M,F45,2/1/2011,BrF44-44,38249.1,38244.1
39563.1,W,F,F45,2/1/2011,BrF44-67,38287.1,38546.1
39564.1,Ag,M,F45,2/1/2011,BrF44-67,38287.1,38546.1
39565.1,B,F,F45,2/8/2011,BrF44-04,38255.1,38126.1
39566.1,B,M,F45,2/8/2011,BrF44-04,38255.1,38126.1
39567.1,Ag,F,F45,2/9/2011,BrF44-07,38205.1,38153.1
39568.1,W,M,F45,2/9/2011,BrF44-07,38205.1,38153.1
40066.1,W,F,F45,2/18/2011,BrF44-08,38107.1,38159.1
40067.1,B,M,F45,2/13/2011,BrF44-37,38201.1,38226.1
40068.1,W,M,F45,2/18/2011,BrF44-08,38107.1,38159.1
40069.1,W,F,F45,2/19/2011,BrF44-64,38156.1,38284.1
40070.1,W,M,F45,2/19/2011,BrF44-64,38156.1,38284.1
