id	sire	dam	sex	generation	ped	N_SITES	MEAN_DEPTH	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	O.HOM.	E.HOM.	N_SITES_HET	F
35975	29148.1	30119.1	1	F41	3	965	20.0104	7997	0	7031	0.879205	565	592.9	924	-0.08426
36359	33752.1	33725.1	2	F43	2	987	12.8612	7997	0	7009	0.876454	811	596.4	937	0.63003
36360	33752.1	33725.1	1	F43	2	1010	16.0356	7997	0	6988	0.873828	863	605.4	961	0.72441
36361	33752.1	33725.1	1	F43	2	430	4.92326	7997	0	7566	0.946105	304	268.5	408	0.25423
36375	33727.1	33751.1	2	F43	2	534	15.3315	7997	0	7463	0.933225	434	323.6	512	0.58603
36376	33727.1	33751.1	2	F43	2	1046	14.4895	7997	0	6952	0.869326	898	598.6	971	0.80398
36377	33727.1	33751.1	1	F43	2	1474	5.55902	7997	0	6524	0.815806	1102	784.9	1306	0.60854
36424	33750.1	33863.1	2	F43	1	926	13.0173	7997	0	7070	0.884082	726	570	892	0.48454
36425	33750.1	33863.1	2	F43	1	1380	7.1971	7997	0	6618	0.82756	961	729.2	1189	0.50412
36426	33750.1	33863.1	1	F43	1	837	12.184	7997	0	7160	0.895336	591	515.4	802	0.26386
36427	33732.1	33860.1	2	F43	3	901	11.424	7997	0	7096	0.887333	686	542.3	850	0.46709
36428	33732.1	33860.1	1	F43	3	126	4.97619	7997	0	7870	0.984119	120	75.1	122	0.95733
36429	33732.1	33860.1	1	F43	3	947	14.0211	7997	0	7051	0.881706	538	581	910	-0.1308
36444	33859.1	33709.1	2	F43	3	809	13.8776	7997	0	7189	0.898962	645	480.1	773	0.56298
36445	33859.1	33709.1	1	F43	3	900	10.3	7997	0	7097	0.887458	728	515.4	842	0.65095
36471	33865.1	33879.1	2	F43	1	995	15.1648	7997	0	7002	0.875578	720	598.7	949	0.34635
36472	33865.1	33879.1	1	F43	1	1023	13.9873	7997	0	6975	0.872202	795	593.4	962	0.54698
36473	33865.1	33879.1	1	F43	1	1895	7.49182	7997	0	6103	0.763161	1237	947.8	1578	0.45886
36476	33889.1	33731.1	2	F43	3	133	7.01504	7997	0	7864	0.983369	123	80.6	126	0.93394
36477	33889.1	33731.1	1	F43	3	1023	14.825	7997	0	6974	0.872077	730	619.5	976	0.30993
36478	33889.1	33731.1	1	F43	3	912	9.15022	7997	0	7085	0.885957	686	556.6	871	0.41158
