Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
32881,B,M,F19,3/6/2001,Tu,30867,31121,31121,C37,,,,32978,,3/27/2001,C13,
32886,W,M,F19,3/6/2001,Tu,30830,31180,31180,C40,,,,32865,,3/27/2001,C14,
32890,B,F,F19,3/6/2001,Tu,30830,31180,31180,C40,,,,32720,,3/27/2001,C89,
32901,B,M,F19,3/6/2001,Tu,30876,31228,31228,C41,,,,33400,,3/27/2001,C57,
32915,B,M,F19,3/6/2001,Tu,31179,30793,30793,C46,,,,32818,,3/27/2001,C15,
32916,B,F,F19,3/6/2001,Tu,31179,30793,30793,C46,,,,33418,,3/27/2001,C64,
32920,T,F,F19,3/6/2001,Tu,30893,31212,31212,C47,,,,32729,,3/27/2001,C18,
32923,T,M,F19,3/6/2001,Tu,30893,31212,31212,C47,,,,32618,,3/27/2001,C16,
32929,T,M,F19,3/6/2001,Tu,31160,31211,31211,C48,,,,32631,,3/27/2001,C17,
32935,B,F,F19,3/6/2001,Tu,31160,31211,31211,C48,,,,32856,,3/27/2001,C11,
32937,W,F,F19,3/6/2001,Tu,31046,31267,31267,C51,,,,32801,,3/27/2001,C6,
32946,B,M,F19,3/6/2001,Tu,31046,31267,31267,C51,,,,33567,,3/27/2001,C79,
32949,W,F,F19,3/6/2001,Tu,31257,30927,30927,C52,,,,33101,,3/27/2001,C39,
32952,W,M,F19,3/6/2001,Tu,31257,30927,30927,C52,,,,32854,,3/27/2001,C19,
32960,B,F,F19,3/6/2001,Tu,31275,31074,31074,C55,,,,33035,,3/27/2001,C30,
32962,B,M,F19,3/6/2001,Tu,31275,31074,31074,C55,,,,32827,,3/27/2001,C20,
32967,T,M,F19,3/6/2001,Tu,30990,31320,31320,C60,,,,33078,,3/27/2001,C37,
32971,B,F,F19,3/6/2001,Tu,30990,31320,31320,C60,,,,32819/33872,,3/27/2001,C7,
32978,W,F,F19,3/6/2001,Tu,31108,31343,31343,C62,,,,32881,,3/27/2001,C13,
32983,B,M,F19,3/6/2001,Tu,31350,30895,30895,C63,,,,32607,,3/27/2001,C22,
32985,B,M,F19,3/6/2001,Tu,31350,30895,30895,C63,,,,32735,,3/27/2001,C23,
32986,B,F,F19,3/6/2001,Tu,31350,30895,30895,C63,,,,32861,,3/27/2001,C12,
32989,W,M,F19,3/6/2001,Tu,31390,31248,31248,C68,,,,32876,,3/27/2001,C24,
32992,T,F,F19,3/6/2001,Tu,31390,31248,31248,C68,,,,32680,,3/27/2001,C8,
33005,T,F,F19,3/7/2001,W,30717,30778,30778,C5,,,,32785,,3/28/2001,C28,
33008,B,F,F19,3/7/2001,W,31053,30994,30994,C30,,,,33242,,3/28/2001,C49,
33014,W,M,F19,3/7/2001,W,31053,30994,30994,C30,,,,33105,,3/28/2001,C33,
33017,B,F,F19,3/7/2001,W,30789,31283,31283,C54,,,,33428,,3/28/2001,C65,
33020,T,M,F19,3/7/2001,W,30789,31283,31283,C54,,,,33226,,3/28/2001,C46,
33024,B,F,F19,3/7/2001,W,30765,31344,31344,C61,,,,32781,,3/28/2001,C27,
33026,B,M,F19,3/7/2001,W,30765,31344,31344,C61,,,,33113,,3/28/2001,C32,
33028,B,M,F19,3/7/2001,W,30765,31344,31344,C61,,,,33364,,3/28/2001,C54,
33035,B,M,F19,3/7/2001,W,31410,30679,30679,C70,,,,32960,,3/28/2001,C30,
33042,T,F,F19,3/7/2001,W,31410,30679,30679,C70,,,,32742,,3/28/2001,C31,
33044,W,F,F19,3/7/2001,W,30724,31432,31432,C71,,,,,,3/28/2001,,
33046,W,M,F19,3/7/2001,W,30724,31432,31432,C71,,,,,,3/28/2001,,
33050,B,F,F19,3/8/2001,Th,30713,30907,30907,C10,,,,33163,,3/29/2001,C40,
33063,B,F,F19,3/8/2001,Th,30788,30984,30984,C19,,,,33172,,3/29/2001,C42,
33073,B,M,F19,3/8/2001,Th,30708,31169,31169,C38,,,,33091,,3/29/2001,C34,
33078,W,F,F19,3/8/2001,Th,31113,31173,31173,C42,,,,32967,,3/29/2001,C37,
33089,W,M,F19,3/8/2001,Th,31113,31173,31173,C42,,,,33121,,3/29/2001,C35,
33091,W,F,F19,3/8/2001,Th,31202,30735,30735,C49,,,,33073,,3/29/2001,C34,
33101,B,M,F19,3/8/2001,Th,30759,31300,31300,C57,,,,32949,,3/29/2001,C39,
33105,B,F,F19,3/8/2001,Th,30759,31300,31300,C57,,,,33014,,3/29/2001,C33,
33113,B,F,F19,3/8/2001,Th,30864,31298,31298,C58,,,,33026,,3/29/2001,C32,
33117,T,F,F19,3/8/2001,Th,30750,31397,31397,C65,,,,33198,,3/29/2001,C43,
33118,W,F,F19,3/8/2001,Th,30750,31397,31397,C65,,,,33416,,3/29/2001,C60,
33121,B,F,F19,3/8/2001,Th,30836,31408,31408,C66,,,,33089,,3/29/2001,C35,
33126,W,M,F19,3/8/2001,Th,31352,30885,30885,C64,,,,32787,,3/29/2001,C38,
33130,W,F,F19,3/8/2001,Th,31352,30885,30885,C64,,,,33498,,3/29/2001,C70,
33138,T,M,F19,3/9/2001,F,30746,31427,31427,C72,,,,32704,,3/30/2001,C80,
33140,B,F,F19,3/9/2001,F,30746,31427,31427,C72,,,,33525,,3/30/2001,C74,
33159,B,F,F19,3/10/2001,Sa,31088,30786,30786,C33,,,,33223,,3/31/2001,C47,
33163,B,M,F19,3/10/2001,Sa,31088,30786,30786,C33,,,,33050,,3/31/2001,C40,
33167,W,F,F19,3/10/2001,Sa,31436,31592,31592,C81,,,,33045,,3/31/2001,C41,
33172,W,M,F19,3/10/2001,Sa,31436,31592,31592,C81,,,,33063,,3/31/2001,C42,
33198,W,M,F19,3/11/2001,Su,30709,30857,30857,C9,,,,33117,,4/1/2001,C43,
33199,W,F,F19,3/11/2001,Su,30709,30857,30857,C9,,,,33439,,4/1/2001,C67,
33208,B,F,F19,3/11/2001,Su,30826,30851,30851,C12,,,,32702,,4/1/2001,C45,
33210,T,M,F19,3/11/2001,Su,30826,30851,30851,C12,,,,33044,,4/1/2001,C44,
33223,W,M,F19,3/13/2001,Tu,31559,31125,31125,C80,,,,33159,,4/3/2001,C47,
33226,T,F,F19,3/13/2001,Tu,31588,31268,31268,C82,,,,33020,,4/3/2001,C46,
33228,T,F,F19,3/13/2001,Tu,31588,31268,31268,C82,,,,33571,,4/3/2001,C78,
33230,W,M,F19,3/13/2001,Tu,31588,31268,31268,C82,,,,33429,,4/3/2001,C30,
33241,B,F,F19,3/14/2001,W,31227,31561,31561,C79,,,,32710,,4/4/2001,C48,
33242,B,M,F19,3/14/2001,W,31227,31561,31561,C79,,,,33008,,4/4/2001,C49,
33288,B,M,F19,3/17/2001,Sa,30792,30741,30741,C7 ,,,,32672,,4/7/2001,C50,
33292,B,F,F19,3/17/2001,Sa,30792,30741,30741,C7 ,,,,33319,,4/7/2001,C51,
33312,W,F,F19,3/18/2001,Su,30913,30977,30977,C21,,,,33328,,4/8/2001,C53,
33319,W,M,F19,3/18/2001,Su,30913,30977,30977,C21,,,,33292,,4/8/2001,C51,
33328,T,M,F19,3/19/2001,M,31646,31747,31747,C92,,,,33312,,4/9/2001,C53,
33364,W,F,F19,3/21/2001,W,31745,31259,31259,C95,,,,33028,,4/11/2001,C54,
33365,W,M,F19,3/21/2001,W,31745,31259,31259,C95,,,,32846,,4/11/2001,C55,
33395,W,F,F19,3/22/2001,Th,31610,31698,31698,C87,,,,32726,,4/12/2001,C56,
33400,B,F,F19,3/22/2001,Th,31668,31705,31705,C89,,,,32901,,4/12/2001,C57,
33402,B,M,F19,3/22/2001,Th,31668,31705,31705,C89,,,,32656,,4/12/2001,C59,
33416,W,M,F19,3/22/2001,Th,31695,31716,31716,C93,,,,33118,,4/12/2001,C60,
33418,B,M,F19,3/23/2001,F,31640,31603,31603,C35,,,,32916,,4/13/2001,C64,
33423,W,F,F19,3/23/2001,F,31640,31603,31603,C35,,,,32673,,4/13/2001,C61,
33428,B,M,F19,3/23/2001,F,31247,31710,31710,C90,,,,33017,,4/13/2001,C65,
33429,B,F,F19,3/23/2001,F,31247,31710,31710,C90,,,,33230,,4/13/2001,C63,
33433,B,F,F19,3/23/2001,F,31557,31731,31731,C91,,,,32841,,4/13/2001,C62,
33439,B,M,F19,3/23/2001,F,31751,31424,31424,C96,,,,33199,,4/13/2001,C67,
33498,B,M,F19,3/26/2001,M,31105,31019,31019,C36,,,,33130,,4/16/2001,C70,
33515,B,F,F19,3/27/2001,Tu,31165,30829,30829,C44,,,,32619,,4/17/2001,C72,
33525,W,M,F19,3/27/2001,Tu,30855,31741,31741,C103,,,,33140,,4/17/2001,C74,
33566,T,F,F19,3/28/2001,W,31303,30870,30870,C59,,,,32809,,4/18/2001,C75,
33567,W,F,F19,3/29/2001,Th,31047,30917,30917,C28,,,,32946,,4/19/2001,C79,
33571,W,M,F19,3/29/2001,Th,31047,30917,30917,C28,,,,33228,,4/19/2001,C78,
