Animal # ,CC,Sex,Gen.,DOB,Family,Sire,Dam,Sire,Dam
44119.1,W,M,F48,12/21/2011,BrF47-13,42047.1,42058.1,42047,42058
44125.1,W(L),M,F48,12/21/2011,BrF47-14,42862.1,42062.1,42862,42062
44126.1,W(L),M,F48,12/21/2011,BrF47-14,42862.1,42062.1,42862,42062
44121.1,Ag,F,F48,12/21/2011,BrF47-14,42862.1,42062.1,42862,42062
44122.1,W,F,F48,12/21/2011,BrF47-14,42862.1,42062.1,42862,42062
44127.1,B,F,F48,12/21/2011,BrF47-19,42488.1,42044.1,42488,42044
44128.1,W(L),F,F48,12/21/2011,BrF47-19,42488.1,42044.1,42488,42044
44131.1,B,M,F48,12/21/2011,BrF47-19,42488.1,42044.1,42488,42044
44132.1,W,M,F48,12/21/2011,BrF47-19,42488.1,42044.1,42488,42044
44133.1,Ag,M,F48,12/21/2011,BrF47-17,42716.1,42499.1,42716,42499
44134.1,Ag(L),M,F48,12/21/2011,BrF47-17,42716.1,42499.1,42716,42499
44135.1,Ag,M,F48,12/21/2011,BrF47-17,42716.1,42499.1,42716,42499
44142.1,W,M,F48,12/21/2011,BrF47-18,42714.1,42711.1,42714,42711
44150.1,B ,M,F48,12/23/2011,BrF47-15,42462.1,42064.1,42462,42064
44151.1,Ag(L),M,F48,12/23/2011,BrF47-16,42860.1,42513.1,42860,42513
44159.1,B(L),M,F48,12/25/2011,BrF47-08,42073.1,42161.1,42073,42161
44136.1,Ag,F,F48,12/21/2011,BrF47-17,42716.1,42499.1,42716,42499
44137.1,Ag(L),F,F48,12/21/2011,BrF47-17,42716.1,42499.1,42716,42499
44140.1,W,F,F48,12/21/2011,BrF47-18,42714.1,42711.1,42714,42711
44141.1,W(L),F,F48,12/21/2011,BrF47-18,42714.1,42711.1,42714,42711
44138.1,Ag,F,F48,12/21/2011,BrF47-17,42716.1,42499.1,42716,42499
44139.1,W,F,F48,12/21/2011,BrF47-18,42714.1,42711.1,42714,42711
44145.1,Ag,F,F48,12/23/2011,BrF47-15,42462.1,42064.1,42462,42064
44156.1,B,F,F48,12/25/2011,BrF47-08,42073.1,42161.1,42073,42161
44178.1,B(L),F,F48,12/26/2011,BrF47-29,42466.1,42463.1,42466,42463
44143.1,W,M,F48,12/21/2011,BrF47-18,42714.1,42711.1,42714,42711
44144.1,W,M,F48,12/21/2011,BrF47-18,42714.1,42711.1,42714,42711
44148.1,Ag,M,F48,12/23/2011,BrF47-15,42462.1,42064.1,42462,42064
44149.1,B,M,F48,12/23/2011,BrF47-15,42462.1,42064.1,42462,42064
44146.1,Ag,F,F48,12/23/2011,BrF47-15,42462.1,42064.1,42462,42064
44147.1,B,F,F48,12/23/2011,BrF47-15,42462.1,42064.1,42462,42064
44154.1,Ag(L),F,F48,12/23/2011,BrF47-16,42860.1,42513.1,42860,42513
44155.1,Ag(L),F,F48,12/23/2011,BrF47-16,42860.1,42513.1,42860,42513
44152.1,B,M,F48,12/23/2011,BrF47-16,42860.1,42513.1,42860,42513
44153.1,W,M,F48,12/23/2011,BrF47-16,42860.1,42513.1,42860,42513
44157.1,B(L),M,F48,12/25/2011,BrF47-08,42073.1,42161.1,42073,42161
44158.1,B(L),M,F48,12/25/2011,BrF47-08,42073.1,42161.1,42073,42161
44160.1,W,F,F48,12/26/2011,BrF47-22,42600.1,42591.1,42600,42591
44161.1,W,F,F48,12/26/2011,BrF47-22,42600.1,42591.1,42600,42591
44166.1,Ag,F,F48,12/26/2011,BrF47-24,42652.1,42515.1,42652,42515
44167.1,B,F,F48,12/26/2011,BrF47-24,42652.1,42515.1,42652,42515
44162.1,W,F,F48,12/26/2011,BrF47-22,42600.1,42591.1,42600,42591
44168.1,B,F,F48,12/26/2011,BrF47-24,42652.1,42515.1,42652,42515
44172.1,Ag,F,F48,12/26/2011,BrF47-27,42496.1,42475.1,42496,42475
44184.1,B(L),F,F48,12/29/2011,BrF47-23,42472.1,42070.1,42472,42070
44192.1,W(L),F,F48,12/27/2011,BrF47-28,42660.1,42517.1,42660,42517
44163.1,W,M,F48,12/26/2011,BrF47-22,42600.1,42591.1,42600,42591
44164.1,W,M,F48,12/26/2011,BrF47-22,42600.1,42591.1,42600,42591
44169.1,W(L),M,F48,12/26/2011,BrF47-24,42652.1,42515.1,42652,42515
44170.1,W(L),M,F48,12/26/2011,BrF47-24,42652.1,42515.1,42652,42515
44165.1,W,M,F48,12/26/2011,BrF47-22,42600.1,42591.1,42600,42591
44171.1,W(L),M,F48,12/26/2011,BrF47-24,42652.1,42515.1,42652,42515
44175.1,Ag,M,F48,12/26/2011,BrF47-27,42496.1,42475.1,42496,42475
44189.1,W(L),M,F48,12/29/2011,BrF47-23,42472.1,42070.1,42472,42070
44193.1,B,M,F48,12/27/2011,BrF47-28,42660.1,42517.1,42660,42517
44173.1,Ag,F,F48,12/26/2011,BrF47-27,42496.1,42475.1,42496,42475
44174.1,B,F,F48,12/26/2011,BrF47-27,42496.1,42475.1,42496,42475
44179.1,B(L),F,F48,12/26/2011,BrF47-29,42466.1,42463.1,42466,42463
44180.1,W,F,F48,12/26/2011,BrF47-29,42466.1,42463.1,42466,42463
44176.1,Ag,M,F48,12/26/2011,BrF47-27,42496.1,42475.1,42496,42475
44177.1,B,M,F48,12/26/2011,BrF47-27,42496.1,42475.1,42496,42475
44182.1,B(L),M,F48,12/26/2011,BrF47-29,42466.1,42463.1,42466,42463
44183.1,W,M,F48,12/26/2011,BrF47-29,42466.1,42463.1,42466,42463
44185.1,W,F,F48,12/29/2011,BrF47-23,42472.1,42070.1,42472,42070
44186.1,B,F,F48,12/29/2011,BrF47-23,42472.1,42070.1,42472,42070
44190.1,Ag,F,F48,12/27/2011,BrF47-28,42660.1,42517.1,42660,42517
44191.1,W(L),F,F48,12/27/2011,BrF47-28,42660.1,42517.1,42660,42517
44187.1,W,M,F48,12/29/2011,BrF47-23,42472.1,42070.1,42472,42070
44188.1,W,M,F48,12/29/2011,BrF47-23,42472.1,42070.1,42472,42070
44194.1,W(L),M,F48,12/27/2011,BrF47-28,42660.1,42517.1,42660,42517
44195.1,W(L),M,F48,12/27/2011,BrF47-28,42660.1,42517.1,42660,42517
44196.1,Ag,F,F48,12/29/2011,BrF47-20,42658.1,42485.1,42658,42485
44197.1,B,F,F48,12/29/2011,BrF47-20,42658.1,42485.1,42658,42485
44313.1,W,F,F48,12/28/2011,BrF47-21,42704.1,42597.1,42704,42597
44314.1,Ag(L),F,F48,12/28/2011,BrF47-21,42704.1,42597.1,42704,42597
44199.1,Ag,M,F48,12/29/2011,BrF47-20,42658.1,42485.1,42658,42485
44200.1,B,M,F48,12/29/2011,BrF47-20,42658.1,42485.1,42658,42485
44316.1,W,M,F48,12/28/2011,BrF47-21,42704.1,42597.1,42704,42597
44317.1,B(L),M,F48,12/28/2011,BrF47-21,42704.1,42597.1,42704,42597
44198.1,Ag,F,F48,12/29/2011,BrF47-20,42658.1,42485.1,42658,42485
44315.1,B,F,F48,12/28/2011,BrF47-21,42704.1,42597.1,42704,42597
44319.1,Ag(L),F,F48,12/28/2011,BrF47-25,42664.1,42479.1,42664,42479
44326.1,W,F,F48,12/28/2011,BrF47-26,42702.1,42493.1,42702,42493
44312.1,Ag,M,F48,12/29/2011,BrF47-20,42658.1,42485.1,42658,42485
44318.1,W,M,F48,12/28/2011,BrF47-21,42704.1,42597.1,42704,42597
44322.1,B,M,F48,12/28/2011,BrF47-25,42664.1,42479.1,42664,42479
44325.1,Ag(L),M,F48,12/28/2011,BrF47-26,42702.1,42493.1,42702,42493
44320.1,Ag,M,F48,12/28/2011,BrF47-25,42664.1,42479.1,42664,42479
44321.1,B,M,F48,12/28/2011,BrF47-25,42664.1,42479.1,42664,42479
44323.1,W,M,F48,12/28/2011,BrF47-26,42702.1,42493.1,42702,42493
44324.1,B(L),M,F48,12/28/2011,BrF47-26,42702.1,42493.1,42702,42493
44327.1,W,F,F48,12/28/2011,BrF47-26,42702.1,42493.1,42702,42493
44328.1,Ag,F,F48,12/28/2011,BrF47-26,42702.1,42493.1,42702,42493
43949.1,,F,F48,11/28/2011,BrF47-38,42468.1,42124.1,42468,42124
43950.1,,F,F48,11/28/2011,BrF47-38,42468.1,42124.1,42468,42124
43951.1,,F,F48,11/28/2011,BrF47-38,42468.1,42124.1,42468,42124
43952.1,,M,F48,11/28/2011,BrF47-38,42468.1,42124.1,42468,42124
43953.1,,M,F48,11/28/2011,BrF47-38,42468.1,42124.1,42468,42124
43954.1,,F,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43955.1,,F,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43956.1,,F,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43957.1,,M,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43958.1,,M,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43959.1,,M,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43960.1,,M,F48,11/30/2011,BrF47-30,42486.1,42465.1,42486,42465
43967.1,,F,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43968.1,,F,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43969.1,,F,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43970.1,,F,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43971.1,,M,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43972.1,,M,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43973.1,,M,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43974.1,,M,F48,11/30/2011,BrF47-31,42480.1,42459.1,42480,42459
43975.1,,F,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43976.1,,F,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43977.1,,F,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43978.1,,F,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43979.1,,M,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43980.1,,M,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43981.1,,M,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43892.1,,M,F48,11/30/2011,BrF47-32,42474.1,42125.1,42474,42125
43986.1,,F,F48,11/30/2011,BrF47-33,42483.1,42489.1,42483,42489
43987.1,,F,F48,11/30/2011,BrF47-33,42483.1,42489.1,42483,42489
43988.1,,F,F48,11/30/2011,BrF47-33,42483.1,42489.1,42483,42489
43989.1,,F,F48,11/30/2011,BrF47-33,42483.1,42489.1,42483,42489
43994.1,,F,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
43995.1,,F,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
43996.1,,F,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
43997.1,,F,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
43999.1,,M,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
44000.1,,M,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
44001.1,,M,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
44002.1,,M,F48,11/30/2011,BrF47-35,42399.1,42495.1,42399,42495
44003.1,,F,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44004.1,,F,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44005.1,,F,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44006.1,,M,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44007.1,,M,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44008.1,,M,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44009.1,,M,F48,11/30/2011,BrF47-37,42514.1,42492.1,42514,42492
44010.1,,F,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44011.1,,F,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44012.1,,F,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44013.1,,M,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44014.1,,M,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44015.1,,M,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44016.1,,M,F48,11/30/2011,BrF47-39,42500.1,42460.1,42500,42460
44021.1,,M,F48,12/14/2011,BrF47-43,42715.1,42653.1,42715,42653
44022.1,,M,F48,12/14/2011,BrF47-43,42715.1,42653.1,42715,42653
44355.1,,F,F48,12/13/2011,BrF47-42,42596.1,42665.1,42596,42665
44356.1,,F,F48,12/13/2011,BrF47-42,42596.1,42665.1,42596,42665
44357.1,,M,F48,12/13/2011,BrF47-42,42596.1,42665.1,42596,42665
44358.1,,M,F48,12/13/2011,BrF47-42,42596.1,42665.1,42596,42665
44359.1,,F,F48,12/14/2011,BrF47-44,42712.1,42662.1,42712,42662
44360.1,,F,F48,12/14/2011,BrF47-44,42712.1,42662.1,42712,42662
44361.1,,M,F48,12/14/2011,BrF47-44,42712.1,42662.1,42712,42662
44362.1,,M,F48,12/14/2011,BrF47-44,42712.1,42662.1,42712,42662
44363.1,,M,F48,12/14/2011,BrF47-44,42712.1,42662.1,42712,42662
44364.1,,M,F48,12/14/2011,BrF47-44,42712.1,42662.1,42712,42662
44017.1,,F,F48,12/14/2011,BrF47-43,42715.1,42653.1,42715,42653
44018.1,,F,F48,12/14/2011,BrF47-43,42715.1,42653.1,42715,42653
44019.1,,F,F48,12/14/2011,BrF47-43,42715.1,42653.1,42715,42653
44020.1,,F,F48,12/14/2011,BrF47-43,42715.1,42653.1,42715,42653
44501.1,,M,F48,12/24/2011,BrF47-33,42483.1,42489.1,42483,42489
44502.1,,M,F48,12/24/2011,BrF47-33,42483.1,42489.1,42483,42489
44503.1,,M,F48,12/24/2011,BrF47-33,42483.1,42489.1,42483,42489
40504.1,,M,F48,12/24/2011,BrF47-33,42483.1,42489.1,42483,42489
44528.1,,F,F48,12/27/2011,BrF47-34,42577.1,42477.1,42577,42477
44529.1,,F,F48,12/27/2011,BrF47-34,42577.1,42477.1,42577,42477
44530.1,,F,F48,12/27/2011,BrF47-34,42577.1,42477.1,42577,42477
44531.1,,M,F48,12/27/2011,BrF47-34,42577.1,42477.1,42577,42477
44532.1,,M,F48,12/27/2011,BrF47-34,42577.1,42477.1,42577,42477
44543.1,,F,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44544.1,,F,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44545.1,,F,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44546.1,,F,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44547.1,,F,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44548.1,,M,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44549.1,,M,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44550.1,,M,F48,12/30/2011,BrF47-36,42398.1,42471.1,42398,42471
44533.1,,F,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44534.1,,F,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44535.1,,F,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44536.1,,F,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44537.1,,F,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44538.1,,M,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44539.1,,M,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44540.1,,M,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44541.1,,M,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44542.1,,M,F48,1/3/2012,BrF47-43,42715.1,42653.1,42715,42653
44554.1,,F,F48,1/6/2012,BrF47-44,42712.1,42662.1,42712,42662
44555.1,,F,F48,1/6/2012,BrF47-44,42712.1,42662.1,42712,42662
44556.1,,M,F48,1/6/2012,BrF47-44,42712.1,42662.1,42712,42662
44557.1,,M,F48,1/6/2012,BrF47-44,42712.1,42662.1,42712,42662
44558.1,,M,F48,1/6/2012,BrF47-44,42712.1,42662.1,42712,42662
44563.1,,F,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44564.1,,F,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44565.1,,F,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44566.1,,F,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44567.1,,M,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44568.1,,M,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44569.1,,M,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44570.1,,M,F48,1/6/2012,BrF47-39,42500.1,42460.1,42500,42460
44580.1,,F,F48,1/6/2012,BrF47-39,42003.1,42072.1,42003,42072
44581.1,,F,F48,1/6/2012,BrF47-39,42009.1,42075.1,42009,42075
44582.1,,F,F48,1/6/2012,BrF47-39,42057.1,42069.1,42057,42069
44583.1,,M,F48,1/6/2012,BrF47-39,42063.1,42163.1,42063,42163
44584.1,,M,F48,1/6/2012,BrF47-39,42006.1,42045.1,42006,42045
44585.1,,M,F48,1/6/2012,BrF47-39,42054.1,42012.1,42054,42012
