Animal #,CC,Sex,Gen.,DOB,Family,Sire,Dam
40665.1,W,M,F46,4/28/2011,BrF45-31,39500.1,39513.1
40667.1,B,M,F46,4/28/2011,BrF45-32,39557.1,39515.1
40669.1,Ag,M,F46,4/28/2011,BrF45-33,39449.1,39517.1
40671.1,W,M,F46,4/28/2011,BrF45-34,40068.1,39519.1
40672.1,B,F,F46,5/1/2011,BrF45-36,39477.1,39523.1
40674.1,Ag,F,F46,5/2/2011,BrF45-60,39560.1,39369.1
40676.1,W,F,F46,5/3/2011,BrF45-46,39447.1,39543.1
40673.1,W,M,F46,5/1/2011,BrF45-36,39477.1,39523.1
40675.1,Ag,M,F46,5/2/2011,BrF45-60,39560.1,39369.1
40677.1,Ag,M,F46,5/3/2011,BrF45-46,39447.1,39543.1
40678.1,B,F,F46,5/4/2011,BrF45-01,39562.1,39401.1
40680.1,W,F,F46,5/4/2011,BrF45-44,39504.1,39539.1
40682.1,Ag,F,F46,5/4/2011,BrF45-59,39508.1,39567.1
40679.1,W,M,F46,5/4/2011,BrF45-01,39562.1,39401.1
40684.1,W,M,F46,5/4/2011,BrF45-44,39504.1,39539.1
40683.1,Ag,M,F46,5/4/2011,BrF45-59,39508.1,39567.1
40686.1,W,F,F46,5/11/2011,BrF45-21,39568.1,39480.1
40688.1,Ag,F,F46,5/11/2011,BrF45-16,39442.1,39456.1
40685.1,B,M,F46,5/11/2011,BrF45-21,39568.1,39480.1
40687.1,B,M,F46,5/11/2011,BrF45-16,39442.1,39456.1
40690.1,W,F,F46,5/14/2011,BrF45-11,39512.1,39440.1
40692.1,B,F,F46,5/16/2011,BrF45-9,39524.1,39433.1
40694.1,W,F,F46,5/16/2011,BrF45-10,39518.1,39437.1
40689.1,Ag,M,F46,5/14/2011,BrF45-11,39512.1,39440.1
40691.1,B,M,F46,5/16/2011,BrF45-9,39524.1,39433.1
40693.1,W,M,F46,5/16/2011,BrF45-10,39518.1,39437.1
40698.1,W,F,F46,5/17/2011,BrF45-27,39422.1,39503.1
40700.1,Ag,F,F46,5/17/2011,BrF45-40,39457.1,39531.1
40704.1,W,F,F46,5/18/2011,BrF45-48,39520.1,39547.1
40706.1,B,F,F46,5/18/2011,BrF45-41,39487.1,39533.1
41204.1,B,F,F46,5/19/2011,BrF45-62,39453.1,40066.1
40699.1,Ag,M,F46,5/17/2011,BrF45-27,39422.1,39503.1
40701.1,Ag,M,F46,5/17/2011,BrF45-40,39457.1,39531.1
40703.1,B,M,F46,5/18/2011,BrF45-48,39520.1,39547.1
40705.1,W,M,F46,5/18/2011,BrF45-41,39487.1,39533.1
41203.1,W,M,F46,5/19/2011,BrF45-62,39453.1,40066.1
40712.1,Ag,F,F46,5/19/2011,BrF45-42,39538.1,39535.1
40722.1,W,F,F46,5/19/2011,BrF45-47,39489.1,39545.1
40716.1,W,F,F46,5/19/2011,BrF45-49,39540.1,39549.1
40718.1,Ag,F,F46,5/19/2011,BrF45-50,39485.1,39551.1
40720.1,W,F,F46,5/19/2011,BrF45-28,39492.1,39507.1
40711.1,Ag,M,F46,5/19/2011,BrF45-42,39538.1,39535.1
40713.1,W,M,F46,5/19/2011,BrF45-47,39489.1,39545.1
40715.1,B,M,F46,5/19/2011,BrF45-49,39540.1,39549.1
40717.1,W,M,F46,5/19/2011,BrF45-50,39485.1,39551.1
40719.1,B,M,F46,5/19/2011,BrF45-28,39492.1,39507.1
41206.1,W,F,F46,5/21/2011,BrF45-29,39564.1,39509.1
41208.1,W,F,F46,5/21/2011,BrF45-32,39557.1,39515.1
41210.1,B,F,F46,5/21/2011,BrF45-38,39445.1,39527.1
41207.1,B,M,F46,5/21/2011,BrF45-29,39564.1,39509.1
41209.1,B,M,F46,5/21/2011,BrF45-32,39557.1,39515.1
41211.1,Ag,M,F46,5/21/2011,BrF45-38,39445.1,39527.1
41216.1,Ag,F,F46,5/22/2011,BrF45-25,39566.1,39495.1
41220.1,Ag,F,F46,5/22/2011,BrF45-30,39496.1,39511.1
41224.1,W,F,F46,5/23/2011,BrF45-34,40068.1,39519.1
41226.1,B,F,F46,5/23/2011,BrF45-55,40067.1,39370.1
41215.1,W,M,F46,5/22/2011,BrF45-25,39566.1,39495.1
41219.1,Ag,M,F46,5/22/2011,BrF45-30,39496.1,39511.1
41223.1,B,M,F46,5/23/2011,BrF45-34,40068.1,39519.1
41227.1,B,M,F46,5/23/2011,BrF45-55,40067.1,39370.1
41236.1,W,F,F46,5/24/2011,BrF45-53,40070.1,39558.1
41240.1,W,F,F46,5/24/2011,BrF45-52,39410.1,39554.1
41242.1,Ag,F,F46,5/24/2011,BrF45-60,39560.1,39369.1
41246.1,B,F,F46,5/24/2011,BrF45-58,39481.1,39565.1
41248.1,B,F,F46,5/24/2011,BrF45-61,39473.1,39371.1
41237.1,B,M,F46,5/24/2011,BrF45-53,40070.1,39558.1
41239.1,W,M,F46,5/24/2011,BrF45-52,39410.1,39554.1
41243.1,Ag,M,F46,5/24/2011,BrF45-60,39560.1,39369.1
41245.1,W,M,F46,5/24/2011,BrF45-58,39481.1,39565.1
41249.1,Ag,M,F46,5/24/2011,BrF45-61,39473.1,39371.1
41326.1,B,F,F46,5/25/2011,BrF45-43,39536.1,39537.1
41330.1,Ag,F,F46,5/24/2011,BrF45-45,39426.1,39541.1
41332.1,B,F,F46,5/25/2011,BrF45-54,39434.1,39559.1
41336.1,W,F,F46,5/25/2011,BrF45-63,39534.1,40069.1
41338.1,W,F,F46,5/25/2011,BrF45-33,39449.1,39517.1
41327.1,W,M,F46,5/25/2011,BrF45-43,39536.1,39537.1
41329.1,Ag,M,F46,5/24/2011,BrF45-45,39426.1,39541.1
41331.1,W,M,F46,5/25/2011,BrF45-54,39434.1,39559.1
41335.1,W,M,F46,5/25/2011,BrF45-63,39534.1,40069.1
41339.1,Ag,M,F46,5/25/2011,BrF45-33,39449.1,39517.1
41346.1,Ag,F,F46,5/26/2011,BrF45-57,39418.1,39563.1
41348.1,W,F,F46,5/26/2011,BrF45-46,39447.1,39543.1
41352.1,B,F,F46,5/27/2011,BrF45-56,39406.1,39561.1
41354.1,W,F,F46,5/24/2011,BrF45-44,39504.1,39539.1
41347.1,Ag,M,F46,5/26/2011,BrF45-57,39418.1,39563.1
41349.1,Ag,M,F46,5/26/2011,BrF45-46,39447.1,39543.1
41351.1,B,M,F46,5/27/2011,BrF45-56,39406.1,39561.1
41355.1,W,M,F46,5/24/2011,BrF45-44,39504.1,39539.1
41399.1,W,F,F46,5/30/2011,BrF45-64,39430.1,39556.1
41403.1,W,F,F46,5/30/2011,BrF45-24,39414.1,39491.1
41400.1,W,M,F46,5/30/2011,BrF45-64,39430.1,39556.1
41402.1,B,M,F46,5/30/2011,BrF45-24,39414.1,39491.1
