Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,,,,,,,,,,,,,,,,,,,,
20224,W,F,F13,3/22/1999,M,19169,18951,18951,C26,,,,20375,,,C26,,,,,,,,,,,,,,,,,,,,
20230,B,M,F13,3/23/1999,Tu,18840,18821,18821,C1,,,,20186,,,C7,,,,,,,,,,,,,,,,,,,,
20235,B,F,F13,3/23/1999,Tu,18840,18821,18821,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236,B,F,F13,3/23/1999,Tu,18840,18821,18821,C1,,,,20183,,,C13,,,,,,,,,,,,,,,,,,,,
20238,W,F,F13,3/23/1999,Tu,18922,18944,18944,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,
20243,T,M,F13,3/23/1999,Tu,18922,18944,18944,C4,,,,20202,,,C11,,,,,,,,,,,,,,,,,,,,
20247,B,F,F13,3/23/1999,Tu,18982,18901,18901,C11,,,,20160,,,C5,,,,,,,,,,,,,,,,,,,,
20250,B,M,F13,3/23/1999,Tu,18982,18901,18901,C11,,,,20430,,,C33,,,,,,,,,,,,,,,,,,,,
20252,W,M,F13,3/23/1999,Tu,18878,19021,19021,C14,,,,,,,,,,,,,,,,,,,,,,,,,,,
20258,W,F,F13,3/23/1999,Tu,18878,19021,19021,C14,,,,20569,,,C36,,,,,,,,,,,,,,,,,,,,
20260,B,F,F13,3/23/1999,Tu,18894,19094,19094,C22,,,,20152,,,C4,,,,,,,,,,,,,,,,,,,,
20261,B,F,F13,3/23/1999,Tu,18894,19094,19094,C22,,,,20218,,,C6,,,,,,,,,,,,,,,,,,,,
20268,B,M,F13,3/23/1999,Tu,18894,19094,19094,C22,,,,20303,,,C12,,,,,,,,,,,,,,,,,,,,
20277,T,F,F13,3/24/1999,W,18933,18917,18917,C3,,,,20296,,,C16,,,,,,,,,,,,,,,,,,,,
20284,W,M,F13,3/24/1999,W,19007,18874,18874,C15,,,,20213,,,C15,,,,,,,,,,,,,,,,,,,,
20288,B,F,F13,3/24/1999,W,19007,18874,18874,C15,,,,20167,,,C9,,,,,,,,,,,,,,,,,,,,
20296,B,M,F13,3/24/1999,W,19048,19015,19015,C19,,,,20277,,,C16,,,,,,,,,,,,,,,,,,,,
20299,B,M,F13,3/24/1999,W,19048,19015,19015,C19,,,,20156,,,C17,,,,,,,,,,,,,,,,,,,,
20303,B,F,F13,3/24/1999,W,18849,19075,19075,C20,,,,20268,,,C12,,,,,,,,,,,,,,,,,,,,
20305,T,M,F13,3/24/1999,W,18849,19075,19075,C20,,,,20383,,,C24,,,,,,,,,,,,,,,,,,,,
20310,W,F,F13,3/24/1999,W,18962,19164,19164,C25,,,,20576,,,C37,,,,,,,,,,,,,,,,,,,,
20314,T,M,F13,3/24/1999,W,18962,19164,19164,C25,,,,20154,,,C18,,,,,,,,,,,,,,,,,,,,
20334,T,M,F13,3/25/1999,Th,18953,18886,18886,C6,,,,20425,,,C28,,,,,,,,,,,,,,,,,,,,
20339,W,F,F13,3/25/1999,Th,18953,18886,18886,C6,,,,20176,,,C20,,,,,,,,,,,,,,,,,,,,
20341,B,F,F13,3/25/1999,Th,18834,18964,18964,C7,,,,20168,,,C19,,,,,,,,,,,,,,,,,,,,
20345,B,M,F13,3/25/1999,Th,18834,18964,18964,C7,,,,20380,,,C25,,,,,,,,,,,,,,,,,,,,
20348,W,M,F13,3/25/1999,Th,18834,18964,18964,C7,,,,,,,,,,,,,,,,,,,,,,,,,,,
20359,W,F,F13,3/25/1999,Th,18942,18968,18968,C8,,,,20217,,,C21,,,,,,,,,,,,,,,,,,,,
20375,W,M,F13,3/26/1999,F,18974,18830,18830,C9,,,,20224,,,C26,,,,,,,,,,,,,,,,,,,,
20380,W,F,F13,3/26/1999,F,18974,18830,18830,C9,,,,20345,,,C25,,,,,,,,,,,,,,,,,,,,
20383,B,F,F13,3/26/1999,F,18974,18830,18830,C9,,,,20305,,,C24,,,,,,,,,,,,,,,,,,,,
20402,B,F,F13,3/28/1999,Su,19225,19165,19165,C30,,,,,,,,,,,,,,,,,,,,,,,,,,,
20407,W,F,F13,3/28/1999,Su,19225,19165,19165,C30,,,,20960,,,C27,,,,,,,,,,,,,,,,,,,,
20411,W,M,F13,3/28/1999,Su,19225,19165,19165,C30,,,,20424,,,C29,,,,,,,,,,,,,,,,,,,,
20421,B,M,F13,3/30/1999,Tu,19085,19194,19194,C27,,,,,,,,,,,,,,,,,,,,,,,,,,,
20424,B,F,F13,3/30/1999,Tu,19085,19194,19194,C27,,,,20411,,,C29,,,,,,,,,,,,,,,,,,,,
20425,B,F,F13,3/30/1999,Tu,19085,19194,19194,C27,,,,20334,,,C28,,,,,,,,,,,,,,,,,,,,
20427,B,F,F13,3/31/1999,W,19199,19039,19039,C28,,,,20612,,,C31,,,,,,,,,,,,,,,,,,,,
20428,B,M,F13,4/1/1999,Th,19272,19291,19291,C31,,,,20185,,,C34,,,,,,,,,,,,,,,,,,,,
20429,B,M,F13,4/1/1999,Th,19272,19291,19291,C31,,,,,,,,,,,,,,,,,,,,,,,,,,,
20430,B,F,F13,4/1/1999,Th,19272,19291,19291,C31,,,,20250,,,C33,,,,,,,,,,,,,,,,,,,,
20569,B,M,F13,4/13/1999,Tu,19284,19435,19435,C32,,,,20258,,,C36,,,,,,,,,,,,,,,,,,,,
20570,B,F,F13,4/13/1999,Tu,19284,19435,19435,C32,,,,,,,,,,,,,,,,,,,,,,,,,,,
20576,W,M,F13,4/13/1999,Tu,19284,19435,19435,C32,,,,20310,,,C37,,,,,,,,,,,,,,,,,,,,
20584,B,F,F13,4/14/1999,W,19393,19431,19431,C33,,,,,,,,,,,,,,,,,,,,,,,,,,,
20585,B,F,F13,4/14/1999,W,19393,19431,19431,C33,,,,,,,,,,,,,,,,,,,,,,,,,,,
20591,B,M,F13,4/14/1999,W,19393,19431,19431,C33,,,,,,,,,,,,,,,,,,,,,,,,,,,
20612,W,M,F13,4/15/1999,Th,19091,19053,19053,C24,,,,20427,,,C31,,,,,,,,,,,,,,,,,,,,
20673,W,M,F13,4/22/1999,Th,19292,19533,19533,C36,,,,,,,,,,,,,,,,,,,,,,,,,,,
20676,W,F,F13,4/22/1999,Th,19292,19533,19533,C36,,,,,,,,,,,,,,,,,,,,,,,,,,,
20677,W,M,F13,4/22/1999,Th,19292,19533,19533,C36,,,,20969,,,C58,,,,,,,,,,,,,,,,,,,,
20740,T,F,F13,4/25/1999,Su,19405,19624,19624,C48,,,,20809,,,C48,,,,,,,,,,,,,,,,,,,,
20741,T,M,F13,4/25/1999,Su,19405,19624,19624,C48,,,,20769,,,C41,,,,,,,,,,,,,,,,,,,,
20749,B,F,F13,4/26/1999,M,19551,19404,19404,C41,,,,20768,,,C43,,,,,,,,,,,,,,,,,,,,
20759,B,M,F13,4/27/1999,Tu,19561,19519,19519,C39,,,,,,,,,,,,,,,,,,,,,,,,,,,
20761,T,M,F13,4/27/1999,Tu,19561,19519,19519,C39,,,,20956,,,C60,,,,,,,,,,,,,,,,,,,,
20762,B,F,F13,4/27/1999,Tu,19561,19519,19519,C39,,,,20916,,,C54,,,,,,,,,,,,,,,,,,,,
20768,B,M,F13,4/28/1999,W,19546,19390,19390,C40,,,,20749,,,C43,,,,,,,,,,,,,,,,,,,,
20769,B,F,F13,4/28/1999,W,19546,19390,19390,C40,,,,20741,,,C41,,,,,,,,,,,,,,,,,,,,
20774,W,F,F13,4/28/1999,W,19546,19390,19390,C40,,,,20943,,,C57,,,,,,,,,,,,,,,,,,,,
20777,W,M,F13,4/28/1999,W,19532,19594,19594,C42,,,,,,,,,,,,,,,,,,,,,,,,,,,
20780,W,M,F13,4/28/1999,W,19583,19565,19565,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,
20781,W,F,F13,4/28/1999,W,19583,19565,19565,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,
20782,W,M,F13,4/28/1999,W,19583,19565,19565,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,
20788,B,M,F13,4/28/1999,W,19604,19554,19554,C45,,,,20938,,,C55,,,,,,,,,,,,,,,,,,,,
20789,B,F,F13,4/28/1999,W,19604,19554,19554,C45,,,,,,,,,,,,,,,,,,,,,,,,,,,
20795,B,F,F13,4/28/1999,W,19441,19617,19617,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,
20804,W,F,F13,4/28/1999,W,19626,19486,19486,C49,,,,20190,,,C49,,,,,,,,,,,,,,,,,,,,
20805,B,F,F13,4/28/1999,W,19626,19486,19486,C49,,,,20939,,,C56,,,,,,,,,,,,,,,,,,,,
20809,T,M,F13,4/28/1999,W,19626,19486,19486,C49,,,,20740,,,C48,,,,,,,,,,,,,,,,,,,,
20884,B,F,F13,5/5/1999,W,19538,19582,19582,C43,,,,21063,,,C62,,,,,,,,,,,,,,,,,,,,
20895,W,M,F13,5/6/1999,Th,19748,19521,19521,C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
20898,B,M,F13,5/6/1999,Th,19748,19521,19521,C51,,,,21064,,,C61,,,,,,,,,,,,,,,,,,,,
20916,W,M,F13,5/8/1999,Sa,19428,19286,19286,C34,,,,20762,,,C54,,,,,,,,,,,,,,,,,,,,
20923,B,F,F13,5/8/1999,Sa,19428,19286,19286,C34,,,,20966,,,C59,,,,,,,,,,,,,,,,,,,,
20938,W,F,F13,5/12/1999,W,19595,19752,19752,C50,,,,20788,,,C55,,,,,,,,,,,,,,,,,,,,
20939,B,M,F13,5/12/1999,W,19595,19752,19752,C50,,,,20805,,,C56,,,,,,,,,,,,,,,,,,,,
20943,B,M,F13,5/12/1999,W,19595,19752,19752,C50,,,,20774,,,C57,,,,,,,,,,,,,,,,,,,,
20956,W,F,F13,5/13/1999,Th,18906,18999,18999,C12,,,,20761,,,C60,,,,,,,,,,,,,,,,,,,,
20960,T,M,F13,5/13/1999,Th,18906,18999,18999,C12,,,,20407,,,C27,,,,,,,,,,,,,,,,,,,,
20966,W,M,F13,5/13/1999,Th,19478,19270,19270,C35,,,,20923,,,C59,,,,,,,,,,,,,,,,,,,,
20969,W,F,F13,5/13/1999,Th,19478,19270,19270,C35,,,,20677,,,C58,,,,,,,,,,,,,,,,,,,,
21063,T,M,F13,5/22/1999,Sa,19844,19869,19869,C52,,,,20884,,,C62,,,,,,,,,,,,,,,,,,,,
21064,T,F,F13,5/22/1999,Sa,19844,19869,19869,C52,,,,20898,,,C61,,,,,,,,,,,,,,,,,,,,
21066,B,F,F13,5/22/1999,Sa,19844,19869,19869,C52,,,,21118,,,C63,,,,,,,,,,,,,,,,,,,,
21118,T,M,F13,5/25/1999,Tu,19518,19539,19539,C37,,,,21066,,,C63,,,,,,,,,,,,,,,,,,,,
