Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain
65284,B,F,F33,3/10/2006,F,63289,63471,63471,C45
65291,W,F,F33,3/10/2006,F,63289,63471,63471,C45
65297,T,F,F33,3/10/2006,F,63223,63482,63482,C46
65301,T,M,F33,3/10/2006,F,63223,63482,63482,C46
65307,B,F,F33,3/10/2006,F,63379,63572,63572,C56
65309,B,F,F33,3/10/2006,F,63379,63572,63572,C56
65316,T,M,F33,3/10/2006,F,63176,63640,63640,C64
65318,T,F,F33,3/10/2006,F,63176,63640,63640,C64
65322,T,F,F33,3/10/2006,F,63378,63662,63662,C69
65324,B,M,F33,3/10/2006,F,63378,63662,63662,C69
65344,T,M,F33,3/11/2006,Sa,63101,63313,63313,C13
65351,W,F,F33,3/11/2006,Sa,63515,63507,63507,C49
65352,W,M,F33,3/11/2006,Sa,63515,63507,63507,C49
65353,W,M,F33,3/11/2006,Sa,63515,63507,63507,C49
65364,W,M,F33,3/11/2006,Sa,63258,63557,63557,C55
65372,W,F,F33,3/11/2006,Sa,63245,63587,63587,C58
65376,W,F,F33,3/11/2006,Sa,63646,63270,63270,C63
65377,W,M,F33,3/11/2006,Sa,63646,63270,63270,C63
65382,B,F,F33,3/11/2006,Sa,63646,63270,63270,C63
65384,W,M,F33,3/11/2006,Sa,63543,63732,63732,C70
65390,B,F,F33,3/11/2006,Sa,63543,63732,63732,C70
65391,B,F,F33,3/11/2006,Sa,63543,63732,63732,C70
65394,W,M,F33,3/11/2006,Sa,63219,63774,63774,C73
65398,T,F,F33,3/11/2006,Sa,63219,63774,63774,C73
65402,T,F,F33,3/11/2006,Sa,63219,63774,63774,C73
65409,B,F,F33,3/12/2006,Su,63136,63579,63579,C57
65477,B,F,F33,3/18/2006,Sa,63369,63425,63425,C37
65502,W,F,F33,3/20/2006,M,63083,63346,63346,C15
65512,B,F,F33,3/20/2006,M,63069,63438,63438,C40
65529,W,F,F33,3/22/2006,W,63208,63456,63456,C43
65538,W,M,F33,3/22/2006,W,64066,63945,63945,C84
65541,B,M,F33,3/23/2006,Th,63373,63159,63159,C9
65542,B,F,F33,3/23/2006,Th,63373,63159,63159,C9
65570,B,F,F33,3/27/2006,M,63189,63333,63333,C14
65577,B,M,F33,3/27/2006,M,63189,63333,63333,C14
65579,W,M,F33,3/28/2006,Tu,63262,63830,63830,C75
65580,W,F,F33,3/28/2006,Tu,63262,63830,63830,C75
65588,B,M,F33,3/29/2006,W,63416,63650,63650,C67
65600,B,M,F33,3/31/2006,F,63349,63600,63600,C59
65602,B,F,F33,3/31/2006,F,63349,63600,63600,C59
65652,B,M,F33,4/3/2006,M,63549,63320,63320,C29
