Chromosome	Position
18	80759677
18	38771856
7	128384665
1	167760925
1	191907584
16	11420675
3	47991415
18	84366943
5	19721860
4	13229288
15	102170706
3	106787775
6	59499943
1	40848092
1	45720142
1	91905548
1	161635091
1	170089259
1	181798796
1	44239449
1	152958742
1	53624754
1	59812061
1	61531884
1	61831175
1	165617389
1	143561175
1	167333540
1	184589588
1	169354651
2	5373102
2	64977141
2	68395651
2	78786258
2	105442461
2	119884567
2	158073263
2	168258339
2	84289999
2	109054860
2	109363973
2	163648332
2	173465113
2	6670247
2	24594023
2	37870157
2	72815371
3	20356976
3	96504171
3	104124621
3	117190713
3	101048980
3	119817197
3	22790535
3	64976824
3	147497284
4	56001710
4	108258080
4	129102870
4	135063549
4	144015544
4	148360499
4	149288675
4	153180187
4	55610083
4	118085882
4	126412284
4	96544985
4	67467194
4	97215784
5	12261186
5	16114306
5	80464180
5	114641694
5	35170852
5	56663019
5	77007704
5	142675536
5	68432802
5	49988474
6	9097852
6	18329922
6	118539730
6	144302376
6	35893985
6	96251216
6	54007343
6	72536677
6	27308620
6	30989619
6	58813730
6	60833912
6	91601720
6	95117879
7	25157698
7	102602218
7	124367094
7	131995826
7	28826823
7	123261246
7	48778936
7	95371118
7	118637807
8	13427078
8	32613036
8	83393588
8	61589007
8	67246607
8	106623203
8	107121210
8	122024307
9	20931809
9	59056014
9	65767638
9	79100209
9	57864432
9	28883982
9	17702946
10	13370242
10	75107721
10	127871150
10	40409606
10	82371812
10	113648081
10	15551476
10	33896916
10	38258391
10	42309883
10	56754572
10	72112982
11	17392858
11	37497157
11	55076811
11	70379095
11	111371029
11	116752923
11	9339967
11	29546541
11	99880141
11	65570288
11	77341162
11	91443793
12	14070351
12	69115073
12	72148125
12	88539311
12	4176842
12	28454946
12	72598270
12	84800662
12	104834138
12	107347644
13	9343895
13	16785416
13	45298281
13	65147571
13	78963085
13	80877111
13	99264030
13	109209195
13	120181748
13	33841340
13	36742731
13	54891058
13	57224575
13	101518389
13	105608792
13	109713476
13	115863935
13	119029329
13	33308860
13	63061344
14	54953092
14	120005665
14	30770676
14	88874806
14	89525811
14	10004815
14	59182072
14	36802128
14	56709669
14	57294855
14	59767355
14	78627857
14	82446808
14	49264257
15	10610963
15	15825702
15	32411084
15	73553821
15	101256650
15	48215732
15	49179330
15	98909899
15	5606320
15	56347404
15	11947291
15	48648914
15	50728234
15	72998601
16	7247652
16	77537635
16	90845376
16	10756275
16	54655050
16	18229382
16	21215751
16	54080374
16	55125597
16	81894809
16	81056873
17	35743575
17	50433640
17	52111609
17	58135801
17	66785630
17	68627382
17	84908463
17	51865564
17	55096387
17	80962970
17	76152034
18	6988697
18	52860254
18	58186232
18	70630994
18	79208375
18	87478778
18	4044618
18	76359618
18	7734546
18	38418817
18	89513136
19	51313381
19	9647938
19	15431599
19	24166223
19	35003022
X	9918192
X	50068353
X	79131724
X	105854706
X	108929708
X	115642618
X	137761964
X	10288926
X	18688223
X	34281119
X	41721870
X	125988473
X	135960245
Y	11000000
Y	11000000
Y	11000000
Y	11000000
Y	11000000
Y	11000000
1	171181070
10	7777365
11	3298316
13	3011215
13	3526958
13	5100537
15	14014566
16	4021088
17	51423259
18	11507285
2	3311972
5	3142878
5	4364099
5	12260003
5	12260024
5	48346721
7	112973528
8	5462343
8	5817704
8	17033700
8	17037940
8	65614025
1	43880410
1	153919668
10	6559052
10	6564768
10	39303413
12	5373123
15	5778288
16	3878630
17	4310085
18	3271347
18	3309354
18	7215857
19	36258617
2	82929801
3	151911382
4	8482899
5	12260400
6	3429036
8	5781389
9	9365178
9	9593270
9	34397966
13	3011215
13	3012032
8	17033700
1	153919668
13	3006383
18	3271347
Y	11000000
Y	11000000
Y	11000000
Y	11000000
Y	11000000
Y	11000000
1	130444274
1	130450555
1	130450642
1	130450824
1	130453100
1	130461453
1	130461527
1	195071086
1	195077780
1	195086484
1	195086790
10	79891921
10	79892513
15	4804093
15	5033638
15	5033646
15	5038144
15	6470275
15	6472356
16	23452426
16	23484425
17	34729426
17	34729582
17	34729965
17	34730841
17	34731840
17	34733446
17	34733493
17	34735762
17	34738384
17	34740749
17	34740815
17	34741693
17	34742504
17	34743329
17	34743330
17	34743837
17	34811341
17	34813488
17	34813718
17	34814826
17	34816633
17	34817503
17	34821662
17	34821685
17	34821951
17	34822014
17	34822082
17	34822553
17	34877866
17	57213329
17	57221637
17	57221639
17	57226377
2	84771055
2	84771101
2	104072583
2	104078922
2	104084787
2	104084896
2	104084901
2	104085087
2	104085164
2	104085383
2	104087056
2	104087332
2	104090805
4	104858511
4	104858531
4	104858635
4	104858643
4	136882175
4	136882259
4	136886056
4	148606051
4	148606596
4	148607546
4	148608899
6	124513674
6	124514351
6	124514603
6	124514605
6	124514815
6	124515494
6	124515599
6	124515800
6	124517478
6	124517768
6	124532434
6	124533608
6	124533705
6	124534802
6	124534825
6	124534891
6	124536327
6	124536391
6	124536463
6	124537348
6	124537539
6	124539442
6	124539467
6	124539650
6	124539958
6	124540018
6	124540151
2	100183470
2	100570057
3	91612806
3	92211175
3	92214717
3	92209110
3	92245218
3	92211484
3	91619969
3	92214717
3	91629837
3	91633641
3	91674562
3	91780681
3	91696513
3	93631349
3	94236448
3	93827903
3	94235776
3	94235792
3	94235519
3	93828504
3	94234895
3	93834099
3	93839829
3	93840740
3	93840864
3	93841118
3	93841860
3	93842738
3	93865200
3	93646027
3	94126862
3	94016147
3	93868743
3	93869682
3	93706429
3	93870029
3	93870698
3	93870813
3	93871184
3	94011650
3	93873840
3	93875934
3	93877100
3	94006737
3	94115490
3	93880198
3	93651056
3	93881323
3	93882932
3	93956024
3	93653141
3	93653337
3	93772239
3	93653631
3	93771758
3	93793314
3	93653976
3	93654310
3	93654689
3	93656360
3	93657522
3	93658033
3	93767413
3	93659333
3	93634334
3	93765012
3	93661032
3	93764461
3	93661561
3	93661612
3	93662919
3	93663171
3	93762061
3	93663961
3	93636142
3	93669330
3	93673687
3	93673931
3	93674742
3	93677659
3	94057251
3	93679149
3	93786304
3	93679673
3	93681076
3	93681150
3	93682671
3	93706106
3	93912145
3	93726263
3	93726781
3	93911070
3	93909928
3	93907969
3	93785764
3	93906876
3	93906395
3	93905792
3	38682791
3	93744769
3	93744998
3	93745233
3	93745412
3	94037889
3	94037681
3	94036850
3	94035178
3	93823999
3	93824062
3	93824640
3	94238853
3	93824920
3	93825126
3	93825460
3	93825574
3	93826013
3	93826729
3	93826990
3	113242237
3	113279522
3	113279945
3	113258700
3	113279949
3	113251066
3	113251914
3	113244424
3	113246421
3	113250144
3	113250505
3	113250615
3	113251914
3	113252909
4	73402147
4	73609898
4	73638159
4	73609771
4	73609974
4	73406728
4	73403637
4	73618294
4	73603841
4	73405795
4	73407004
4	73606853
4	73876405
4	73403233
4	73609974
4	73607789
4	73875844
4	73651362
4	73609974
4	73605517
4	73604204
4	73919714
4	73406730
3	92211177
3	93827520
3	93828004
3	93828088
3	93828285
3	93828506
3	93828784
3	93829171
3	93835335
3	93840614
3	93840866
3	93841120
3	93841280
3	93841935
3	93842740
3	93865053
3	93865270
3	93646029
4	73625082
3	93868155
3	93868745
3	93868820
3	93869783
3	93870498
3	93870814
3	93871618
3	93647920
3	93872616
3	93873598
3	93875488
3	93877100
3	93877270
3	93878512
3	93879818
3	93881324
3	113291313
3	92221550
3	93882934
3	93652010
3	93653212
3	113316285
3	93653418
4	73651832
3	93653632
4	73655546
3	93653978
3	93632372
3	113242407
4	73405795
3	92249530
3	93654470
3	92254583
3	93654951
4	73666732
3	93656899
3	93657910
4	73668549
4	73670449
3	93658629
3	93659335
4	73683574
3	93659522
3	93633592
4	73406684
2	100483240
3	93661033
3	93661288
3	93661562
3	93661613
3	93661698
3	93662290
3	93663173
3	93663303
3	93663963
3	91622833
3	93635942
3	113245139
4	73407380
3	93670918
3	93673688
3	93673933
3	93674744
3	93676336
3	93677312
3	93677660
3	93679151
3	93679674
3	93636468
4	73603949
2	100595328
3	93680470
3	93681078
3	93682800
3	93705987
3	91691209
3	93718449
3	93726263
3	93726781
3	93726849
3	93727861
3	93728074
3	93729847
3	93730940
3	93639814
3	91693976
3	93731521
3	93732128
3	93743893
3	93744568
3	93745233
3	93745414
3	93746289
3	93746400
3	93746955
3	93640075
3	113251915
4	73609860
3	91696514
3	93747231
3	93749012
3	93823927
3	93824063
3	93824801
3	93824922
3	93825128
3	93825362
3	93825576
3	93640290
3	91698567
3	93825656
3	93826247
3	93826420
3	93826644
3	93826992
3	93827159
4	113486460
4	112811434
4	112811742
4	112812982
4	112823583
4	112823837
5	10862344
5	11222489
5	11885492
5	11885784
5	11225247
5	11383706
5	11225714
5	11226595
5	11732639
5	10862625
5	11466604
5	11889671
5	11387423
5	11734004
5	11286724
5	11717075
5	11451949
5	11914808
5	11720317
5	11721004
5	11643335
5	11730906
5	11645527
5	11228803
5	11468923
5	11742215
5	10864412
5	11743686
5	11753211
5	11243159
5	11755456
5	11757844
5	11594364
5	11330986
5	11818245
5	11653692
5	11819471
5	11820213
5	11820407
5	11895883
5	10947410
5	11785738
5	10848117
5	11865326
5	11702717
5	11437208
5	11274010
5	11439082
5	11869037
5	11443441
5	10848854
5	11874409
5	11813189
5	11813081
5	11889506
5	11816157
5	11707231
5	11741540
5	11743335
5	11474210
5	11670957
5	11907686
5	11497027
5	11055615
5	11519346
5	11358797
5	10965882
5	11718656
5	11708146
5	11885911
5	11730762
5	11646030
5	11816623
5	11566766
5	11319529
5	11406833
5	11856998
5	11708845
5	11196061
5	11866457
5	11204710
5	11275285
5	11617301
5	11618078
5	11625378
5	11378992
5	11556271
5	11293282
5	11885911
5	11819504
5	11841715
5	11115692
5	11585980
5	11679564
5	11137180
5	11290305
5	11221859
5	11222408
6	130142642
6	130205651
6	130206001
6	130351153
6	130206614
6	130351711
6	130207401
6	130352248
6	130352581
6	130142780
6	130209047
6	130209276
6	130209392
6	130210037
6	130210239
6	130211652
6	130143872
6	130566930
6	130567056
6	130775656
6	130568146
6	130777209
6	130569564
6	130144380
6	130570292
6	130571955
6	130572182
6	131078209
6	130573334
6	130573523
6	130783952
6	131083974
6	130787620
6	131085454
6	130790927
6	131095517
6	131096090
6	131098955
6	130795574
6	130587836
6	131101004
6	130797144
6	130797525
6	130589518
6	130589876
6	130799231
6	130591888
6	130145071
6	130592384
6	131108742
6	130593772
6	130594236
6	130594529
6	130595026
6	130321249
6	130803797
6	130596308
6	130603189
6	130603339
6	130603825
6	130604060
6	130609062
6	130609736
6	130147227
6	130610348
6	130610469
6	130611554
6	130612449
6	130721426
6	130617786
6	130618122
6	130618719
6	130620856
6	130622284
6	130622487
6	130623001
6	130623277
6	130100525
6	130148686
6	130832116
6	130845410
6	130653115
6	130655461
6	130850955
6	130657408
6	130659235
6	130659642
6	130662135
6	130116597
6	130662432
6	130662811
6	130663161
6	130664556
6	130665387
6	130675325
6	130676096
6	130520121
6	130677102
6	130677893
6	130680321
6	130680464
6	130152158
6	130680602
6	130680750
6	130681778
6	130691623
6	130693426
6	130949455
6	130327678
6	130695100
6	130950900
6	130695532
6	130886545
6	130952112
6	130697022
6	130697743
6	131181979
6	130888414
6	130699200
6	130699421
6	130699544
6	130700322
6	130702154
6	130892682
6	130273834
6	130707064
6	130707583
6	130708016
6	130817200
6	130711821
6	130713649
6	130714843
6	130714982
6	130715877
6	130716674
6	130976399
6	130154331
6	130976518
6	130717895
6	130907710
6	130718636
6	130721070
6	130722099
6	130912158
6	130155480
6	130723888
6	130724038
6	130728558
6	130734200
6	130734388
6	130734847
6	130735054
6	130164634
6	130123022
6	130992251
6	130736444
6	130736765
6	130741646
6	130998348
6	130742195
6	130998745
6	130999072
6	130123441
6	130999282
6	131000730
6	130744700
6	131003518
6	130747673
6	130747866
6	131004978
6	130748792
6	130749421
6	130187337
6	130761302
6	130761419
6	130761752
6	130761895
6	130555656
6	131196006
6	130762706
6	131014670
6	130560428
6	130560636
6	130332331
6	130124357
6	130124538
6	130188401
6	130188528
6	129909012
6	130189111
6	130136283
6	130189528
6	130189621
6	130190681
6	130191183
6	130191443
6	130192606
6	130136558
6	130193288
6	130193448
6	130284354
6	130284769
6	130194456
6	130194656
6	130194746
6	130194850
6	130136759
6	130195037
6	130195297
6	130195697
6	130195865
6	130196001
6	130196090
6	130196468
6	130196709
6	130105790
6	129917203
6	130197519
6	130197678
6	130198086
6	130198282
6	130198367
6	130198514
6	130075093
6	130199422
6	130200142
6	130200240
6	130200800
6	130035269
6	130201121
6	130201322
6	130202252
6	130203821
6	130204139
6	130204228
6	130204514
6	130204702
6	130204896
6	130204947
6	130205405
6	130038557
7	9816481
7	9981939
7	9840068
7	10105498
7	7488393
7	8979187
7	10002278
7	7490587
7	7490844
7	8981242
7	7492203
7	9839926
7	9016750
7	9018539
7	10043600
7	7497735
7	10048602
7	9988597
7	7503930
7	10053988
7	10056634
7	7510605
7	9051108
7	10074346
7	9059987
7	9825031
7	9842219
7	9116876
7	9826946
7	9827681
7	9120595
7	9145231
7	9145415
7	7614868
7	9736622
7	9842913
7	9212108
7	9214610
7	9215401
7	9216866
7	10099266
7	9218933
7	7341638
7	9225825
7	7709708
7	9245689
7	7712177
7	7737429
7	8538778
7	7740651
7	7746822
7	9849245
7	7747752
7	9287882
7	7749864
7	7751882
7	7752054
7	7752989
7	7754085
7	7754926
7	7756123
7	7767732
7	9308854
7	9311323
7	7357412
7	7771956
7	8572107
7	9312332
7	9313875
7	7774293
7	10024537
7	9316805
7	9323077
7	8585926
7	8848167
7	8588997
7	9329536
7	9332356
7	9333241
7	9333566
7	5565846
7	8626465
7	9367023
7	9863794
7	9637415
7	9640179
7	8214830
7	10008147
7	8985676
7	10008576
7	10010182
7	8989289
7	8220701
7	8993521
7	8994290
7	10017340
7	10018683
7	8998358
7	7363625
7	8229513
7	9008241
7	9928669
7	9930312
7	11161758
7	11006668
7	9867220
7	10799823
7	10805215
7	10835248
7	10854111
7	10864548
7	11289875
7	11017152
7	10890585
7	10894558
7	11009319
7	11008819
7	10904353
7	10904700
7	10906117
7	10907574
7	10945734
7	10953925
7	10958474
7	10959840
7	10961407
7	10851555
7	11201678
7	9868457
7	11200464
7	10977330
7	11371333
7	10982749
7	10988581
7	11004678
7	10797932
7	11009231
7	11161573
7	9868644
7	11533763
7	11149392
7	11149619
7	11625579
7	11150335
7	11150439
7	11150767
7	11153871
7	7366434
7	11157941
7	11413850
7	11150018
7	11148801
7	11422289
7	11429779
7	7368042
7	7369391
7	7370101
7	9872746
7	7385031
7	7388043
7	7392274
7	9820265
7	9654689
7	9897956
7	9928647
7	9928792
7	7419791
7	9679600
7	9821004
7	8404003
7	7422709
7	9936027
7	8914908
7	7427321
7	7427671
7	10097836
7	7438181
7	9822618
7	9950705
7	9952151
7	9955134
7	8933362
7	7445691
7	9959777
7	8943195
7	7453742
7	9823182
7	8943904
7	8706022
7	9966632
7	9972479
7	7463708
7	7465048
7	9977606
7	8189348
7	8956443
7	9978788
7	8956734
7	9979377
7	8957631
7	9980022
7	9980609
7	7471601
7	9984557
7	9823829
7	9940843
7	9985213
7	9987336
7	7477182
7	9990111
7	9990661
7	22101397
7	20126592
7	22840096
7	22497779
7	22501558
7	23142656
7	23284313
7	23289311
7	23290215
7	20618813
7	20633655
7	20636709
7	20639371
7	71631665
7	22720886
7	22729254
7	20127822
7	22067556
7	20747565
7	23004480
7	21121207
7	20835352
7	84070010
7	21030399
7	22960268
7	22963720
7	22967798
7	20433705
7	22131405
7	22132560
7	21034351
7	22984556
7	21302146
7	22966569
7	21348221
7	22466138
7	22147012
7	23017221
7	22164841
7	21833914
7	23219226
7	23220938
7	23065878
7	22202476
7	22187533
7	22203718
7	23079053
7	23241450
7	21376984
7	23249289
7	23249817
7	23249925
7	23252277
7	20929656
7	22250443
7	22254722
7	22714819
7	22789974
7	21912176
7	22258970
7	21912539
7	22901623
7	22901837
7	22588639
7	20786132
7	22589137
7	22263637
7	23282823
7	22067550
7	22272966
7	22273597
7	22273859
7	23152623
7	20785168
7	22278341
7	22604333
7	20284148
7	22280778
7	20792216
7	20790895
7	23219582
7	20338074
7	20339170
7	22130643
7	21302146
7	21110590
7	23017126
7	22368652
7	23018527
7	20125658
7	22375053
7	22383126
7	22402425
7	21296867
7	20435157
7	22966445
7	22433996
7	22439467
4	112811435
6	130205736
5	11224623
6	130206252
6	130206445
5	11225249
6	130206616
5	11225528
6	130207113
6	130207248
6	130207652
6	130207867
5	11228062
6	130208184
6	130142782
6	130209115
6	130209537
5	11285977
6	130211859
6	130212038
6	130567058
5	11301861
6	130567245
5	11302499
5	11303970
6	130568271
5	11312608
6	130569311
5	11313200
6	130570293
5	10865486
5	11314674
5	11315130
5	11318264
5	11319904
5	11324184
6	130571957
6	130572184
6	130572784
6	130144491
5	11387614
6	130574051
5	11390422
6	130578086
5	11391975
6	130583088
6	130583742
6	130144851
5	10867754
6	130587702
6	130588844
6	130589225
6	130589520
6	130589878
6	130592386
6	130145072
5	10881230
6	130592500
6	130592848
6	130593773
6	130594680
6	130594911
6	130145356
5	10881539
6	130596310
6	130601470
6	130603341
6	130603647
6	130609737
6	130610350
6	130147229
5	10883756
6	130610471
6	130612450
6	130616332
6	130616919
6	130617788
6	130618721
6	130147414
6	130619441
6	130621577
6	130623003
6	130623278
6	130623718
6	130148687
4	112811546
6	130655981
6	130657410
6	130658690
6	130659909
6	130662433
6	130662813
6	130662937
6	130663832
6	130665388
6	130666281
6	130674384
6	130676098
6	130676401
6	130676896
6	130679571
6	130680603
5	10888397
6	130680751
6	130692546
6	130694316
6	130695305
6	130695533
6	130695653
6	130698854
6	130699202
6	130699423
6	130699545
6	130699674
6	130700807
6	130705725
6	130706704
6	130706839
5	10890369
6	130707312
6	130707481
6	130707739
6	130708018
6	130709482
6	130153875
5	10891053
6	130713650
6	130714500
6	130714845
6	130715547
6	130716176
6	130716676
6	130154214
6	130155481
6	130186499
4	112812031
5	10897239
6	130187826
5	10906647
5	10906925
5	10907862
6	130188530
6	130188870
5	10916515
5	10917864
6	130189327
6	130135990
4	112812562
6	130189623
6	130190365
6	130191078
5	10936079
6	130191445
6	130192607
6	130192736
6	130193049
5	10946122
6	130193289
6	130193450
6	130193614
6	130194146
6	130194658
6	130194747
5	10997612
6	130194852
6	130136760
4	112813196
6	130195575
6	130195867
5	11011917
6	130196003
6	130196092
5	11031462
6	130196332
6	130196710
6	130196949
5	10850113
6	130197680
5	11060868
6	130197917
5	11061900
6	130198283
5	11062471
5	11062886
6	130198885
6	130140099
4	112824083
6	130199821
5	11082029
6	130200241
5	11084156
6	130200392
5	11085643
6	130200981
6	130201123
6	130201324
5	11087341
6	130202015
5	11100292
6	130202527
5	10862267
6	130203928
5	11118683
6	130204229
5	11134305
6	130204381
6	130204898
6	130204949
6	130205406
6	130205564
6	130205652
7	31537688
7	33222277
7	33186589
7	32224425
7	33188370
7	33189249
7	33189447
7	33190156
7	33190387
7	31655117
7	32227683
7	33190612
7	32228663
7	33194282
7	32231774
7	33199737
7	33201920
7	32367766
7	32243791
7	33210201
7	33212266
7	32250124
7	33218304
7	33221998
7	32291509
7	33264269
7	33600548
7	33052020
7	33278136
7	33284564
7	33287722
7	33288859
7	33288932
7	33289832
7	33290175
7	33189052
7	31664824
7	32339659
7	32339793
7	31667066
7	31667347
7	32386508
7	31538192
7	31678740
7	32388053
7	32704450
7	33431506
7	33344988
7	31685244
7	33345787
7	33352175
7	33343339
7	31692810
7	33356857
7	33172854
7	33365969
7	31706760
7	31707126
7	31540832
7	32975912
7	32440077
7	33458524
7	31712804
7	31713565
7	33374576
7	33377184
7	32446917
7	32964396
7	32468742
7	32513279
7	31896016
7	32021177
7	33005696
7	33015634
7	32027329
7	32056526
7	32056866
7	33017130
7	32058561
7	33311994
7	33018301
7	32059150
7	32059686
7	32792695
7	32996896
7	33020383
7	32793637
7	32061284
7	33020824
7	33021004
7	32061877
7	33021789
7	33022596
7	33078742
7	33101774
7	32136555
7	33102105
7	32143198
7	33109759
7	33110249
7	33171783
7	33130713
7	31477171
7	33165343
7	33165648
7	33166052
7	33171800
7	33182967
7	33185127
7	59365242
7	60688039
7	60688145
7	60690725
7	60692808
7	64466097
7	59368834
7	64466120
7	64470535
7	64472916
7	64495572
7	64471811
7	64494302
7	64468249
7	64485483
7	64495013
7	64485483
7	64479968
7	64474041
7	59371517
7	64475657
7	64487072
7	64467295
7	64468002
7	64470890
7	59368982
7	64470541
7	64469633
7	64480162
7	64476658
7	59456155
7	64471786
7	64486542
7	64473345
7	64467960
7	64470535
7	64468011
7	64480373
7	64485647
7	64494115
7	64483792
7	64487054
7	64467478
7	59430280
7	64468904
7	64471213
7	64470535
7	64468012
7	64472354
7	64468163
7	59419604
7	64477137
7	64483754
7	64470555
7	64467218
7	64471213
7	59424227
7	59353644
7	59428424
7	59418473
7	59419788
7	59420031
7	59422129
7	59422243
7	59423181
7	59474836
7	59376376
7	59464923
7	59452207
7	59428540
7	59568577
7	59470873
7	59437182
7	59449157
7	59380232
7	59443832
7	59428540
7	59452346
7	59452394
7	59452506
7	59453363
7	59363975
7	59456098
7	59466090
7	59455640
7	59455915
7	59894845
7	59905509
7	59754841
7	59419058
7	59674393
7	59900780
7	59675955
7	59893824
7	59769531
7	59756732
7	59694367
7	59694440
7	59694934
7	59703605
7	60352692
7	60358457
7	60359299
7	60359536
7	60359801
7	60361541
7	60363903
7	59366731
7	60365497
7	60367270
7	60368114
7	60374622
7	60379062
7	60380016
7	59368834
7	60381381
7	60389170
7	60243554
7	60393103
7	60254662
7	60401621
7	60745712
7	60405002
7	60687198
12	21881453
12	18944523
12	18947097
12	18947302
12	18947597
12	18947770
12	18948149
12	18949497
12	18950087
12	21914496
12	18952638
12	19161500
12	23496468
12	18980235
12	18981200
12	23495024
12	23186856
12	19662169
12	18984662
12	18999030
12	19014784
12	19015957
12	23349012
12	19020795
12	24079296
12	19021672
12	24279064
12	24277499
12	23843827
12	23442452
12	23426680
12	23426190
12	19176228
12	19176548
12	19178772
12	19960677
12	19185004
12	19964923
12	19192795
12	19994454
12	19193973
12	19208321
12	19209025
12	19209197
12	19212175
12	19215723
12	19669417
12	21935435
12	19239675
12	23628493
12	19728135
12	24326500
12	20565305
12	19351298
12	20570001
12	22296194
12	24295884
12	20090715
12	19513441
12	20098626
12	19516603
12	19520344
12	19521292
12	19522722
12	20109188
12	20109458
12	22946576
12	20110246
12	20111720
12	19526856
12	20113646
12	20113870
12	24039054
12	20117806
12	24036236
12	19536440
12	22684046
12	22681491
12	19544263
12	19544513
12	22679979
12	20792831
12	18405695
12	18580336
12	24023870
12	20133294
12	22675684
12	19550187
12	20138608
12	19556485
12	18582238
12	19557133
12	24015912
12	20143042
12	24303894
12	24011696
12	19567132
12	19569694
12	19570813
12	19571082
12	24004945
12	20163634
12	24002449
12	22653559
12	19578763
12	20169039
12	18585417
12	20169425
12	20169696
12	19582310
12	19586327
12	20183241
12	19594042
12	23980369
12	24280116
12	23978235
12	20190242
12	20194819
12	20195034
12	19688092
12	19868753
12	19870372
12	21062030
12	23443926
12	20285746
12	20285877
12	23078941
12	20291563
12	20292563
12	22923457
12	23855587
12	23072587
12	20294785
12	20649574
12	20659689
12	21040441
12	18594903
12	20681726
12	20684971
12	20686848
12	20687100
12	21065960
12	20695043
12	24238090
12	22066761
12	20723270
12	20723930
12	20725632
12	20728472
12	20729899
12	20732485
12	19160454
12	20737780
12	20739409
12	20740458
12	20784147
12	20804838
12	21544803
12	24500900
12	21545968
12	18406207
12	18626300
12	21547553
12	21547809
12	21548345
12	21548530
12	21548614
12	21550448
12	24507062
12	21552134
12	21552786
12	24508597
12	18627710
12	21554259
12	23206852
12	24267085
12	23212216
12	21913873
12	23215010
12	23215532
12	23215798
12	23216179
12	18953967
12	23217385
12	22058773
12	23219014
12	19151342
12	23221139
12	21084216
12	22063896
12	23223306
12	23223703
12	23223951
12	23224344
12	23224559
12	23171783
12	20958784
12	19251441
12	23238471
12	23238720
12	22081338
12	23242255
12	22083578
12	22089832
12	22089958
12	22090098
12	23252491
12	22097165
12	23256413
12	23256920
12	23261683
12	22103434
12	18634328
12	22106634
12	22106932
12	22107192
12	22107918
12	22108647
12	23271102
12	22115802
12	23274990
12	18636977
12	23283692
12	23293118
