Additional File 13: Predicted IBD regions in LG/J and SM/J Sequenced Genomes

Chr	Start	Stop	Polymorphisms	State
chr1	7450000	7499999	10	nonIBD
chr1	7500000	7549999	194	nonIBD
chr1	7550000	7599999	260	nonIBD
chr1	7600000	7649999	563	nonIBD
chr1	7650000	7699999	657	nonIBD
chr1	7700000	7749999	418	nonIBD
chr1	7750000	7799999	119	nonIBD
chr1	7800000	7849999	132	nonIBD
chr1	7850000	7899999	141	nonIBD
chr1	7900000	7949999	145	nonIBD
chr1	7950000	7999999	68	nonIBD
chr1	8000000	8049999	126	nonIBD
chr1	8050000	8099999	203	nonIBD
chr1	8100000	8149999	628	nonIBD
chr1	8150000	8199999	316	nonIBD
chr1	8200000	8249999	300	nonIBD
chr1	8250000	8299999	128	nonIBD
chr1	8300000	8349999	111	nonIBD
chr1	8350000	8399999	102	nonIBD
chr1	8400000	8449999	193	nonIBD
chr1	8450000	8499999	117	nonIBD
chr1	8500000	8549999	116	nonIBD
chr1	8550000	8599999	130	nonIBD
chr1	8600000	8649999	145	nonIBD
chr1	8650000	8699999	492	nonIBD
chr1	8700000	8749999	454	nonIBD
chr1	8750000	8799999	654	nonIBD
chr1	8800000	8849999	444	nonIBD
chr1	8850000	8899999	42	nonIBD
chr1	8900000	8949999	185	nonIBD
chr1	8950000	8999999	158	nonIBD
chr1	9000000	9049999	178	nonIBD
chr1	9050000	9099999	90	nonIBD
chr1	9100000	9149999	143	nonIBD
chr1	9150000	9199999	87	nonIBD
chr1	9200000	9249999	248	nonIBD
chr1	9250000	9299999	93	nonIBD
chr1	9300000	9349999	15	nonIBD
chr1	9350000	9399999	37	nonIBD
chr1	9400000	9449999	19	nonIBD
chr1	9450000	9499999	17	nonIBD
chr1	9500000	9549999	176	nonIBD
chr1	9550000	9599999	157	nonIBD
chr1	9600000	9649999	19	nonIBD
chr1	9650000	9699999	27	nonIBD
chr1	9700000	9749999	31	nonIBD
chr1	9750000	9799999	23	nonIBD
chr1	9800000	9849999	82	nonIBD
chr1	9850000	9899999	25	nonIBD
chr1	9900000	9949999	54	nonIBD
chr1	9950000	9999999	103	nonIBD
chr1	10000000	10049999	163	nonIBD
chr1	10050000	10099999	104	nonIBD
chr1	10100000	10149999	356	nonIBD
chr1	10150000	10199999	177	nonIBD
chr1	10200000	10249999	134	nonIBD
chr1	10250000	10299999	364	nonIBD
chr1	10300000	10349999	218	nonIBD
chr1	10350000	10399999	162	nonIBD
chr1	10400000	10449999	90	nonIBD
chr1	10450000	10499999	45	nonIBD
chr1	10500000	10549999	317	nonIBD
chr1	10550000	10599999	185	nonIBD
chr1	10600000	10649999	401	nonIBD
chr1	10650000	10699999	229	nonIBD
chr1	10700000	10749999	191	nonIBD
chr1	10750000	10799999	193	nonIBD
chr1	10800000	10849999	143	nonIBD
chr1	10850000	10899999	203	nonIBD
chr1	10900000	10949999	302	nonIBD
chr1	10950000	10999999	261	nonIBD
chr1	11000000	11049999	81	nonIBD
chr1	11050000	11099999	14	nonIBD
chr1	11100000	11149999	17	nonIBD
chr1	11150000	11199999	171	nonIBD
chr1	11200000	11249999	216	nonIBD
chr1	11250000	11299999	221	nonIBD
chr1	11300000	11349999	265	nonIBD
chr1	11350000	11399999	211	nonIBD
chr1	11400000	11449999	106	nonIBD
chr1	11450000	11499999	23	nonIBD
chr1	11500000	11549999	58	nonIBD
chr1	11550000	11599999	407	nonIBD
chr1	11600000	11649999	162	nonIBD
chr1	11650000	11699999	170	nonIBD
chr1	11700000	11749999	233	nonIBD
chr1	11750000	11799999	152	nonIBD
chr1	11800000	11849999	140	nonIBD
chr1	11850000	11899999	147	nonIBD
chr1	11900000	11949999	101	nonIBD
chr1	11950000	11999999	153	nonIBD
chr1	12000000	12049999	54	nonIBD
chr1	12050000	12099999	35	nonIBD
chr1	12100000	12149999	166	nonIBD
chr1	12150000	12199999	278	nonIBD
chr1	12200000	12249999	123	nonIBD
chr1	12250000	12299999	143	nonIBD
chr1	12300000	12349999	295	nonIBD
chr1	12350000	12399999	423	nonIBD
chr1	12400000	12449999	19	IBD
chr1	12450000	12499999	12	IBD
chr1	12500000	12549999	5	IBD
chr1	12550000	12599999	17	IBD
chr1	12600000	12649999	15	IBD
chr1	12650000	12699999	7	IBD
chr1	12700000	12749999	11	IBD
chr1	12750000	12799999	169	nonIBD
chr1	12800000	12849999	136	nonIBD
chr1	12850000	12899999	206	nonIBD
chr1	12900000	12949999	454	nonIBD
chr1	12950000	12999999	13	nonIBD
chr1	13000000	13049999	29	nonIBD
chr1	13050000	13099999	23	nonIBD
chr1	13100000	13149999	7	IBD
chr1	13150000	13199999	4	IBD
chr1	13200000	13249999	6	IBD
chr1	13250000	13299999	25	IBD
chr1	13300000	13349999	5	IBD
chr1	13350000	13399999	5	IBD
chr1	13400000	13449999	25	IBD
chr1	13450000	13499999	6	IBD
chr1	13500000	13549999	7	IBD
chr1	13550000	13599999	7	IBD
chr1	13600000	13649999	10	IBD
chr1	13650000	13699999	3	IBD
chr1	13700000	13749999	34	nonIBD
chr1	13750000	13799999	51	nonIBD
chr1	13800000	13849999	56	nonIBD
chr1	13850000	13899999	32	nonIBD
chr1	13900000	13949999	9	nonIBD
chr1	13950000	13999999	9	nonIBD
chr1	14000000	14049999	46	nonIBD
chr1	14050000	14099999	10	IBD
chr1	14100000	14149999	3	IBD
chr1	14150000	14199999	6	IBD
chr1	14200000	14249999	10	IBD
chr1	14250000	14299999	8	IBD
chr1	14300000	14349999	14	IBD
chr1	14350000	14399999	28	IBD
chr1	14400000	14449999	18	IBD
chr1	14450000	14499999	21	IBD
chr1	14500000	14549999	4	IBD
chr1	14550000	14599999	8	IBD
chr1	14600000	14649999	22	IBD
chr1	14650000	14699999	15	IBD
chr1	14700000	14749999	32	IBD
chr1	14750000	14799999	6	IBD
chr1	14800000	14849999	6	IBD
chr1	14850000	14899999	7	IBD
chr1	14900000	14949999	1	IBD
chr1	14950000	14999999	7	IBD
chr1	15000000	15049999	3	IBD
chr1	15050000	15099999	6	IBD
chr1	15100000	15149999	4	IBD
chr1	15150000	15199999	6	IBD
chr1	15200000	15249999	5	IBD
chr1	15250000	15299999	5	IBD
chr1	15300000	15349999	5	IBD
chr1	15350000	15399999	2	IBD
chr1	15400000	15449999	0	IBD
chr1	15450000	15499999	8	IBD
chr1	15500000	15549999	75	IBD
chr1	15550000	15599999	25	IBD
chr1	15600000	15649999	16	IBD
chr1	15650000	15699999	11	IBD
chr1	15700000	15749999	17	IBD
chr1	15750000	15799999	30	IBD
chr1	15800000	15849999	3	IBD
chr1	15850000	15899999	5	IBD
chr1	15900000	15949999	7	IBD
chr1	15950000	15999999	11	IBD
chr1	16000000	16049999	32	IBD
chr1	16050000	16099999	15	IBD
chr1	16100000	16149999	6	IBD
chr1	16150000	16199999	7	IBD
chr1	16200000	16249999	6	IBD
chr1	16250000	16299999	17	IBD
chr1	16300000	16349999	8	IBD
chr1	16350000	16399999	4	IBD
chr1	16400000	16449999	2	IBD
chr1	16450000	16499999	9	IBD
chr1	16500000	16549999	8	IBD
chr1	16550000	16599999	3	IBD
chr1	16600000	16649999	11	IBD
chr1	16650000	16699999	23	IBD
chr1	16700000	16749999	41	IBD
chr1	16750000	16799999	30	IBD
chr1	16800000	16849999	11	IBD
chr1	16850000	16899999	7	IBD
chr1	16900000	16949999	1	IBD
chr1	16950000	16999999	3	IBD
chr1	17000000	17049999	8	IBD
chr1	17050000	17099999	2	IBD
chr1	17100000	17149999	6	IBD
chr1	17150000	17199999	3	IBD
chr1	17200000	17249999	17	IBD
chr1	17250000	17299999	4	IBD
chr1	17300000	17349999	6	IBD
chr1	17350000	17399999	2	IBD
chr1	17400000	17449999	5	IBD
chr1	17450000	17499999	5	IBD
chr1	17500000	17549999	11	IBD
chr1	17550000	17599999	5	IBD
chr1	17600000	17649999	0	IBD
chr1	17650000	17699999	9	IBD
chr1	17700000	17749999	3	IBD
chr1	17750000	17799999	5	IBD
chr1	17800000	17849999	5	IBD
chr1	17850000	17899999	3	IBD
chr1	17900000	17949999	7	IBD
chr1	17950000	17999999	13	IBD
chr1	18000000	18049999	3	IBD
chr1	18050000	18099999	7	IBD
chr1	18100000	18149999	7	IBD
chr1	18150000	18199999	7	IBD
chr1	18200000	18249999	4	IBD
chr1	18250000	18299999	6	IBD
chr1	18300000	18349999	1	IBD
chr1	18350000	18399999	10	IBD
chr1	18400000	18449999	5	IBD
chr1	18450000	18499999	6	IBD
chr1	18500000	18549999	6	IBD
chr1	18550000	18599999	6	IBD
chr1	18600000	18649999	7	IBD
chr1	18650000	18699999	4	IBD
chr1	18700000	18749999	4	IBD
chr1	18750000	18799999	28	nonIBD
chr1	18800000	18849999	82	nonIBD
chr1	18850000	18899999	346	nonIBD
chr1	18900000	18949999	120	nonIBD
chr1	18950000	18999999	70	nonIBD
chr1	19000000	19049999	12	nonIBD
chr1	19050000	19099999	14	nonIBD
chr1	19100000	19149999	160	nonIBD
chr1	19150000	19199999	51	nonIBD
chr1	19200000	19249999	7	IBD
chr1	19250000	19299999	7	IBD
chr1	19300000	19349999	21	IBD
chr1	19350000	19399999	12	IBD
chr1	19400000	19449999	5	IBD
chr1	19450000	19499999	160	nonIBD
chr1	19500000	19549999	20	nonIBD
chr1	19550000	19599999	6	nonIBD
chr1	19600000	19649999	86	nonIBD
chr1	19650000	19699999	99	nonIBD
chr1	19700000	19749999	379	nonIBD
chr1	19750000	19799999	159	nonIBD
chr1	19800000	19849999	74	nonIBD
chr1	19850000	19899999	99	nonIBD
chr1	19900000	19949999	99	nonIBD
chr1	19950000	19999999	101	nonIBD
chr1	20000000	20049999	87	nonIBD
chr1	20050000	20099999	89	nonIBD
chr1	20100000	20149999	147	nonIBD
chr1	20150000	20199999	197	nonIBD
chr1	20200000	20249999	194	nonIBD
chr1	20250000	20299999	274	nonIBD
chr1	20300000	20349999	451	nonIBD
chr1	20350000	20399999	83	nonIBD
chr1	20400000	20449999	33	nonIBD
chr1	20450000	20499999	99	nonIBD
chr1	20500000	20549999	307	nonIBD
chr1	20550000	20599999	219	nonIBD
chr1	20600000	20649999	261	nonIBD
chr1	20650000	20699999	26	nonIBD
chr1	20700000	20749999	12	nonIBD
chr1	20750000	20799999	9	nonIBD
chr1	20800000	20849999	283	nonIBD
chr1	20850000	20899999	208	nonIBD
chr1	20900000	20949999	328	nonIBD
chr1	20950000	20999999	156	nonIBD
chr1	21000000	21049999	37	nonIBD
chr1	21050000	21099999	17	nonIBD
chr1	21100000	21149999	220	nonIBD
chr1	21150000	21199999	417	nonIBD
chr1	21200000	21249999	313	nonIBD
chr1	21250000	21299999	567	nonIBD
chr1	21300000	21349999	209	nonIBD
chr1	21350000	21399999	539	nonIBD
chr1	21400000	21449999	470	nonIBD
chr1	21450000	21499999	299	nonIBD
chr1	21500000	21549999	212	nonIBD
chr1	21550000	21599999	93	nonIBD
chr1	21600000	21649999	48	nonIBD
chr1	21650000	21699999	306	nonIBD
chr1	21700000	21749999	366	nonIBD
chr1	21750000	21799999	163	nonIBD
chr1	21800000	21849999	148	nonIBD
chr1	21850000	21899999	144	nonIBD
chr1	21900000	21949999	61	nonIBD
chr1	21950000	21999999	58	nonIBD
chr1	22000000	22049999	31	nonIBD
chr1	22050000	22099999	27	nonIBD
chr1	22100000	22149999	222	nonIBD
chr1	22150000	22199999	78	nonIBD
chr1	22200000	22249999	535	nonIBD
chr1	22250000	22299999	240	nonIBD
chr1	22300000	22349999	144	nonIBD
chr1	22350000	22399999	164	nonIBD
chr1	22400000	22449999	130	nonIBD
chr1	22450000	22499999	132	nonIBD
chr1	22500000	22549999	145	nonIBD
chr1	22550000	22599999	13	nonIBD
chr1	22600000	22649999	80	nonIBD
chr1	22650000	22699999	142	nonIBD
chr1	22700000	22749999	260	nonIBD
chr1	22750000	22799999	10	nonIBD
chr1	22800000	22849999	22	nonIBD
chr1	22850000	22899999	34	nonIBD
chr1	22900000	22949999	29	nonIBD
chr1	22950000	22999999	113	nonIBD
chr1	23000000	23049999	172	nonIBD
chr1	23050000	23099999	7	IBD
chr1	23100000	23149999	10	IBD
chr1	23150000	23199999	1	IBD
chr1	23200000	23249999	7	IBD
chr1	23250000	23299999	7	IBD
chr1	23300000	23349999	11	IBD
chr1	23350000	23399999	107	nonIBD
chr1	23400000	23449999	222	nonIBD
chr1	23450000	23499999	120	nonIBD
chr1	23500000	23549999	92	nonIBD
chr1	23550000	23599999	70	nonIBD
chr1	23600000	23649999	180	nonIBD
chr1	23650000	23699999	221	nonIBD
chr1	23700000	23749999	386	nonIBD
chr1	23750000	23799999	253	nonIBD
chr1	23800000	23849999	217	nonIBD
chr1	23850000	23899999	0	IBD
chr1	23900000	23949999	5	IBD
chr1	23950000	23999999	6	IBD
chr1	24000000	24049999	3	IBD
chr1	24050000	24099999	5	IBD
chr1	24100000	24149999	1	IBD
chr1	24150000	24199999	1	IBD
chr1	24200000	24249999	2	IBD
chr1	24250000	24299999	249	nonIBD
chr1	24300000	24349999	286	nonIBD
chr1	24350000	24399999	171	nonIBD
chr1	24400000	24449999	187	nonIBD
chr1	24450000	24499999	32	nonIBD
chr1	24500000	24549999	23	nonIBD
chr1	24550000	24599999	18	IBD
chr1	24600000	24649999	6	IBD
chr1	24650000	24699999	7	IBD
chr1	24700000	24749999	5	IBD
chr1	24750000	24799999	8	IBD
chr1	24800000	24849999	41	nonIBD
chr1	24850000	24899999	251	nonIBD
chr1	24900000	24949999	28	nonIBD
chr1	24950000	24999999	7	IBD
chr1	25000000	25049999	13	IBD
chr1	25050000	25099999	6	IBD
chr1	25100000	25149999	5	IBD
chr1	25150000	25199999	153	nonIBD
chr1	25200000	25249999	111	nonIBD
chr1	25250000	25299999	6	nonIBD
chr1	25300000	25349999	53	nonIBD
chr1	25350000	25399999	26	nonIBD
chr1	25400000	25449999	123	nonIBD
chr1	25450000	25499999	141	nonIBD
chr1	25500000	25549999	101	nonIBD
chr1	25550000	25599999	9	IBD
chr1	25600000	25649999	11	IBD
chr1	25650000	25699999	4	IBD
chr1	25700000	25749999	8	IBD
chr1	25750000	25799999	83	nonIBD
chr1	25800000	25849999	114	nonIBD
chr1	25850000	25899999	145	nonIBD
chr1	25900000	25949999	270	nonIBD
chr1	25950000	25999999	422	nonIBD
chr1	26000000	26049999	275	nonIBD
chr1	26050000	26099999	205	nonIBD
chr1	26100000	26149999	44	nonIBD
chr1	26150000	26199999	13	nonIBD
chr1	26200000	26249999	57	nonIBD
chr1	26250000	26299999	152	nonIBD
chr1	26300000	26349999	149	nonIBD
chr1	26350000	26399999	47	nonIBD
chr1	26400000	26449999	50	nonIBD
chr1	26450000	26499999	55	nonIBD
chr1	26500000	26549999	33	nonIBD
chr1	26550000	26599999	18	nonIBD
chr1	26600000	26649999	19	nonIBD
chr1	26650000	26699999	21	nonIBD
chr1	26700000	26749999	24	nonIBD
chr1	26750000	26799999	13	nonIBD
chr1	26800000	26849999	17	nonIBD
chr1	26850000	26899999	23	nonIBD
chr1	26900000	26949999	27	nonIBD
chr1	26950000	26999999	17	nonIBD
chr1	27000000	27049999	28	nonIBD
chr1	27050000	27099999	23	nonIBD
chr1	27100000	27149999	18	nonIBD
chr1	27150000	27199999	16	nonIBD
chr1	27200000	27249999	7	nonIBD
chr1	27250000	27299999	53	nonIBD
chr1	27300000	27349999	332	nonIBD
chr1	27350000	27399999	106	nonIBD
chr1	27400000	27449999	217	nonIBD
chr1	27450000	27499999	297	nonIBD
chr1	27500000	27549999	126	nonIBD
chr1	27550000	27599999	56	nonIBD
chr1	27600000	27649999	122	nonIBD
chr1	27650000	27699999	54	nonIBD
chr1	27700000	27749999	161	nonIBD
chr1	27750000	27799999	101	nonIBD
chr1	27800000	27849999	93	nonIBD
chr1	27850000	27899999	124	nonIBD
chr1	27900000	27949999	68	nonIBD
chr1	27950000	27999999	61	nonIBD
chr1	28000000	28049999	13	IBD
chr1	28050000	28099999	7	IBD
chr1	28100000	28149999	11	IBD
chr1	28150000	28199999	11	IBD
chr1	28200000	28249999	16	IBD
chr1	28250000	28299999	12	IBD
chr1	28300000	28349999	13	IBD
chr1	28350000	28399999	10	IBD
chr1	28400000	28449999	5	IBD
chr1	28450000	28499999	19	IBD
chr1	28500000	28549999	10	IBD
chr1	28550000	28599999	25	nonIBD
chr1	28600000	28649999	105	nonIBD
chr1	28650000	28699999	22	nonIBD
chr1	28700000	28749999	34	nonIBD
chr1	28750000	28799999	41	nonIBD
chr1	28800000	28849999	369	nonIBD
chr1	28850000	28899999	462	nonIBD
chr1	28900000	28949999	231	nonIBD
chr1	28950000	28999999	308	nonIBD
chr1	29000000	29049999	95	nonIBD
chr1	29050000	29099999	177	nonIBD
chr1	29100000	29149999	513	nonIBD
chr1	29150000	29199999	98	nonIBD
chr1	29200000	29249999	118	nonIBD
chr1	29250000	29299999	270	nonIBD
chr1	29300000	29349999	379	nonIBD
chr1	29350000	29399999	130	nonIBD
chr1	29400000	29449999	123	nonIBD
chr1	29450000	29499999	147	nonIBD
chr1	29500000	29549999	173	nonIBD
chr1	29550000	29599999	74	nonIBD
chr1	29600000	29649999	134	nonIBD
chr1	29650000	29699999	341	nonIBD
chr1	29700000	29749999	71	nonIBD
chr1	29750000	29799999	29	nonIBD
chr1	29800000	29849999	46	nonIBD
chr1	29850000	29899999	61	nonIBD
chr1	29900000	29949999	46	nonIBD
chr1	29950000	29999999	24	nonIBD
chr1	30000000	30049999	113	nonIBD
chr1	30050000	30099999	157	nonIBD
chr1	30100000	30149999	41	nonIBD
chr1	30150000	30199999	13	nonIBD
chr1	30200000	30249999	8	nonIBD
chr1	30250000	30299999	11	nonIBD
chr1	30300000	30349999	19	nonIBD
chr1	30350000	30399999	9	nonIBD
chr1	30400000	30449999	56	nonIBD
chr1	30450000	30499999	425	nonIBD
chr1	30500000	30549999	84	nonIBD
chr1	30550000	30599999	43	nonIBD
chr1	30600000	30649999	217	nonIBD
chr1	30650000	30699999	139	nonIBD
chr1	30700000	30749999	165	nonIBD
chr1	30750000	30799999	149	nonIBD
chr1	30800000	30849999	208	nonIBD
chr1	30850000	30899999	256	nonIBD
chr1	30900000	30949999	75	nonIBD
chr1	30950000	30999999	4	nonIBD
chr1	31000000	31049999	9	nonIBD
chr1	31050000	31099999	142	nonIBD
chr1	31100000	31149999	309	nonIBD
chr1	31150000	31199999	378	nonIBD
chr1	31200000	31249999	52	nonIBD
chr1	31250000	31299999	9	nonIBD
chr1	31300000	31349999	7	nonIBD
chr1	31350000	31399999	7	nonIBD
chr1	31400000	31449999	44	nonIBD
chr1	31450000	31499999	49	nonIBD
chr1	31500000	31549999	59	nonIBD
chr1	31550000	31599999	37	nonIBD
chr1	31600000	31649999	117	nonIBD
chr1	31650000	31699999	78	nonIBD
chr1	31700000	31749999	170	nonIBD
chr1	31750000	31799999	114	nonIBD
chr1	31800000	31849999	73	nonIBD
chr1	31850000	31899999	71	nonIBD
chr1	31900000	31949999	82	nonIBD
chr1	31950000	31999999	141	nonIBD
chr1	32000000	32049999	363	nonIBD
chr1	32050000	32099999	454	nonIBD
chr1	32100000	32149999	145	nonIBD
chr1	32150000	32199999	63	nonIBD
chr1	32200000	32249999	76	nonIBD
chr1	32250000	32299999	525	nonIBD
chr1	32300000	32349999	116	nonIBD
chr1	32350000	32399999	120	nonIBD
chr1	32400000	32449999	63	nonIBD
chr1	32450000	32499999	65	nonIBD
chr1	32500000	32549999	79	nonIBD
chr1	32550000	32599999	27	nonIBD
chr1	32600000	32649999	332	nonIBD
chr1	32650000	32699999	2	IBD
chr1	32700000	32749999	2	IBD
chr1	32750000	32799999	11	IBD
chr1	32800000	32849999	8	IBD
chr1	32850000	32899999	6	IBD
chr1	32900000	32949999	9	IBD
chr1	32950000	32999999	2	IBD
chr1	33000000	33049999	13	IBD
chr1	33050000	33099999	8	IBD
chr1	33100000	33149999	5	IBD
chr1	33150000	33199999	9	IBD
chr1	33200000	33249999	8	IBD
chr1	33250000	33299999	16	IBD
chr1	33300000	33349999	58	IBD
chr1	33350000	33399999	9	IBD
chr1	33400000	33449999	8	IBD
chr1	33450000	33499999	3	IBD
chr1	33500000	33549999	0	IBD
chr1	33550000	33599999	2	IBD
chr1	33600000	33649999	0	IBD
chr1	33650000	33699999	4	IBD
chr1	33700000	33749999	2	IBD
chr1	33750000	33799999	3	IBD
chr1	33800000	33849999	25	IBD
chr1	33850000	33899999	1	IBD
chr1	33900000	33949999	3	IBD
chr1	33950000	33999999	33	IBD
chr1	34000000	34049999	4	IBD
chr1	34050000	34099999	3	IBD
chr1	34100000	34149999	34	IBD
chr1	34150000	34199999	11	IBD
chr1	34200000	34249999	0	IBD
chr1	34250000	34299999	0	IBD
chr1	34300000	34349999	3	IBD
chr1	34350000	34399999	7	IBD
chr1	34400000	34449999	2	IBD
chr1	34450000	34499999	5	IBD
chr1	34500000	34549999	5	IBD
chr1	34550000	34599999	13	IBD
chr1	34600000	34649999	30	IBD
chr1	34650000	34699999	28	IBD
chr1	34700000	34749999	8	IBD
chr1	34750000	34799999	5	IBD
chr1	34800000	34849999	6	IBD
chr1	34850000	34899999	4	IBD
chr1	34900000	34949999	22	IBD
chr1	34950000	34999999	15	IBD
chr1	35000000	35049999	29	IBD
chr1	35050000	35099999	27	IBD
chr1	35100000	35149999	28	IBD
chr1	35150000	35199999	9	IBD
chr1	35200000	35249999	14	IBD
chr1	35250000	35299999	37	IBD
chr1	35300000	35349999	37	IBD
chr1	35350000	35399999	5	IBD
chr1	35400000	35449999	7	IBD
chr1	35450000	35499999	32	IBD
chr1	35500000	35549999	7	IBD
chr1	35550000	35599999	5	IBD
chr1	35600000	35649999	10	IBD
chr1	35650000	35699999	15	IBD
chr1	35700000	35749999	22	IBD
chr1	35750000	35799999	20	IBD
chr1	35800000	35849999	12	IBD
chr1	35850000	35899999	32	IBD
chr1	35900000	35949999	7	IBD
chr1	35950000	35999999	5	IBD
chr1	36000000	36049999	16	IBD
chr1	36050000	36099999	7	IBD
chr1	36100000	36149999	15	IBD
chr1	36150000	36199999	6	IBD
chr1	36200000	36249999	14	IBD
chr1	36250000	36299999	20	IBD
chr1	36300000	36349999	4	IBD
chr1	36350000	36399999	19	IBD
chr1	36400000	36449999	9	IBD
chr1	36450000	36499999	2	IBD
chr1	36500000	36549999	2	IBD
chr1	36550000	36599999	8	IBD
chr1	36600000	36649999	6	IBD
chr1	36650000	36699999	8	IBD
chr1	36700000	36749999	20	IBD
chr1	36750000	36799999	19	IBD
chr1	36800000	36849999	14	IBD
chr1	36850000	36899999	8	IBD
chr1	36900000	36949999	9	IBD
chr1	36950000	36999999	24	IBD
chr1	37000000	37049999	8	IBD
chr1	37050000	37099999	6	IBD
chr1	37100000	37149999	7	IBD
chr1	37150000	37199999	16	IBD
chr1	37200000	37249999	17	IBD
chr1	37250000	37299999	21	IBD
chr1	37300000	37349999	6	IBD
chr1	37350000	37399999	6	IBD
chr1	37400000	37449999	6	IBD
chr1	37450000	37499999	12	IBD
chr1	37500000	37549999	98	nonIBD
chr1	37550000	37599999	248	nonIBD
chr1	37600000	37649999	138	nonIBD
chr1	37650000	37699999	12	IBD
chr1	37700000	37749999	8	IBD
chr1	37750000	37799999	13	IBD
chr1	37800000	37849999	9	IBD
chr1	37850000	37899999	6	IBD
chr1	37900000	37949999	22	IBD
chr1	37950000	37999999	15	IBD
chr1	38000000	38049999	17	IBD
chr1	38050000	38099999	9	IBD
chr1	38100000	38149999	43	nonIBD
chr1	38150000	38199999	272	nonIBD
chr1	38200000	38249999	41	nonIBD
chr1	38250000	38299999	4	IBD
chr1	38300000	38349999	13	IBD
chr1	38350000	38399999	8	IBD
chr1	38400000	38449999	5	IBD
chr1	38450000	38499999	174	nonIBD
chr1	38500000	38549999	86	nonIBD
chr1	38550000	38599999	194	nonIBD
chr1	38600000	38649999	7	nonIBD
chr1	38650000	38699999	105	nonIBD
chr1	38700000	38749999	157	nonIBD
chr1	38750000	38799999	72	nonIBD
chr1	38800000	38849999	6	nonIBD
chr1	38850000	38899999	224	nonIBD
chr1	38900000	38949999	240	nonIBD
chr1	38950000	38999999	462	nonIBD
