id,gen,cage,fam,sex,coat.color,dob,batch,rip.date,rip.mo,rip.age,rip.weight
46130,50,TestF50-10,BrF49-05,M,A,6/21/2012,1,9/11/2012,Sep,82,36.7
46131,50,TestF50-09,BrF49-05,F,W,6/21/2012,1,9/11/2012,Sep,82,26.1
46132,50,TestF50-10,BrF49-11,M,W,6/21/2012,1,9/11/2012,Sep,82,35
46133,50,TestF50-09,BrF49-11,F,A,6/21/2012,1,9/11/2012,Sep,82,26.3
46134,50,TestF50-12,BrF49-10,M,A,6/21/2012,1,9/11/2012,Sep,82,34.7
46135,50,TestF50-11,BrF49-10,F,W,6/21/2012,1,9/11/2012,Sep,82,25.1
46136,50,TestF50-12,BrF49-16,M,A,6/21/2012,1,9/11/2012,Sep,82,34.8
46137,50,TestF50-11,BrF49-16,F,B,6/21/2012,1,9/11/2012,Sep,82,26.1
46138,50,TestF50-12,BrF49-27,M,W,6/21/2012,1,9/11/2012,Sep,82,34.4
46139,50,TestF50-11,BrF49-27,F,B,6/21/2012,1,9/11/2012,Sep,82,22.1
46140,50,TestF50-12,BrF49-29,M,B,6/21/2012,1,9/11/2012,Sep,82,33.3
46141,50,TestF50-11,BrF49-29,F,A,6/21/2012,1,9/11/2012,Sep,82,22.5
46142,50,TestF50-14,BrF49-32,M,W,6/21/2012,1,9/11/2012,Sep,82,29.3
46143,50,TestF50-13,BrF49-32,F,B,6/21/2012,1,9/11/2012,Sep,82,22.1
46144,50,TestF50-14,BrF49-33,M,A,6/21/2012,1,9/11/2012,Sep,82,29.8
46145,50,TestF50-13,BrF49-33,F,W,6/21/2012,1,9/11/2012,Sep,82,24
46146,50,TestF50-14,BrF49-34,M,B,6/21/2012,1,9/11/2012,Sep,82,30.3
46147,50,TestF50-13,BrF49-34,F,B,6/21/2012,1,9/11/2012,Sep,82,18.3
46148,50,TestF50-14,BrF49-02,M,W,6/21/2012,1,9/11/2012,Sep,82,33.5
46149,50,TestF50-13,BrF49-02,F,A,6/21/2012,1,9/11/2012,Sep,82,24.6
46150,50,TestF50-16,BrF49-12,M,A,6/21/2012,1,9/11/2012,Sep,82,31.9
46151,50,TestF50-15,BrF49-12,F,A,6/21/2012,1,9/11/2012,Sep,82,21.4
46152,50,TestF50-16,BrF49-19,M,A,6/21/2012,1,9/11/2012,Sep,82,34.6
46153,50,TestF50-15,BrF49-19,F,B,6/21/2012,1,9/11/2012,Sep,82,23.8
46154,50,TestF50-16,BrF49-20,M,B,6/21/2012,1,9/11/2012,Sep,82,25.4
46155,50,TestF50-15,BrF49-20,F,W,6/21/2012,1,9/11/2012,Sep,82,18.7
46156,50,TestF50-42,BrF49-17,M,A,6/25/2012,2,9/24/2012,Sep,91,35
46157,50,TestF50-41,BrF49-17,F,B,6/25/2012,2,9/24/2012,Sep,91,25.1
46307,50,TestF50-37,BrF49-84,F,W,7/19/2012,3,10/11/2012,Oct,84,21.4
46319,50,TestF50-39,BrF49-35,F,A,7/26/2012,3,10/11/2012,Oct,77,22.4
46320,50,TestF50-40,BrF49-35,M,B,7/26/2012,3,10/11/2012,Oct,77,30.4
46341,50,TestF50-21,BrF49-40,F,B,7/5/2012,2,9/24/2012,Sep,81,20
46345,50,TestF50-21,BrF49-48,F,W,7/4/2012,2,9/24/2012,Sep,82,22.8
46349,50,TestF50-21,BrF49-49,F,A,7/5/2012,2,9/24/2012,Sep,81,17.9
46353,50,TestF50-21,BrF49-53,F,W,7/5/2012,2,9/24/2012,Sep,81,25.5
46356,50,TestF50-24,BrF49-54,M,B,7/5/2012,2,9/24/2012,Sep,81,43.1
46357,50,TestF50-23,BrF49-54,F,B,7/5/2012,2,9/24/2012,Sep,81,20.2
46360,50,TestF50-24,BrF49-50,M,W,7/5/2012,2,9/24/2012,Sep,81,31.5
46361,50,TestF50-23,BrF49-50,F,W,7/5/2012,2,9/24/2012,Sep,81,27.5
46364,50,TestF50-24,BrF49-42,M,A,7/6/2012,2,9/24/2012,Sep,80,34.1
46365,50,TestF50-23,BrF49-42,F,A,7/6/2012,2,9/24/2012,Sep,80,19.7
46369,50,TestF50-23,BrF49-43,F,B,7/5/2012,2,9/24/2012,Sep,81,26.6
46372,50,TestF50-25,BrF49-51,M,A,7/6/2012,2,9/24/2012,Sep,80,36.8
46386,50,TestF50-25,BrF49-52,M,B,7/5/2012,2,9/24/2012,Sep,81,31.9
46388,50,TestF50-36,BrF49-71,M,B,7/19/2012,3,10/11/2012,Oct,84,30.2
46389,50,TestF50-35,BrF49-71,F,A,7/19/2012,3,10/11/2012,Oct,NA,NA
46392,50,TestF50-36,BrF49-75,M,B,7/21/2012,3,10/11/2012,Oct,82,41.3
46393,50,TestF50-35,BrF49-75,F,B,7/21/2012,3,10/11/2012,Oct,NA,NA
46397,50,TestF50-37,BrF49-65,F,A,7/19/2012,3,10/11/2012,Oct,84,22.2
46429,50,TestF50-27,BrF49-57,F,B,7/14/2012,3,10/10/2012,Oct,88,28.9
46430,50,TestF50-28,BrF49-57,M,B,7/14/2012,3,10/10/2012,Oct,88,43.1
46433,50,TestF50-27,BrF49-81,F,A,7/18/2012,3,10/10/2012,Oct,84,22
46434,50,TestF50-28,BrF49-81,M,A,7/18/2012,3,10/10/2012,Oct,84,26.8
46437,50,TestF50-27,BrF49-66,F,B,7/18/2012,3,10/10/2012,Oct,84,23.5
46438,50,TestF50-28,BrF49-66,M,B,7/18/2012,3,10/10/2012,Oct,84,32.9
46442,50,TestF50-28,BrF49-67,M,A,7/18/2012,3,10/10/2012,Oct,84,31.6
46446,50,TestF50-30,BrF49-61,M,B,7/18/2012,3,10/10/2012,Oct,84,31.8
46447,50,TestF50-29,BrF49-61,F,B,7/18/2012,3,10/10/2012,Oct,84,24.3
46450,50,TestF50-30,BrF49-63,M,W,7/19/2012,3,10/10/2012,Oct,83,34.4
46451,50,TestF50-29,BrF49-63,F,W,7/19/2012,3,10/10/2012,Oct,83,23.7
46454,50,TestF50-30,BrF49-72,M,A,7/18/2012,3,10/10/2012,Oct,84,40.6
46455,50,TestF50-29,BrF49-72,F,A,7/18/2012,3,10/10/2012,Oct,84,27.6
46457,50,TestF50-29,BrF49-60,F,A,7/18/2012,3,10/10/2012,Oct,84,19.4
46458,50,TestF50-30,BrF49-60,M,B,7/18/2012,3,10/10/2012,Oct,84,29.5
46461,50,TestF50-31,BrF49-78,F,A,7/18/2012,3,10/10/2012,Oct,84,22.3
46462,50,TestF50-32,BrF49-78,M,A,7/18/2012,3,10/10/2012,Oct,84,35.3
46465,50,TestF50-31,BrF49-73,F,W,7/18/2012,3,10/10/2012,Oct,84,22
46466,50,TestF50-32,BrF49-58,M,W,7/18/2012,3,10/10/2012,Oct,84,31.7
46469,50,TestF50-31,BrF49-64,F,A,7/19/2012,3,10/10/2012,Oct,83,25
46470,50,TestF50-32,BrF49-64,M,A,7/19/2012,3,10/10/2012,Oct,83,28.2
46473,50,TestF50-31,BrF49-58,F,W,7/19/2012,3,10/10/2012,Oct,83,20.1
46474,50,TestF50-32,BrF49-73,M,W,7/19/2012,3,10/10/2012,Oct,83,30.9
46478,50,TestF50-34,BrF49-68,M,W,7/21/2012,3,10/11/2012,Oct,82,36.9
46479,50,TestF50-33,BrF49-68,F,B,7/21/2012,3,10/10/2012,Oct,81,28.6
46482,50,TestF50-34,BrF49-83,M,A,7/22/2012,3,10/11/2012,Oct,81,32.1
46483,50,TestF50-33,BrF49-83,F,B,7/22/2012,3,10/10/2012,Oct,80,23.2
46486,50,TestF50-34,BrF49-69,M,A,7/21/2012,3,10/11/2012,Oct,82,28.7
46487,50,TestF50-33,BrF49-69,F,A,7/21/2012,3,10/10/2012,Oct,81,19.4
46490,50,TestF50-34,BrF49-74,M,B,7/21/2012,3,10/11/2012,Oct,82,29.8
46491,50,TestF50-35,BrF49-74,F,B,7/21/2012,3,10/11/2012,Oct,82,25.5
46497,50,TestF50-35,BrF49-85,F,W,7/19/2012,3,10/11/2012,Oct,84,23.5
46498,50,TestF50-36,BrF49-85,M,A,7/19/2012,3,10/11/2012,Oct,84,27.4
46640,50,TestF50-40,BrF49-70,M,B,7/24/2012,3,10/11/2012,Oct,80,39.1
46641,50,TestF50-39,BrF49-70,F,A,7/23/2012,3,10/11/2012,Oct,80,28.5
46644,50,TestF50-40,BrF49-45,M,W,7/23/2012,3,10/11/2012,Oct,79,30.2
46645,50,TestF50-39,BrF49-45,F,W,7/24/2012,3,10/11/2012,Oct,79,21.3
46672,50,TestF50-43,BrF49-62,M,B,7/30/2012,2,10/11/2012,Oct,73,28.9
46675,50,TestF50-37,BrF49-62,F,B,7/30/2012,3,10/11/2012,Oct,73,20.7
46695,51,TestF51-01,BrF50-07,F,W,9/10/2012,4,12/6/2012,Dec,87,21.5
48290,51,TestF51-52,BrF50-101,M,W,12/12/2012,6,2/26/2013,Feb,79,20.4
48304,51,TestF51-02,BrF50-07,M,A,9/10/2012,4,12/6/2012,Dec,87,30.1
48305,51,TestF51-01,BrF50-04,F,B,9/10/2012,4,12/6/2012,Dec,87,23.2
48306,51,TestF51-02,BrF50-04,M,B,9/10/2012,4,12/6/2012,Dec,87,35.3
48311,51,TestF51-03,BrF50-01,F,A,9/12/2012,4,12/6/2012,Dec,85,28
48313,51,TestF51-03,BrF50-34,F,W,9/12/2012,4,12/6/2012,Dec,85,22.5
48314,51,TestF51-04,BrF50-01,M,A,9/12/2012,4,12/6/2012,Dec,85,29.5
48316,51,TestF51-04,BrF50-34,M,W,9/12/2012,4,12/6/2012,Dec,85,37.7
48325,51,TestF51-15,BrF50-05,F,W,9/12/2012,4,12/7/2012,Dec,86,22.6
48326,51,TestF51-14,BrF50-25,M,B,9/10/2012,4,12/7/2012,Dec,88,33.9
48328,51,TestF51-14,BrF50-05,M,W,9/12/2012,4,12/7/2012,Dec,86,30.5
48331,51,TestF51-15,BrF50-25,F,B,9/10/2012,4,12/7/2012,Dec,88,24.5
48332,51,TestF51-14,BrF50-24,M,A,9/12/2012,4,12/7/2012,Dec,86,36.3
48337,51,TestF51-15,BrF50-24,F,A,9/12/2012,4,12/7/2012,Dec,86,27.1
48342,51,TestF51-14,BrF50-03,M,B,9/11/2012,4,12/7/2012,Dec,87,34.8
48344,51,TestF51-06,BrF50-32,M,B,9/14/2012,4,12/6/2012,Dec,83,29.6
48345,51,TestF51-05,BrF50-32,F,B,9/14/2012,4,12/6/2012,Dec,83,23.6
48347,51,TestF51-05,BrF50-02,F,B,9/13/2012,4,12/6/2012,Dec,84,22.4
48348,51,TestF51-06,BrF50-02,M,B,9/13/2012,4,12/6/2012,Dec,84,28.7
48352,51,TestF51-06,BrF50-35,M,W,9/13/2012,4,12/6/2012,Dec,84,31.2
48353,51,TestF51-05,BrF50-35,F,W,9/13/2012,4,12/6/2012,Dec,84,21.2
48355,51,TestF51-05,BrF50-17,F,A,9/16/2012,4,12/6/2012,Dec,81,22.4
48358,51,TestF51-06,BrF50-17,M,A,9/16/2012,4,12/6/2012,Dec,81,30.5
48361,51,TestF51-07,BrF50-13,F,A,9/12/2012,4,12/6/2012,Dec,85,23.2
48362,51,TestF51-08,BrF50-13,M,A,9/12/2012,4,12/6/2012,Dec,85,28.9
48365,51,TestF51-07,BrF50-22,F,B,9/12/2012,4,12/6/2012,Dec,85,24.3
48366,51,TestF51-08,BrF50-22,M,B,9/12/2012,4,12/6/2012,Dec,85,30.4
48369,51,TestF51-07,BrF50-19,F,B,9/13/2012,4,12/6/2012,Dec,84,19.7
48370,51,TestF51-08,BrF50-19,M,B,9/13/2012,4,12/6/2012,Dec,84,30
48373,51,TestF51-07,BrF50-12,F,A,9/11/2012,4,12/6/2012,Dec,86,20.8
48374,51,TestF51-08,BrF50-12,M,A,9/11/2012,4,12/6/2012,Dec,86,25.1
48377,51,TestF51-09,BrF50-11,F,W,9/14/2012,4,12/6/2012,Dec,83,24.6
48379,51,TestF51-09,BrF50-23,F,B,9/12/2012,4,12/6/2012,Dec,85,26.8
48381,51,TestF51-09,BrF50-06,F,W,9/12/2012,4,12/6/2012,Dec,85,21.4
48382,51,TestF51-10,BrF50-11,M,W,9/14/2012,4,12/7/2012,Dec,84,33.7
48383,51,TestF51-09,BrF50-14,F,A,9/12/2012,4,12/6/2012,Dec,85,22.5
48384,51,TestF51-10,BrF50-23,M,A,9/12/2012,4,12/7/2012,Dec,86,30.4
48387,51,TestF51-11,BrF50-29,F,W,9/16/2012,4,12/7/2012,Dec,82,18.4
48390,51,TestF51-10,BrF50-06,M,W,9/12/2012,4,12/7/2012,Dec,86,28.9
48391,51,TestF51-11,BrF50-09,F,A,9/12/2012,4,12/7/2012,Dec,86,25.6
48394,51,TestF51-10,BrF50-14,M,A,9/12/2012,4,12/7/2012,Dec,86,32.2
48395,51,TestF51-11,BrF50-26,F,B,9/13/2012,4,12/7/2012,Dec,85,25.3
48398,51,TestF51-12,BrF50-29,M,W,9/16/2012,4,12/7/2012,Dec,82,23
48399,51,TestF51-11,BrF50-18,F,B,9/12/2012,4,12/7/2012,Dec,86,23.1
48402,51,TestF51-12,BrF50-09,M,B,9/12/2012,4,12/7/2012,Dec,86,30.9
48406,51,TestF51-12,BrF50-26,M,A,9/13/2012,4,12/7/2012,Dec,85,30.1
48408,51,TestF51-12,BrF50-18,M,A,9/12/2012,4,12/7/2012,Dec,86,23.4
48409,51,TestF51-13,BrF50-20,F,A,9/14/2012,4,12/7/2012,Dec,84,23.2
48411,51,TestF51-13,BrF50-10,F,B,9/10/2012,4,12/7/2012,Dec,88,26.7
48412,51,TestF51-16,BrF50-20,M,W,9/14/2012,4,12/7/2012,Dec,84,29.9
48416,51,TestF51-16,BrF50-10,M,B,9/10/2012,4,12/7/2012,Dec,88,37.4
48417,51,TestF51-13,BrF50-17,F,W,9/16/2012,4,12/7/2012,Dec,82,23.6
48420,51,TestF51-16,BrF50-16,M,B,9/13/2012,4,12/7/2012,Dec,85,31.8
48423,51,TestF51-17,BrF50-31,F,A,9/20/2012,4,12/7/2012,Dec,78,22.5
48425,51,TestF51-17,BrF50-28,F,B,9/22/2012,4,12/7/2012,Dec,76,25
48426,51,TestF51-18,BrF50-31,M,A,9/20/2012,4,12/7/2012,Dec,78,30.1
48432,51,TestF51-18,BrF50-28,M,B,9/22/2012,4,12/7/2012,Dec,76,25.8
48436,51,TestF51-20,BrF50-37,M,A,10/4/2012,5,1/2/2013,Jan,83,29.4
48439,51,TestF51-19,BrF50-37,F,W,10/4/2012,5,1/2/2013,Jan,83,21.3
48441,51,TestF51-19,BrF50-38,F,B,10/4/2012,5,1/2/2013,Jan,83,23.8
48443,51,TestF51-19,BrF50-03,F,B,9/11/2012,5,1/2/2013,Jan,83,21.9
48444,51,TestF51-20,BrF50-66,M,B,10/4/2012,5,1/2/2013,Jan,83,22
48445,51,TestF51-19,BrF50-66,F,A,10/4/2012,5,1/2/2013,Jan,83,18.8
48447,51,TestF51-21,BrF50-40,F,B,10/4/2012,5,1/2/2013,Jan,83,21.3
48449,51,TestF51-21,BrF50-43,F,W,10/4/2012,5,1/2/2013,Jan,83,23.3
48452,51,TestF51-20,BrF50-40,M,B,10/4/2012,5,1/2/2013,Jan,83,31.3
48456,51,TestF51-20,BrF50-43,M,W,10/4/2012,5,1/2/2013,Jan,83,38.5
48464,51,TestF51-22,BrF50-58,M,B,10/4/2012,5,1/2/2013,Jan,83,42.1
48468,51,TestF51-22,BrF50-61,M,A,10/5/2012,5,1/2/2013,Jan,82,35.5
48472,51,TestF51-22,BrF50-64,M,W,10/5/2012,5,1/2/2013,Jan,82,30.7
48473,51,TestF51-25,BrF50-56,F,B,10/5/2012,5,1/2/2013,Jan,82,22.6
48475,51,TestF51-25,BrF50-48,F,W,10/5/2012,5,1/2/2013,Jan,82,24.4
48477,51,TestF51-25,BrF50-41,F,W,10/6/2012,5,1/2/2013,Jan,81,23.8
48478,51,TestF51-22,BrF50-63,M,W,10/5/2012,5,1/2/2013,Jan,82,22.5
48479,51,TestF51-25,BrF50-62,F,B,10/5/2012,5,1/2/2013,Jan,82,22.4
48482,51,TestF51-24,BrF50-65,M,A,10/5/2012,5,1/2/2013,Jan,82,33.6
48486,51,TestF51-24,BrF50-56,M,B,10/5/2012,5,1/2/2013,Jan,82,33
48489,51,TestF51-27,BrF50-57,F,W,10/4/2012,5,1/3/2013,Jan,84,24.9
48490,51,TestF51-24,BrF50-48,M,W,10/5/2012,5,1/2/2013,Jan,82,34.7
48494,51,TestF51-24,BrF50-41,M,W,10/6/2012,5,1/2/2013,Jan,81,34.3
48495,51,TestF51-27,BrF50-39,F,A,10/5/2012,5,1/3/2013,Jan,83,23.1
48496,51,TestF51-26,BrF50-62,M,B,10/5/2012,5,1/2/2013,Jan,82,30.7
49004,51,TestF51-26,BrF50-57,M,W,10/4/2012,5,1/2/2013,Jan,83,32.9
49007,51,TestF51-27,BrF50-55,F,W,10/6/2012,5,1/3/2013,Jan,82,31.1
49008,51,TestF51-26,BrF50-39,M,A,10/5/2012,5,1/2/2013,Jan,82,37.8
49011,51,TestF51-29,BrF50-69,F,W,10/6/2012,5,1/3/2013,Jan,82,30.2
49012,51,TestF51-26,BrF50-50,M,A,10/6/2012,5,1/2/2013,Jan,81,27.4
49015,51,TestF51-29,BrF50-70,F,B,10/6/2012,5,1/3/2013,Jan,82,24.4
49016,51,TestF51-28,BrF50-55,M,A,10/6/2012,5,1/3/2013,Jan,82,33.8
49019,51,TestF51-29,BrF50-36,F,A,10/6/2012,5,1/3/2013,Jan,82,24.4
49020,51,TestF51-28,BrF50-69,M,W,10/6/2012,5,1/3/2013,Jan,82,36.6
49024,51,TestF51-28,BrF50-70,M,W,10/6/2012,5,1/3/2013,Jan,82,31
49025,51,TestF51-31,BrF50-52,F,W,10/7/2012,5,1/3/2013,Jan,81,22.5
49026,51,TestF51-28,BrF50-36,M,B,10/6/2012,5,1/3/2013,Jan,82,29.7
49027,51,TestF51-31,BrF50-71,F,B,10/7/2012,5,1/3/2013,Jan,81,25
49028,51,TestF51-30,BrF50-52,M,A,10/7/2012,5,1/3/2013,Jan,81,38.6
49031,51,TestF51-31,BrF50-46,F,W,10/7/2012,5,1/3/2013,Jan,81,25.7
49032,51,TestF51-30,BrF50-71,M,B,10/7/2012,5,1/3/2013,Jan,81,33.7
49035,51,TestF51-31,BrF50-68,F,A,10/7/2012,5,1/3/2013,Jan,81,22.3
49036,51,TestF51-30,BrF50-46,M,W,10/7/2012,5,1/3/2013,Jan,81,41.6
49040,51,TestF51-30,BrF50-68,M,W,10/7/2012,5,1/3/2013,Jan,81,33.8
49041,51,TestF51-33,BrF50-53,F,W,10/7/2012,5,1/3/2013,Jan,81,20.8
49045,51,TestF51-33,BrF50-51,F,A,10/7/2012,5,1/3/2013,Jan,81,31.6
49048,51,TestF51-32,BrF50-53,M,W,10/7/2012,5,1/3/2013,Jan,81,29.2
49052,51,TestF51-32,BrF50-51,M,A,10/7/2012,5,1/3/2013,Jan,81,30.1
49055,51,TestF51-33,BrF50-30,F,A,10/3/2012,5,1/3/2013,Jan,85,43.2
49056,51,TestF51-32,BrF50-30,M,B,10/3/2012,5,1/3/2013,Jan,85,38
49210,51,TestF51-42,BrF50-76,M,W,12/8/2012,6,2/25/2013,Feb,82,29.6
49211,51,TestF51-43,BrF50-76,F,W,12/8/2012,6,2/25/2013,Feb,82,21.6
49213,51,TestF51-43,BrF50-77,F,B,12/9/2012,6,2/25/2013,Feb,81,23.5
49214,51,TestF51-42,BrF50-77,M,W,12/9/2012,6,2/25/2013,Feb,81,25.3
49217,51,TestF51-43,BrF50-78,F,W,12/9/2012,6,2/25/2013,Feb,81,23.1
49218,51,TestF51-42,BrF50-78,M,B,12/9/2012,6,2/25/2013,Feb,81,30.3
49221,51,TestF51-43,BrF50-79,F,A,12/9/2012,6,2/25/2013,Feb,81,21.4
49222,51,TestF51-42,BrF50-79,M,A,12/9/2012,6,2/25/2013,Feb,81,28.6
49226,51,TestF51-44,BrF50-87,M,B,12/8/2012,6,2/25/2013,Feb,82,30.7
49229,51,TestF51-45,BrF50-87,F,W,12/8/2012,6,2/25/2013,Feb,82,21.7
49230,51,TestF51-44,BrF50-81,M,W,12/8/2012,6,2/25/2013,Feb,82,27.3
49231,51,TestF51-45,BrF50-81,F,W,12/8/2012,6,2/25/2013,Feb,82,26.7
49233,51,TestF51-45,BrF50-82,F,A,12/9/2012,6,2/25/2013,Feb,81,23.2
49234,51,TestF51-44,BrF50-82,M,B,12/9/2012,6,2/25/2013,Feb,81,29.1
49237,51,TestF51-45,BrF50-84,F,A,12/10/2012,6,2/25/2013,Feb,80,26
49238,51,TestF51-44,BrF50-84,M,A,12/10/2012,6,2/25/2013,Feb,80,31
49240,51,TestF51-46,BrF50-85,M,A,12/9/2012,6,2/25/2013,Feb,81,25.7
49243,51,TestF51-47,BrF50-85,F,A,12/9/2012,6,2/25/2013,Feb,81,20
49245,51,TestF51-47,BrF50-86,F,B,12/10/2012,6,2/25/2013,Feb,80,24.6
49246,51,TestF51-46,BrF50-86,M,B,12/10/2012,6,2/25/2013,Feb,80,28
49249,51,TestF51-47,BrF50-72,F,B,12/10/2012,6,2/25/2013,Feb,80,25.1
49251,51,TestF51-47,BrF50-73,F,A,12/9/2012,6,2/25/2013,Feb,81,22.1
49254,51,TestF51-46,BrF50-73,M,A,12/9/2012,6,2/25/2013,Feb,81,27.1
49255,51,TestF51-49,BrF50-82,F,B,12/10/2012,6,2/26/2013,Feb,82,25.8
49258,51,TestF51-48,BrF50-82,M,A,12/10/2012,6,2/26/2013,Feb,81,26.8
49259,51,TestF51-49,BrF50-93,F,A,12/10/2012,6,2/26/2013,Feb,81,22
49262,51,TestF51-48,BrF50-93,M,W,12/10/2012,6,2/26/2013,Feb,80,26.4
49263,51,TestF51-49,BrF50-96,F,W,12/10/2012,6,2/26/2013,Feb,81,21.3
49266,51,TestF51-48,BrF50-96,M,W,12/10/2012,6,2/26/2013,Feb,80,25.4
49267,51,TestF51-49,BrF50-99,F,B,12/9/2012,6,2/26/2013,Feb,82,25.4
49270,51,TestF51-48,BrF50-99,M,B,12/9/2012,6,2/26/2013,Feb,81,32.2
49274,51,TestF51-50,BrF50-100,M,B,12/9/2012,6,2/26/2013,Feb,82,34.6
49278,51,TestF51-50,BrF50-105,M,W,12/10/2012,6,2/26/2013,Feb,81,31.1
49282,51,TestF51-50,BrF50-104,M,W,12/10/2012,6,2/26/2013,Feb,81,30.9
49286,51,TestF51-52,BrF50-97,M,B,12/11/2012,6,2/26/2013,Feb,80,29.5
49287,51,TestF51-53,BrF50-97,F,W,12/11/2012,6,2/26/2013,Feb,80,19.4
49289,51,TestF51-53,BrF50-101,F,B,12/12/2012,6,2/26/2013,Feb,79,21.5
49293,51,TestF51-53,BrF50-94,F,B,12/12/2012,6,2/26/2013,Feb,79,23.6
49294,51,TestF51-52,BrF50-94,M,B,12/12/2012,6,2/26/2013,Feb,79,30.2
49297,51,TestF51-53,BrF50-102,F,W,12/11/2012,6,2/26/2013,Feb,80,24
49298,51,TestF51-52,BrF50-102,M,A,12/11/2012,6,2/26/2013,Feb,80,33.3
