id	gen	cc	fam	dam	sire	dam.age	sire.age	wean.age	mf.ratio	dob	cage	sex	batch	cpp.date	ppi.date	glu.date	rip.date	cpp.mo	ppi.mo	glu.mo	rip.mo	cpp.age	cpp.box	d1.weight	d1.fb	d2.weight	d2.fb	d3.weight	d3.fb	d4.weight	d4.fb	d5.weight	d5.fb	d8.weight	d8.fb	act1.1	act1.2	act1.3	act1.4	act1.5	act1.6	act1.t	cpp1.1	cpp1.2	cpp1.3	cpp1.4	cpp1.5	cpp1.6	cpp1.t	cpp1.p	sc1.1	sc1.2	sc1.3	sc1.4	sc1.5	sc1.6	sc1.t	act2.1	act2.2	act2.3	act2.4	act2.5	act2.6	act2.t	act3.1	act3.2	act3.3	act3.4	act3.5	act3.6	act3.t	act4.1	act4.2	act4.3	act4.4	act4.5	act4.6	act4.t	act5.1	act5.2	act5.3	act5.4	act5.5	act5.6	act5.t	act8.1	act8.2	act8.3	act8.4	act8.5	act8.6	act8.t	cpp8.1	cpp8.2	cpp8.3	cpp8.4	cpp8.5	cpp8.6	cpp8.t	cpp8.p	sc8.1	sc8.2	sc8.3	sc8.4	sc8.5	sc8.6	sc8.t	cpp.diff	comerr1	comerr2	comerr3	comerr4	comerr5	comerr8	rm.act4	sens	glu.age	glu.weight	glucose	rip.age	rip.weight	tail	wild	brain	ppi.weight	ppi.age	ppi.box	ppi3	ppi6	ppi12	avg.ppi	startle	habituation	sum.nostim
26590	50	BR	BrF49-44	45382	45479	110	97	21	0.75	7/4/2012	TestF50-19	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	2	21.7	1	21.5	0	21.1	4	20.6	0	20.6	3	21.3	3	1548	1933	1907	1724	1850	1372	10334	172.1	155.3	172.2	172.3	128.5	159.9	960.3	0.53	25	23	26	25	30	20	149	443	321	479	551	571	582	2947	314	295	304	258	276	198	1645	467	504	528	564	643	553	3259	426	290	314	241	285	219	1775	2717	2856	2170	2338	2259	2030	14370	195.4	182.8	195.4	209.2	170	189.1	1141.9	0.63439	42	39	32	28	46	36	223	0.100888889	0	0	0	0	0	0	0	312	77	21.3	76	82	20.9	8.1	NA	n	22.3	70	2	19.28692699	51.34125637	48.89643463	39.84153933	14.58333333	-10.33333333	32
26591	50	AGR	BrF49-44	45382	45479	110	97	21	0.75	7/4/2012	TestF50-20	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	6	25.2	2	24.8	0	25	6	24.8	0	24.6	5	25.6	9	1830	1929	1825	2081	1757	1735	11157	112.9	134.9	144.9	155.1	156.7	145.3	849.8	0.47	24	26	19	25	22	25	141	511	438	455	424	407	419	2654	374	375	344	388	246	274	2001	481	577	597	601	593	556	3405	371	257	359	336	211	218	1752	2479	1816	2014	1985	1741	1338	11373	131.9	130.8	166.6	177.8	189.7	164.1	960.9	0.53383	41	33	25	32	26	21	178	0.061722222	0	0	0	0	0	0	0	751	77	27.6	139	82	27.2	8.5	NA	n	27.7	70	2	58.35904708	64.56664776	70.76744186	64.5643789	29.66666667	7.5	27
26592	50	BL	BrF49-46	45457	45438	99	100	21	0.444444444	7/4/2012	TestF50-20	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	7	26	5	26.8	0	27.5	6	28.2	0	28.8	7	30.4	3	966	717	663	706	630	586	4268	138.8	117.8	180.8	143	167.2	164.8	912.4	0.51	19	13	13	16	15	21	97	264	272	219	251	280	299	1585	281	204	225	242	139	154	1245	264	286	217	212	213	103	1295	291	197	208	127	122	110	1055	1261	846	884	614	783	551	4939	147.9	173.4	169.6	153.8	160.4	94.9	900	0.5	36	27	30	18	21	19	151	-0.006888889	0	0	0	0	0	0	0	-290	77	30.3	133	82	30.8	8.4	NA	y	30.4	70	3	28.00824176	46.09661172	58.84691697	44.31725682	126.1666667	7	39
26593	50	BL	BrF49-46	45457	45438	99	100	21	0.444444444	7/4/2012	TestF50-19	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	3	18.6	7	18.6	1	18.3	4	18.9	0	18.5	4	19.8	9	1847	2057	1828	1596	1252	995	9575	137.9	111.5	86.9	84.9	68	46.8	536	0.3	43	41	36	34	21	16	191	471	411	475	701	782	570	3410	533	384	312	203	242	188	1862	582	695	660	729	756	713	4135	359	386	432	312	258	203	1950	2011	1670	1595	1374	1100	1046	8796	164	109.3	172.3	125.8	82.8	114.6	768.8	0.42711	48	31	34	21	20	14	168	0.129333333	0	0	0	0	0	0	0	725	77	25.2	92	82	24.1	7.3	NA	n	22.9	70	3	22.55117634	19.24230365	50.65486613	30.81611537	57.625	35	44
26594	50	WR	BrF49-55	45393	45425	113	98	21	0.6	7/4/2012	TestF50-20	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	8	25	7	25	0	25.3	5	25.2	0	25.3	5	26.2	3	1727	1579	1300	1125	1089	1081	7901	131.3	178.7	118.6	118.4	156.1	171.6	874.7	0.49	31	28	21	19	24	28	151	532	399	395	296	330	269	2221	539	264	272	319	296	216	1906	475	542	443	545	500	581	3086	330	292	306	229	205	191	1553	2336	1639	1797	1272	1485	1629	10158	155.2	187.7	204.1	133.9	178	191.7	1050.6	0.58367	62	39	40	34	28	35	238	0.097722222	0	0	0	0	0	0	0	865	77	28.5	100	82	29.6	8.2	NA	n	28.4	70	4	38.18802885	63.39659794	76.19457843	59.25973508	90.83333333	-31.66666667	36
26595	50	WR	BrF49-55	45393	45425	113	98	21	0.6	7/4/2012	TestF50-19	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	4	22.8	0	22.8	0	22.7	8	23.7	0	23.5	8	24.7	0	2612	2330	1866	2483	2061	1667	13019	177	148.2	133.1	167.2	143.7	171.2	940.4	0.52	34	30	20	34	34	29	181	373	334	320	253	349	318	1947	356	306	235	348	228	168	1641	318	433	403	398	401	257	2210	422	234	224	297	214	202	1593	3393	2690	2200	2434	2290	2123	15130	188.5	181.1	194.4	199	215.1	215.8	1193.9	0.66328	53	32	24	28	34	32	203	0.140833333	0	0	0	0	0	0	0	263	77	25.8	51	82	24.8	8.3	NA	y	26.2	70	4	35.00876973	61.33646859	68.10602702	54.81708845	98.75	1.666666667	37
45493	50	WR	BrF49-82	45467	45471	112	111	21	0.5	7/19/2012	TestF50-33	F	3	9/14/2012	9/25/2012	10/2/2012	10/10/2012	Sep	Sep	Oct	Oct	57	4	17.4	4	17.8	0	18.2	5	18.1	0	17.8	6	18	2	1642	1703	1696	1129	1306	1338	8814	144.1	194.6	158.1	177.9	128.5	168.1	971.3	0.54	38	36	35	29	27	33	198	368	297	98	74	80	61	978	436	216	176	254	248	138	1468	503	194	183	187	303	165	1535	400	237	360	364	282	213	1856	1309	1311	1352	1166	1066	1218	7422	223.6	219.7	210.1	265	202	211.2	1331.6	0.73978	15	20	22	18	18	24	117	0.200166778	0	0	0	0	0	0	0	557	77	19.3	77	83	19.7	7	NA	n	19.3	71	4	47.34722222	64.36111111	80.94444444	64.21759259	68.08333333	-8	38
45494	50	WR	BrF49-82	45467	45471	112	111	21	0.5	7/19/2012	TestF50-36	M	3	9/14/2012	9/25/2012	10/2/2012	10/11/2012	Sep	Sep	Oct	Oct	57	7	27.1	1	27.7	0	28.1	8	28.6	0	28.5	5	28.9	7	1614	1307	1090	1031	967	1153	7162	140.7	150.5	157.8	179.6	134.4	172.2	935.2	0.52	43	30	27	25	25	36	186	248	97	59	64	88	101	657	233	125	100	165	134	138	895	425	344	281	283	326	288	1947	248	101	184	151	199	100	983	1576	1106	839	919	730	803	5973	154.1	168.2	154	132.3	165.3	116.7	890.6	0.49478	43	30	24	27	24	25	173	-0.024778222	0	0	0	0	0	0	0	1290	77	28.6	109	84	29.7	7.1	NA	y	28.6	71	1	64.33529442	64.66234889	75.35647073	68.11803801	58.75	-19.16666667	44
45496	50	BR	BrF49-01	45301	45371	104	98	21	0.833333333	6/20/2012	TestF50-02	M	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	5	28	4	28.3	1	28.7	4	29.6	0	29.3	5	31	5	1964	1542	1663	1034	1038	1201	8442	131.2	143.9	108.2	159	140.1	148.4	830.8	0.46	36	30	34	16	16	26	158	354	261	307	186	196	286	1590	411	520	427	228	623	424	2633	478	309	119	32	36	13	987	300	213	220	175	184	136	1228	2656	2171	1861	1657	1388	956	10689	137.2	138.8	170.2	135.6	138.8	188.3	908.9	0.50494	35	30	25	22	25	14	151	0.043388889	0	0	0	0	0	0	0	-603	78	32.5	88	82	32.9	8.9	NA	n	30	64	1	66.0385159	72.73498233	72.13922261	70.30424028	37.54166667	-17	43
45497	50	BR	BrF49-01	45301	45371	104	98	21	0.833333333	6/20/2012	TestF50-01	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	1	22.8	1	23	1	23.9	9	24.6	1	24.5	4	25.5	4	2391	2778	1982	1724	1961	1729	12565	144.2	126.1	142.1	91	165.3	183.9	852.6	0.47	37	43	37	36	33	21	207	365	329	391	304	256	218	1863	328	538	446	751	411	520	2994	274	229	121	43	21	0	688	176	190	219	256	210	166	1217	1793	1843	1671	1626	1590	1175	9698	158.7	116.5	150.6	165.1	194.6	133.5	919	0.51056	20	29	37	21	19	19	145	0.036888889	0	0	0	0	0	0	0	-1175	78	24.9	53	82	24.5	8.4	NA	y	25.6	64	1	44.84252832	57.55937157	62.17062477	54.85750822	50	1.333333333	48
45498	50	WR	BrF49-03	45305	45381	94	86	21	1	6/19/2012	TestF50-01	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	49	2	21.9	2	21.8	0	21.7	7	21.8	2	22.3	6	23.9	4	2338	2436	1988	1799	1467	1542	11570	161.4	158.8	179.4	116.4	194.4	154.1	964.5	0.54	35	33	30	28	23	24	173	538	270	172	191	291	196	1658	538	446	751	411	520	427	3093	550	426	237	308	270	170	1961	346	274	237	158	209	70	1294	2440	2295	1759	1950	1403	1077	10924	158.3	157.1	202.3	134.7	118.8	172.8	944	0.52444	34	41	30	35	26	15	181	-0.011388889	0	0	0	0	0	0	0	303	79	24	52	83	24	8	NA	n	24.3	65	2	72.28889492	74.79228889	80.47425106	75.85181163	34.79166667	-2.666666667	32
45499	50	BL	BrF49-04	45307	45452	104	85	21	0.222222222	6/20/2012	TestF50-02	M	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	6	25.2	4	26.1	0	26.2	7	26.5	0	26.1	5	26.4	0	1739	1848	1671	1731	1663	1187	9839	167.8	205.2	155.9	170	151.6	196.9	1047.4	0.58	29	37	33	34	29	16	178	529	405	507	481	462	401	2785	520	427	228	623	424	407	2629	600	733	685	743	799	705	4265	429	468	374	333	418	321	2343	2301	2314	2090	2357	1785	1890	12737	156.6	194.9	177.4	164.8	187.3	189.9	1070.9	0.59494	32	37	33	36	22	33	193	0.013055556	0	0	0	0	0	0	0	1480	78	28.8	121	82	29.4	8.5	NA	n	26.6	64	2	40.1387847	56.81170293	57.62940735	51.52663166	23	-1.833333333	26
46001	50	BL	BrF49-04	45307	45452	104	85	21	0.222222222	6/20/2012	TestF50-01	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	3	23	0	24.1	0	24.3	4	24.2	0	24.1	2	24.2	0	1785	1549	1922	1447	1348	1098	9149	184.5	168	151	182.7	156.5	169	1011.7	0.56	28	31	33	30	31	25	178	475	494	458	580	568	576	3151	446	751	411	520	427	228	2783	549	570	684	750	786	603	3942	440	362	306	435	286	289	2118	2176	1550	1741	1502	1380	1237	9586	181.8	198.5	165.1	162.7	213.3	166.1	1087.5	0.60417	41	45	43	40	30	24	223	0.042111111	0	0	0	0	0	0	0	791	78	25.9	101	82	25.5	8.5	NA	n	25.1	64	3	50.03773585	59.23113208	66.41037736	58.55974843	33.66666667	-4.5	42
46002	50	AGL	BrF49-06	45313	45432	104	85	21	0.454545455	6/20/2012	TestF50-01	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	4	17.3	1	17.8	0	17.9	7	18.8	0	18.2	8	18.8	6	2378	1931	1734	1581	1798	1791	11213	130.2	153.9	195	171.5	167.6	116.7	934.9	0.52	33	26	18	18	22	23	140	616	435	428	510	488	465	2942	751	411	520	427	228	623	2960	592	631	603	622	539	620	3607	418	331	211	318	306	304	1888	1902	1363	1373	932	1276	1036	7882	185.1	227.2	179.2	138.7	174.9	181.3	1086.4	0.60356	38	27	49	28	35	22	199	0.084166667	0	0	0	0	0	0	0	665	78	18.8	58	82	19.1	8.1	NA	n	19.8	64	4	33.27692215	51.17085156	61.59021993	48.67933122	60.08333333	12.5	34
46004	50	AGL	BrF49-07	45316	45441	104	83	21	0.888888889	6/19/2012	TestF50-02	M	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	49	8	25.6	4	26.2	0	26.5	5	26.4	0	26.2	4	26.6	6	1868	1656	1071	1052	1087	820	7554	170.4	155.2	119.2	171.8	188	136	940.6	0.52	37	29	14	16	14	11	121	248	180	122	59	108	165	882	228	623	424	407	252	395	2329	344	266	211	242	195	315	1573	350	205	152	146	111	110	1074	1674	1453	1400	1202	871	1026	7626	158.4	205.6	163.2	217.3	196.9	158.5	1099.9	0.61106	33	30	34	24	20	26	167	0.0885	0	0	0	0	0	0	0	691	79	27.1	73	83	28.2	8.7	NA	y	27.6	65	4	45.94943742	60.2139186	64.84442284	57.00259295	50.125	8.666666667	32
46005	50	BR	BrF49-07	45316	45441	104	83	21	0.888888889	6/19/2012	TestF50-03	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	49	9	19	4	19.4	0	19.3	5	19.5	0	19.6	6	21.2	2	1498	1447	1126	1303	1224	1143	7741	147.8	187.1	119.5	175.2	180.7	147.4	957.7	0.53	29	22	16	13	13	20	113	638	678	535	533	601	572	3557	623	424	407	252	395	343	2444	807	769	702	780	547	781	4386	443	283	291	211	345	257	1830	2133	2275	2027	1531	1858	1578	11402	157.8	175.9	175.1	236.1	229.3	166.8	1141	0.63389	37	43	35	29	40	34	218	0.101833333	0	0	0	0	0	0	0	829	79	21.3	51	83	21.8	7.5	NA	n	21	65	1	60.85990338	63.03381643	67.01449275	63.63607085	24.45833333	-8.666666667	42
46006	50	BL	BrF49-09	45323	45465	103	84	21	0.5	6/19/2012	TestF50-03	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	49	10	25	1	26.3	0	26.4	5	27.5	1	27.7	5	30	4	3037	3113	2795	2181	1999	1967	15092	163.8	157.8	146.4	136.4	125.4	193.3	923.1	0.51	40	38	26	23	17	31	175	594	511	309	314	164	338	2230	NA	NA	NA	NA	NA	NA	NA	485	551	420	448	332	379	2615	370	327	331	201	320	199	1748	2236	2714	2441	2079	2012	1819	13301	145.2	121.7	136.2	126	116.8	138.6	784.5	0.43583	50	47	28	34	23	27	209	-0.077	0	0	0	0	0	0	0	385	79	33.8	117	83	35	8.5.	NA	n	31.2	65	2	29.93874484	51.56690948	58.44722633	46.65096022	88.33333333	-12.66666667	27
46007	50	WR	BrF49-09	45323	45465	103	84	21	0.5	6/19/2012	TestF50-04	M	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	49	3	29.3	1	30	0	30.3	5	30.9	1	30.9	3	31.9	5	2047	2078	2200	1861	1718	1813	11717	166.1	173.5	182.7	169	163.8	180.9	1036	0.58	22	33	32	28	21	29	165	428	416	367	396	392	427	2426	252	395	343	304	192	290	1776	383	571	484	506	529	531	3004	268	214	194	256	231	190	1353	1900	1575	1344	1121	1261	978	8179	141.7	171.1	161.9	154.2	172.5	184	985.4	0.54744	48	37	37	36	27	29	214	-0.028111111	0	0	0	0	0	0	0	578	79	34.9	126	83	35.8	8.7	NA	y	33.3	65	1	62.29687731	71.43702827	76.67899956	70.13763505	39.45833333	-36.66666667	43
46008	50	WR	BrF49-21	45466	45312	83	105	21	0.444444444	6/20/2012	TestF50-03	F	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	1	15.8	4	16.6	0	16.3	5	16.8	0	16.7	4	18.5	9	2466	2317	2603	2475	2466	1695	14022	148.5	165	173.1	98.3	114.6	165.3	864.8	0.48	44	35	27	30	34	25	195	624	616	455	467	506	362	3030	424	407	252	395	343	304	2125	813	620	564	480	528	565	3570	423	322	378	231	272	162	1788	3415	2425	1920	1489	1453	1252	11954	174.2	140.3	166.4	208.3	109.5	118	916.7	0.50928	47	33	28	15	25	18	166	0.028833333	0	0	0	0	0	0	0	540	78	21	80	82	21.3	8.2	NA	y	19.5	64	3	11.24305306	25.46639479	52.45571948	29.72172244	57.25	-44.16666667	35
46009	50	BR	BrF49-21	45466	45312	83	105	21	0.444444444	6/20/2012	TestF50-04	M	1	8/7/2012	8/23/2012	9/6/2012	9/10/2012	Aug	Aug	Sep	Sep	48	4	29.2	4	28.8	1	29	6	29.5	3	29.1	5	29.6	7	2498	2306	2198	2166	2196	1580	12944	134.3	162.1	184.5	160.9	180.3	210.7	1032.8	0.57	27	31	35	36	36	31	196	573	569	674	565	606	428	3415	395	343	304	192	290	419	1943	493	691	546	566	497	372	3165	315	155	278	236	207	137	1328	2890	2095	1515	2219	1721	1652	12092	175.4	169.5	179.9	190.1	199.6	195.6	1110.1	0.61672	67	26	28	49	29	38	237	0.042944444	0	0	0	0	0	0	0	-250	78	35	84	82	38.4	8.7	NA	n	33	64	2	38.29710247	61.8145583	78.35929329	59.49031802	41.75	-18.83333333	45
