one sex glu.age glu.weight
1 1 75 20
1 1 67 20.5
1 0 70 27.1
1 1 69 23.5
1 1 75 23.5
1 1 82 21.3
1 0 79 25.1
1 0 74 24.6
1 1 73 24
1 0 75 32.7
1 0 71 39.2
1 0 79 32.1
1 0 76 38.7
1 0 75 27.8
1 0 77 34.3
1 0 92 31.9
1 1 70 20.9
1 1 77 21.4
1 1 75 26.8
1 1 82 23.1
1 0 84 37
1 1 76 21.9
1 1 75 19.3
1 1 76 21.1
1 1 75 19.7
1 1 73 24
1 1 77 39.8
1 0 75 29.9
1 0 70 23.6
1 1 74 24.6
1 1 77 20
1 0 74 30.8
1 0 84 33.7
1 1 71 20.6
1 1 77 26.2
1 1 81 22
1 1 72 20.4
1 1 73 19.6
1 1 69 23.8
1 1 80 20.1
1 1 84 26
1 0 75 30.4
1 1 79 24.2
1 0 73 29
1 1 80 19.4
1 0 90 25.1
1 1 73 18.5
1 1 70 25.6
1 0 75 32.4
1 0 82 30.9
1 0 83 31.3
1 1 74 25.2
1 0 77 31
1 0 75 27.3
1 0 72 25.1
1 0 74 32.1
1 1 75 19.6
1 1 74 20.1
1 0 73 28.9
1 1 76 25.8
1 1 77 24.6
1 1 71 21.4
1 0 71 32.2
1 0 77 28.4
1 1 99 25.7
1 0 74 20.2
1 1 76 25.8
1 1 75 18.4
1 1 72 24.9
1 1 77 21.9
1 1 83 29.3
1 1 69 17.5
1 0 71 39
1 0 72 33
1 0 74 29.3
1 0 75 29.4
1 0 83 27.9
1 0 71 27.5
1 1 70 22.8
1 0 84 35.6
1 1 82 23.4
1 0 94 35.5
1 0 77 29.3
1 0 75 33
1 0 77 24
1 1 71 18.2
1 1 115 40.5
1 1 69 18.9
1 0 75 25.8
1 1 73 24.8
1 1 74 21.5
1 1 69 22.1
1 1 69 21
1 1 82 23
1 1 75 25.2
1 0 81 30.9
1 1 76 21.9
1 1 74 18.4
1 0 75 28
1 0 75 30.7
1 1 74 28
1 1 75 22
1 1 85 27
1 1 78 25.9
1 1 77 23.1
1 1 75 33.2
1 0 74 22.7
1 0 83 42.5
1 1 77 22
1 0 73 27.9
1 0 75 29.1
1 0 73 40.8
1 0 76 30.4
1 0 73 34.4
1 1 76 26
1 0 76 29.1
1 0 73 29.5
1 0 100 30.5
1 0 75 37.5
1 0 75 29.2
1 1 74 20.8
1 1 70 22.1
1 0 74 42
1 1 73 19.4
1 1 90 19.2
1 1 101 33.7
1 1 80 27.8
1 1 78 28.1
1 1 73 21
1 0 80 39
1 0 77 36
1 1 74 18.8
1 0 77 33
1 1 73 23.5
1 1 84 29.5
1 1 78 24.2
1 1 76 19.3
1 0 76 26
1 1 77 25.2
1 0 74 26.7
1 0 88 29
1 0 71 26.1
1 0 73 27.2
1 0 77 33.2
1 1 68 20.9
1 0 70 30.1
1 1 75 24.7
1 1 78 23.3
1 1 75 20.9
1 1 115 21.8
1 0 79 29.7
1 1 76 21
1 1 75 21.4
1 1 73 23
1 1 73 23.8
1 0 71 33.9
1 1 75 25.2
1 1 68 20.6
1 0 75 27
1 0 77 31.6
1 0 73 27.6
1 1 73 20.1
1 1 76 25.2
1 0 74 33.2
1 0 75 32.8
1 0 81 32.6
1 1 73 21.8
1 1 NA NA
1 0 NA NA
1 0 82 NA
1 0 NA NA
1 1 75 NA
1 0 NA NA
1 1 110 NA
1 0 82 NA
1 1 NA NA
1 1 NA NA
1 1 NA NA
1 1 73 NA
1 0 NA NA
1 1 NA NA
1 1 83 NA
1 1 76 NA
1 0 NA NA
1 0 83 NA
1 0 NA NA
1 1 82 NA
1 0 NA NA
1 0 NA NA
1 1 83 NA
1 1 NA NA
1 1 NA NA
1 0 83 NA
1 0 80 21.4
1 0 NA NA
1 1 83 NA
1 0 83 NA
1 1 NA NA
1 1 NA NA
1 1 83 24.7
1 1 NA NA
1 0 NA NA
1 1 NA NA
1 0 NA NA
1 1 NA NA
1 0 83 NA
1 1 84 26.9
1 0 88 30.7
1 1 82 28.3
1 1 76 17.4
1 0 70 29.3
1 0 87 37.9
1 1 75 19.1
1 1 77 24.5
1 0 73 28
1 1 74 20.6
1 0 90 35.4
1 1 73 28.9
1 1 75 22.8
1 0 92 40.8
1 0 73 35.4
1 1 72 26.1
1 1 71 23
1 0 76 36.5
1 0 74 28.7
1 1 74 20.5
1 1 76 21.3
1 0 71 25.6
1 1 71 16.6
1 1 78 18.8
1 1 76 26.2
1 0 85 31.4
1 0 78 35.4
1 1 75 21.4
1 1 77 29.5
1 0 85 35.3
1 1 70 28.4
1 1 75 22
1 1 84 24.7
1 0 75 26.1
1 1 71 25.4
1 1 70 26.7
1 1 70 17.8
1 1 78 31.2
1 0 68 27.6
1 1 75 20.2
1 1 82 22.8
1 0 80 40
1 1 75 23.3
1 1 84 23.5
1 0 74 30.5
1 0 74 31.7
1 1 NA NA
1 0 79 39.4
1 0 NA NA
1 1 NA NA
1 1 NA NA
1 0 NA NA
1 1 110 NA
1 0 NA NA
1 1 NA NA
1 0 71 28.8
1 1 71 22.5
1 0 NA NA
1 0 83 NA
1 0 NA NA
1 1 NA NA
