"id"	"cpp.diff"	"sens"	"cpp1.1"	"cpp1.2"	"cpp1.3"	"cpp1.4"	"cpp1.5"	"cpp1.6"	"cpp1.t"	"cpp1.p"	"cpp8.1"	"cpp8.2"	"cpp8.3"	"cpp8.4"	"cpp8.5"	"cpp8.6"	"cpp8.t"	"cpp8.p"	"sc1.1"	"sc1.2"	"sc1.3"	"sc1.4"	"sc1.5"	"sc1.6"	"sc1.t"	"sc8.1"	"sc8.2"	"sc8.3"	"sc8.4"	"sc8.5"	"sc8.6"	"sc8.t"	"act1.1"	"act1.2"	"act1.3"	"act1.4"	"act1.5"	"act1.6"	"act1.t"	"act2.1"	"act2.2"	"act2.3"	"act2.4"	"act2.5"	"act2.6"	"act2.t"	"act3.1"	"act3.2"	"act3.3"	"act3.4"	"act3.5"	"act3.6"	"act3.t"	"act4.1"	"act4.2"	"act4.3"	"act4.4"	"act4.5"	"act4.6"	"act4.t"	"act5.1"	"act5.2"	"act5.3"	"act5.4"	"act5.5"	"act5.6"	"act5.t"	"act8.1"	"act8.2"	"act8.3"	"act8.4"	"act8.5"	"act8.6"	"act8.t"	"ppi3"	"ppi6"	"ppi12"	"avg.ppi"	"startle"	"habituation"	"glucose"	"tail"	"wild"	"ppi3.logit"	"ppi6.logit"	"ppi12.logit"	"wild.binary"
26592	-0.006888889	-290	138.8	117.8	180.8	143	167.2	164.8	912.4	0.51	147.9	173.4	169.6	153.8	160.4	94.9	900	0.5	19	13	13	16	15	21	97	36	27	30	18	21	19	151	966	717	663	706	630	586	4268	264	272	219	251	280	299	1585	281	204	225	242	139	154	1245	264	286	217	212	213	103	1295	291	197	208	127	122	110	1055	1261	846	884	614	783	551	4939	28.00824176	46.09661172	58.84691697	44.31725682	126.1666667	7	133	"8.4"	NA	-2.55149606439907	-2.33432441697241	-2.22771304672312	NA
26593	0.129333333	725	137.9	111.5	86.9	84.9	68	46.8	536	0.3	164	109.3	172.3	125.8	82.8	114.6	768.8	0.42711	43	41	36	34	21	16	191	48	31	34	21	20	14	168	1847	2057	1828	1596	1252	995	9575	471	411	475	701	782	570	3410	533	384	312	203	242	188	1862	582	695	660	729	756	713	4135	359	386	432	312	258	203	1950	2011	1670	1595	1374	1100	1046	8796	22.55117634	19.24230365	50.65486613	30.81611537	57.625	35	92	"7.3"	NA	-2.64585030791259	-2.71490644863604	-2.29317332446844	NA
26594	0.097722222	865	131.3	178.7	118.6	118.4	156.1	171.6	874.7	0.49	155.2	187.7	204.1	133.9	178	191.7	1050.6	0.58367	31	28	21	19	24	28	151	62	39	40	34	28	35	238	1727	1579	1300	1125	1089	1081	7901	532	399	395	296	330	269	2221	539	264	272	319	296	216	1906	475	542	443	545	500	581	3086	330	292	306	229	205	191	1553	2336	1639	1797	1272	1485	1629	10158	38.18802885	63.39659794	76.19457843	59.25973508	90.83333333	-31.66666667	100	"8.2"	NA	-2.41641109819019	-2.1951720033402	-2.11475416983782	NA
26595	0.140833333	263	177	148.2	133.1	167.2	143.7	171.2	940.4	0.52	188.5	181.1	194.4	199	215.1	215.8	1193.9	0.66328	34	30	20	34	34	29	181	53	32	24	28	34	32	203	2612	2330	1866	2483	2061	1667	13019	373	334	320	253	349	318	1947	356	306	235	348	228	168	1641	318	433	403	398	401	257	2210	422	234	224	297	214	202	1593	3393	2690	2200	2434	2290	2123	15130	35.00876973	61.33646859	68.10602702	54.81708845	98.75	1.666666667	51	"8.3"	NA	-2.45430007167601	-2.20960921989864	-2.16384652827866	NA
45493	0.200166778	557	144.1	194.6	158.1	177.9	128.5	168.1	971.3	0.54	223.6	219.7	210.1	265	202	211.2	1331.6	0.73978	38	36	35	29	27	33	198	15	20	22	18	18	24	117	1642	1703	1696	1129	1306	1338	8814	368	297	98	74	80	61	978	436	216	176	254	248	138	1468	503	194	183	187	303	165	1535	400	237	360	364	282	213	1856	1309	1311	1352	1166	1066	1218	7422	47.34722222	64.36111111	80.94444444	64.21759259	68.08333333	-8	77	"7"	NA	-2.32264434814932	-2.18857226565744	-2.08828327606222	NA
45494	-0.024778222	1290	140.7	150.5	157.8	179.6	134.4	172.2	935.2	0.52	154.1	168.2	154	132.3	165.3	116.7	890.6	0.49478	43	30	27	25	25	36	186	43	30	24	27	24	25	173	1614	1307	1090	1031	967	1153	7162	248	97	59	64	88	101	657	233	125	100	165	134	138	895	425	344	281	283	326	288	1947	248	101	184	151	199	100	983	1576	1106	839	919	730	803	5973	64.33529442	64.66234889	75.35647073	68.11803801	58.75	-19.16666667	109	"7.1"	NA	-2.18874763436142	-2.1865311546242	-2.11959436647158	NA
45496	0.043388889	-603	131.2	143.9	108.2	159	140.1	148.4	830.8	0.46	137.2	138.8	170.2	135.6	138.8	188.3	908.9	0.50494	36	30	34	16	16	26	158	35	30	25	22	25	14	151	1964	1542	1663	1034	1038	1201	8442	354	261	307	186	196	286	1590	411	520	427	228	623	424	2633	478	309	119	32	36	13	987	300	213	220	175	184	136	1228	2656	2171	1861	1657	1388	956	10689	66.0385159	72.73498233	72.13922261	70.30424028	37.54166667	-17	88	"8.9"	NA	-2.17732516712585	-2.13508627826851	-2.13868422029387	NA
45497	0.036888889	-1175	144.2	126.1	142.1	91	165.3	183.9	852.6	0.47	158.7	116.5	150.6	165.1	194.6	133.5	919	0.51056	37	43	37	36	33	21	207	20	29	37	21	19	19	145	2391	2778	1982	1724	1961	1729	12565	365	329	391	304	256	218	1863	328	538	446	751	411	520	2994	274	229	121	43	21	0	688	176	190	219	256	210	166	1217	1793	1843	1671	1626	1590	1175	9698	44.84252832	57.55937157	62.17062477	54.85750822	50	1.333333333	53	"8.4"	NA	-2.34635804304372	-2.23737696257618	-2.20370630423957	NA
45498	-0.011388889	303	161.4	158.8	179.4	116.4	194.4	154.1	964.5	0.54	158.3	157.1	202.3	134.7	118.8	172.8	944	0.52444	35	33	30	28	23	24	173	34	41	30	35	26	15	181	2338	2436	1988	1799	1467	1542	11570	538	270	172	191	291	196	1658	538	446	751	411	520	427	3093	550	426	237	308	270	170	1961	346	274	237	158	209	70	1294	2440	2295	1759	1950	1403	1077	10924	72.28889492	74.79228889	80.47425106	75.85181163	34.79166667	-2.666666667	52	"8"	NA	-2.13777754502957	-2.12288278001985	-2.09083396551509	NA
45499	0.013055556	1480	167.8	205.2	155.9	170	151.6	196.9	1047.4	0.58	156.6	194.9	177.4	164.8	187.3	189.9	1070.9	0.59494	29	37	33	34	29	16	178	32	37	33	36	22	33	193	1739	1848	1671	1731	1663	1187	9839	529	405	507	481	462	401	2785	520	427	228	623	424	407	2629	600	733	685	743	799	705	4265	429	468	374	333	418	321	2343	2301	2314	2090	2357	1785	1890	12737	40.1387847	56.81170293	57.62940735	51.52663166	23	-1.833333333	121	"8.5"	NA	-2.39468906781081	-2.24308785641104	-2.23684579362756	NA
46001	0.042111111	791	184.5	168	151	182.7	156.5	169	1011.7	0.56	181.8	198.5	165.1	162.7	213.3	166.1	1087.5	0.60417	28	31	33	30	31	25	178	41	45	43	40	30	24	223	1785	1549	1922	1447	1348	1098	9149	475	494	458	580	568	576	3151	446	751	411	520	427	228	2783	549	570	684	750	786	603	3942	440	362	306	435	286	289	2118	2176	1550	1741	1502	1380	1237	9586	50.03773585	59.23113208	66.41037736	58.55974843	33.66666667	-4.5	101	"8.5"	NA	-2.29852378351989	-2.22486994280927	-2.17487026640328	NA
46002	0.084166667	665	130.2	153.9	195	171.5	167.6	116.7	934.9	0.52	185.1	227.2	179.2	138.7	174.9	181.3	1086.4	0.60356	33	26	18	18	22	23	140	38	27	49	28	35	22	199	2378	1931	1734	1581	1798	1791	11213	616	435	428	510	488	465	2942	751	411	520	427	228	623	2960	592	631	603	622	539	620	3607	418	331	211	318	306	304	1888	1902	1363	1373	932	1276	1036	7882	33.27692215	51.17085156	61.59021993	48.67933122	60.08333333	12.5	58	"8.1"	NA	-2.47640924099898	-2.28874932843045	-2.20780514469199	NA
46004	0.0885	691	170.4	155.2	119.2	171.8	188	136	940.6	0.52	158.4	205.6	163.2	217.3	196.9	158.5	1099.9	0.61106	37	29	14	16	14	11	121	33	30	34	24	20	26	167	1868	1656	1071	1052	1087	820	7554	248	180	122	59	108	165	882	228	623	424	407	252	395	2329	344	266	211	242	195	315	1573	350	205	152	146	111	110	1074	1674	1453	1400	1202	871	1026	7626	45.94943742	60.2139186	64.84442284	57.00259295	50.125	8.666666667	73	"8.7"	NA	-2.33571964396667	-2.21768014671822	-2.18530204314152	NA
46005	0.101833333	829	147.8	187.1	119.5	175.2	180.7	147.4	957.7	0.53	157.8	175.9	175.1	236.1	229.3	166.8	1141	0.63389	29	22	16	13	13	20	113	37	43	35	29	40	34	218	1498	1447	1126	1303	1224	1143	7741	638	678	535	533	601	572	3557	623	424	407	252	395	343	2444	807	769	702	780	547	781	4386	443	283	291	211	345	257	1830	2133	2275	2027	1531	1858	1578	11402	60.85990338	63.03381643	67.01449275	63.63607085	24.45833333	-8.666666667	51	"7.5"	NA	-2.21301755367428	-2.19768020926874	-2.17091106716188	NA
46006	-0.077	385	163.8	157.8	146.4	136.4	125.4	193.3	923.1	0.51	145.2	121.7	136.2	126	116.8	138.6	784.5	0.43583	40	38	26	23	17	31	175	50	47	28	34	23	27	209	3037	3113	2795	2181	1999	1967	15092	594	511	309	314	164	338	2230	NA	NA	NA	NA	NA	NA	NA	485	551	420	448	332	379	2615	370	327	331	201	320	199	1748	2236	2714	2441	2079	2012	1819	13301	29.93874484	51.56690948	58.44722633	46.65096022	88.33333333	-12.66666667	117	"8.5."	NA	-2.52246423767618	-2.28538357943721	-2.2306903161418	NA
46007	-0.028111111	578	166.1	173.5	182.7	169	163.8	180.9	1036	0.58	141.7	171.1	161.9	154.2	172.5	184	985.4	0.54744	22	33	32	28	21	29	165	48	37	37	36	27	29	214	2047	2078	2200	1861	1718	1813	11717	428	416	367	396	392	427	2426	252	395	343	304	192	290	1776	383	571	484	506	529	531	3004	268	214	194	256	231	190	1353	1900	1575	1344	1121	1261	978	8179	62.29687731	71.43702827	76.67899956	70.13763505	39.45833333	-36.66666667	126	"8.7"	NA	-2.20281974077893	-2.14296301474539	-2.1119806022265	NA
46008	0.028833333	540	148.5	165	173.1	98.3	114.6	165.3	864.8	0.48	174.2	140.3	166.4	208.3	109.5	118	916.7	0.50928	44	35	27	30	34	25	195	47	33	28	15	25	18	166	2466	2317	2603	2475	2466	1695	14022	624	616	455	467	506	362	3030	424	407	252	395	343	304	2125	813	620	564	480	528	565	3570	423	322	378	231	272	162	1788	3415	2425	1920	1489	1453	1252	11954	11.24305306	25.46639479	52.45571948	29.72172244	57.25	-44.16666667	80	"8.2"	NA	-2.94862718545567	-2.59292513045395	-2.27792303287514	NA
46009	0.042944444	-250	134.3	162.1	184.5	160.9	180.3	210.7	1032.8	0.57	175.4	169.5	179.9	190.1	199.6	195.6	1110.1	0.61672	27	31	35	36	36	31	196	67	26	28	49	29	38	237	2498	2306	2198	2166	2196	1580	12944	573	569	674	565	606	428	3415	395	343	304	192	290	419	1943	493	691	546	566	497	372	3165	315	155	278	236	207	137	1328	2890	2095	1515	2219	1721	1652	12092	38.29710247	61.8145583	78.35929329	59.49031802	41.75	-18.83333333	84	"8.7"	NA	-2.41516766817108	-2.2062163258971	-2.10249298533126	NA
46010	0.040111111	217	144.9	142	167.3	156.2	195.5	135.6	941.5	0.52	184.9	151.2	187.6	194.9	142.1	153	1013.7	0.56317	26	19	26	25	28	34	158	32	30	29	17	18	19	145	2058	1905	1635	2065	1844	2212	11719	330	391	378	262	279	251	1891	343	304	192	290	419	424	1972	310	425	431	347	257	338	2108	342	245	290	158	194	235	1464	1483	1284	1336	918	1004	946	6971	56.71231651	71.88954529	73.08270677	67.22818952	69.75	23.83333333	128	"8.6"	NA	-2.24385261765461	-2.14020086358416	-2.13299977956378	NA
46011	-0.069055556	1514	165.1	191.1	202.5	154.6	225.1	137	1075.4	0.6	182	176.5	158.7	143.3	179.4	111.2	951.1	0.52839	22	35	32	21	33	25	168	60	40	25	25	33	17	200	1903	2028	2241	1653	2146	1717	11688	360	342	425	398	384	543	2452	407	252	395	343	304	192	1893	693	722	723	723	560	545	3966	352	287	186	250	272	145	1492	2962	2235	1562	1497	1733	871	10860	34.4197026	55.84535316	60.31375465	50.1929368	90	-11	69	"8.7"	NA	-2.4616954792831	-2.25058082791636	-2.21695631073974	NA
46012	-0.020055556	1046	206.8	140.1	153.2	197.4	195.7	189	1082.2	0.6	181.5	189.5	161.5	161.9	155.6	196.1	1046.1	0.58117	25	28	37	38	35	36	199	33	38	35	26	37	30	199	1742	1836	1906	1922	1697	2076	11179	225	317	264	307	357	368	1838	304	192	290	419	424	296	1925	390	553	503	485	558	395	2884	236	236	187	139	202	206	1206	2102	2090	1792	1986	1618	1953	11541	40.57950728	55.66349384	68.79899216	55.01399776	32.70833333	-17.16666667	93	"9.2"	NA	-2.38992729944514	-2.2520053496733	-2.15941969583472	NA
46013	-0.087055556	333	157.5	185.3	142.3	122.2	194.5	113.4	915.2	0.51	153.3	110.1	117.6	152.5	112.7	112.3	758.5	0.42139	25	22	23	25	16	22	133	42	34	25	24	19	24	168	1169	1059	1081	1051	802	907	6069	267	322	410	355	288	342	1984	192	290	419	424	296	208	1829	375	385	284	429	464	380	2317	350	289	270	242	228	279	1658	1627	1427	1165	1066	724	931	6940	53.80072464	70.8134058	76.2192029	66.94444444	29.16666667	-19.83333333	92	"8.6"	NA	-2.2668690310132	-2.14679818978818	-2.11461276011758	NA
46014	0.089444444	223	173.6	210.9	175.5	161.6	187.7	145.3	1054.6	0.59	177.7	210.4	177.8	207.9	219.1	222.7	1215.6	0.67533	29	38	38	33	27	28	193	52	45	28	39	21	27	212	1865	1911	1768	1496	1188	1111	9339	326	218	230	224	167	188	1353	290	419	424	296	208	394	2031	309	292	227	211	243	294	1576	197	137	187	133	132	158	944	2054	1586	1195	1190	966	917	7908	25.10451296	34.41238886	39.97222606	33.16304263	73.95833333	-21.16666667	86	"7.6"	NA	-2.59915655375515	-2.4617880897573	-2.39650221460666	NA
46015	0.066444444	1004	168.5	123.4	127.3	116.7	116.7	152.5	805.1	0.45	173.9	139	172.7	141.7	135.4	162	924.7	0.51372	27	35	40	41	28	29	200	33	40	21	27	20	32	173	1860	1684	1746	1629	1596	1261	9776	494	414	338	307	364	381	2298	424	296	208	394	267	308	1897	731	448	490	493	543	597	3302	352	244	280	323	218	223	1640	2701	2908	2306	1816	1530	1893	13154	45.90215763	58.69987243	63.54706307	56.04969771	40.75	-31.33333333	110	"9"	NA	-2.3361688052435	-2.22880602791907	-2.19413589615225	NA
46016	0.184111111	708	107.1	141	143.1	113.1	162.5	141.3	808.1	0.45	196.5	221	172.7	216.2	173	160.1	1139.5	0.63306	27	35	32	33	32	50	209	29	30	32	30	38	40	199	1924	2049	2097	2314	2420	2219	13023	277	302	199	324	261	252	1615	296	208	394	267	308	403	1876	409	456	406	352	331	369	2323	275	331	270	257	283	258	1674	2247	2114	2245	1786	2048	2117	12557	37.51470588	58.68983957	71.83957219	56.01470588	100.0833333	-13.66666667	99	"8.6"	NA	-2.42416614745508	-2.22888070126621	-2.14050504884254	NA
46017	-0.054833333	NA	172.4	195.7	182.8	168.7	210	163.9	1093.5	0.61	155.1	157.8	140.8	174.9	192.7	173.5	994.8	0.55267	32	29	30	30	33	34	188	44	32	39	40	45	39	239	2223	1815	1940	1802	1797	1763	11340	NA	NA	NA	NA	NA	NA	NA	419	424	296	208	394	267	2008	584	566	507	365	426	398	2846	334	278	271	287	237	271	1678	2792	2254	2285	1939	2132	2070	13472	15.47169811	24.40251572	38.86792453	26.24737945	79.54166667	-53.5	87	"8"	NA	-2.80978956966597	-2.61150431581035	-2.40871734769563	NA
46019	-0.039388889	NA	194.9	207.6	187.1	231.9	179.9	189.8	1191.2	0.66	183.9	178.7	173.1	230.9	199.3	154.4	1120.3	0.62239	39	30	29	21	27	18	164	37	41	28	25	48	28	207	3063	2578	2559	1578	2251	1805	13834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	382	300	201	185	192	164	1424	238	185	213	222	69	175	1102	2439	2446	2052	1764	2034	1693	12428	14.51741337	40.0275547	53.80706119	36.11734309	94.54166667	4.166666667	104	"7.9"	NA	-2.83747981551494	-2.39589907724607	-2.26681760694153	NA
46020	0.093777778	213	147	191.1	143.4	158	177.9	153.5	970.9	0.54	170.3	189.6	201.1	152.4	202.5	223.8	1139.7	0.63317	19	21	21	23	27	27	138	36	27	21	27	24	21	156	2201	2143	1771	2149	1852	2214	12330	296	242	161	169	158	125	1151	208	394	267	308	403	611	2191	388	345	164	173	194	100	1364	242	313	162	194	137	182	1230	1994	1671	1332	1244	1430	1061	8732	12.2327044	32.84249385	38.90347279	27.99289035	70.16666667	-19.66666667	82	"8.7"	NA	-2.91194593394368	-2.48213519400096	-2.4083187774636	NA
46023	0.146611111	192	147.2	179.6	167.8	121.6	138	153.7	907.9	0.5	185.1	202.7	216.7	179.5	191.6	196.2	1171.8	0.651	28	20	26	18	23	21	136	44	33	13	23	18	18	149	2140	1609	1541	1383	1401	1253	9327	519	428	385	451	466	313	2562	394	267	308	403	611	158	2141	580	497	485	372	414	406	2754	356	230	291	284	245	193	1599	2747	1791	1367	1534	1418	1189	10046	25.20974098	43.93423572	51.99401059	40.3793291	95.04166667	-31.33333333	61	"8.8"	NA	-2.59733538900094	-2.35528468084002	-2.28178271977651	NA
46024	0.137777778	230	155.7	160.8	167.2	136.3	135.7	156.2	911.9	0.51	150.1	215.1	194.3	200.1	199.1	201.2	1159.9	0.64439	29	26	27	18	26	30	156	25	24	24	31	26	27	157	1483	1126	994	860	1140	1001	6604	457	163	180	183	235	251	1469	267	308	403	611	158	450	2197	329	272	231	343	327	197	1699	277	160	157	143	155	155	1047	1335	1077	1102	1295	957	1008	6774	47.19722927	53.34232173	74.75539613	58.43164904	71.875	-62.5	100	"8.7"	NA	-2.32402889400592	-2.27060525714967	-2.12309867142665	NA
46027	0.073611111	533	147.3	160.7	150.3	121.9	181.1	161	922.3	0.51	195.9	167.1	183.4	155.3	175.4	177.7	1054.8	0.586	26	27	24	19	27	26	149	51	44	45	25	28	39	232	1966	2007	1803	1236	1497	1458	9967	368	336	291	312	343	284	1934	308	403	611	158	450	402	2332	464	535	411	403	409	245	2467	244	266	185	204	216	178	1293	2491	2416	2327	1825	1607	1811	12477	36.47852559	60.43771598	57.84433108	51.58685755	20.625	-5.166666667	126	"8.9"	NA	-2.4363755847281	-2.21605921604265	-2.23521975560939	NA
46126	0.035611111	426	138.2	177.5	127.2	166.2	168.6	175.6	953.3	0.53	152.7	163.6	155.7	138.1	218.2	189.1	1017.4	0.56522	35	25	23	22	23	15	143	47	30	17	26	28	24	172	2239	1645	1550	1625	1410	1435	9904	385	460	424	262	293	265	2089	279	345	518	288	324	410	2164	467	421	404	345	490	388	2515	239	171	158	146	203	139	1056	1981	1731	1065	1275	968	919	7939	51.40355125	75.28732849	71.85230024	66.18105999	47.70833333	15.66666667	113	"9.4"	NA	-2.28676869109206	-2.11999605561387	-2.1404275535238	NA
46127	0.025277778	NA	169.5	213.5	154.2	190.9	155.2	129.1	1012.4	0.56	172.7	184.7	158.4	190.8	206.8	144.5	1057.9	0.58772	35	28	33	27	23	36	182	41	44	32	44	48	37	246	2289	1690	2224	2046	2010	2095	12354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	680	734	712	651	575	533	3885	303	188	260	266	258	234	1509	2564	2698	2189	2276	2445	2225	14397	18.27609428	49.81818182	38.86868687	35.65432099	40.08333333	20	59	"7.7"	NA	-2.73732216335636	-2.30044314327415	-2.40870879646288	NA
